"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","1939532","W000-1626-048","CLOSD","3410 Monument AVE Unit#308","23221","Richmond City","Condominium","03/27/2020","$169,500","$169,500","6","Resale (occupied at least once)","1924","Monument Terrace","569","0.00","1","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2004778","742-69-52-36-900-000","CLOSD","1411 Laurel Top DR","23114","Chesterfield","Single Family Residence","04/28/2020","$360,000","$345,000","25","Resale (occupied at least once)","1993","Poplar Creek","3,206","","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2009353","756-736-3942","CLOSD","417 Hampton Ridge CT","23229","Henrico","Single Family Residence","04/29/2020","$639,000","$660,000","5","Resale (occupied at least once)","1996","Hampton Ridge","3,384","0.26","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2010836","796-64-02-00-600-000","CLOSD","3140 Fielding RD","23834","Chesterfield","Single Family Residence","05/18/2020","$209,950","$211,000","3","Resale (occupied at least once)","1984","Happy Hill Farms","1,600","0.28","3","2.0","Public Water","Sewer - Public","VA New","Individuals"
"1","2007459","729-70-49-43-400-000","CLOSD","13442 Ridgemoor LN","23114","Chesterfield","Townhouse","05/18/2020","$239,950","$239,950","22","Resale (occupied at least once)","2004","The Grove","1,950","0.05","3","2.2","Public Water","Sewer - Public","Conventional","Individuals"
"1","2011780","785-752-3409","CLOSD","1003 La Von DR","23227","Henrico","Single Family Residence","05/19/2020","$184,950","$184,950","4","Resale (occupied at least once)","1937","Lakeside Terrace","1,104","0.14","2","1.1","Public Water","Sewer - Public","VHDA ","Individuals"
"1","1935821","725-71-01-12-800-000","CLOSD","14347 Michaux Village DR","23113","Chesterfield","Townhouse","05/19/2020","$331,950","$347,270","72","New (never occupied)","2020","Winterfield Park","2,353","0.00","3","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2010140","W000-1038-009","CLOSD","2313 Floyd AVE","23220","Richmond City","Single Family Residence","05/19/2020","$549,000","$556,000","2","Resale (occupied at least once)","1920","None","2,968","0.10","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2011111","703-67-27-78-900-000","CLOSD","6524 Falls Creek TRL","23120","Chesterfield","Single Family Residence","05/19/2020","$395,000","$397,000","10","New (never occupied)","2018","Magnolia Green","2,294","0.19","3","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2005171","717-67-53-54-300-000","CLOSD","6207 Fox Branch CT","23112","Chesterfield","Single Family Residence","05/19/2020","$412,500","$410,000","34","Resale (occupied at least once)","1999","Foxcroft","3,274","0.71","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","1932065","717665015700000","CLOSD","8225 Spiral DR","23832","Chesterfield","Single Family Residence","05/19/2020","$324,615","$330,295","78","New (never occupied)","2019","Harpers Mill","2,149","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2007321","749-67-42-39-900-000","CLOSD","5801 Hereld Green DR","23832","Chesterfield","Single Family Residence","05/19/2020","$294,850","$295,000","36","Resale (occupied at least once)","2006","Qualla Farms","2,160","0.56","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2009153","8725-14-4369","CLOSD","6423 Cherrygrove LN","23111","Hanover","Single Family Residence","05/19/2020","$239,999","$235,000","27","Resale (occupied at least once)","1989","Cherrydale West","1,300","0.40","3","2.0","Community Well","Sewer - Public","VHDA/FHA","Individuals"
"1","2011882","S000-0456-001","CLOSD","1820 Edwards AVE","23224","Richmond City","Single Family Residence","05/19/2020","$150,000","$150,000","3","Resale (occupied at least once)","1926","Mason Park","804","0.11","2","1.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2004409","780-66-13-81-900-000","CLOSD","10484 Brynmore DR","23237","Chesterfield","Single Family Residence","05/19/2020","$270,000","$262,000","14","Resale (occupied at least once)","2005","Brynmore","2,157","0.42","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2002935","739-67-87-30-500-000","CLOSD","4630 Glen Tara DR","23112","Chesterfield","Single Family Residence","05/19/2020","$194,900","$190,000","35","Resale (occupied at least once)","1981","Glen Tara","1,056","0.25","3","1.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2007579","8267205590","CLOSD","161 Elsing Green WAY","23075","Henrico","Single Family Residence","05/19/2020","$185,950","$193,500","6","Resale (occupied at least once)","1999","Fairlawn","1,456","","3","2.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2010108","767-64-27-26-500-000","CLOSD","7807 Grampian CT","23838","Chesterfield","Single Family Residence","05/19/2020","$429,500","$429,500","15","Resale (occupied at least once)","2011","The Highlands","3,041","1.14","4","3.1","Public Water","Septic - Conventional","VA New","Individuals"
"1","2010333","8754-44-1586","CLOSD","7234 Mcclellan RD","23111","Hanover","Single Family Residence","05/19/2020","$234,950","$234,000","4","Resale (occupied at least once)","1975","Old Church Estates","1,273","1.01","4","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2007201","821-64-68-36-900-000","CLOSD","14116 Bolling AVE","23836","Chesterfield","Single Family Residence","05/19/2020","$195,000","$192,500","19","Resale (occupied at least once)","1966","Morrisdale","1,638","0.25","3","2.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2008937","756-749-8351","CLOSD","8301 Gwinnett RD","23229","Henrico","Single Family Residence","05/19/2020","$279,900","$285,000","2","Resale (occupied at least once)","1959","Parham Hills","1,820","0.42","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
