"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2528658","S000-2132-004","CLOSD","3208 Decatur ST","23224","Richmond City","Single Family Residence","11/20/2025","$133,000","$138,750","3","Resale (occupied at least once)","1925","Weisigers Addition","624","0.12","2","1.0","Public Water","Sewer - Public","Other","Estate"
"1","2518938","758-71-21-47-200-000","CLOSD","8301 Spring Meadow RD","23235","Chesterfield","Single Family Residence","11/20/2025","$649,990","$668,000","81","Resale (occupied at least once)","1984","Spring Grove","3,168","0.50","4","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2528297","727-67-07-47-500-000","CLOSD","7112 Deer Thicket DR","23112","Chesterfield","Single Family Residence","11/20/2025","$369,950","$380,000","15","Resale (occupied at least once)","1989","Deer Run","1,734","0.33","3","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2528510","034A-6-5","CLOSD","6356 Piper Ridge DR","23139","Powhatan","Single Family Residence","11/20/2025","$585,000","$595,000","14","Resale (occupied at least once)","2022","Walnut Creek","1,990","2.28","4","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2527053","737-779-0611","CLOSD","6009 Chestnut Hill DR","23059","Henrico","Single Family Residence","11/20/2025","$768,000","$759,000","16","Resale (occupied at least once)","1997","Chestnut Hill At Wyndham","3,808","0.19","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2525888","768-68-77-24-100-000","CLOSD","4811 Hackney RD","23234","Chesterfield","Single Family Residence","11/20/2025","$289,900","$289,900","42","Resale (occupied at least once)","1985","Old Coach Hills","1,200","0.25","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2523153","834-713-0900","CLOSD","232 Greenpark RD","23150","Henrico","Townhouse","11/20/2025","$306,875","$306,875","56","New (never occupied)","2025","Parkside Townes","1,318","","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2519534","8617031192","CLOSD","5305 Swift Hill LN","23150","Henrico","Single Family Residence","11/20/2025","$379,950","$382,000","77","Resale (occupied at least once)","1996","None","","1.14","3","2.0","Public Water","Septic - Conventional","VA New","Individuals"
"1","2527054","802-726-0482","CLOSD","2012 Holly ST","23223","Henrico","Single Family Residence","11/20/2025","$314,999","$320,000","22","Resale (occupied at least once)","1960","Central Gardens","1,080","0.27","4","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2526852","E010-0136-003","CLOSD","5210 Waverly AVE","23231","Richmond City","Single Family Residence","11/20/2025","$199,000","$195,000","26","Resale (occupied at least once)","1949","Powhatan Heights","750","0.18","2","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2528194","732-68-56-80-300-000","CLOSD","12760 Forest Mill DR","23112","Chesterfield","Single Family Residence","11/20/2025","$469,950","$470,000","22","Resale (occupied at least once)","2003","Old Hundred Mill","2,190","0.25","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2519653","767-740-0526","CLOSD","6500 W Grace ST","23226","Henrico","Single Family Residence","11/20/2025","$384,500","$369,400","91","Resale (occupied at least once)","1950","West Haven","1,224","0.33","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2528076","764-68-82-10-200-000","CLOSD","4344 Collingswood DR","23832","Chesterfield","Single Family Residence","11/20/2025","$424,950","$440,000","14","Resale (occupied at least once)","1983","Creekwood","2,800","0.28","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2526363","019-15A","CLOSD","3083 Judes Ferry RD","23139","Powhatan","Single Family Residence","11/20/2025","$329,950","$310,000","32","Resale (occupied at least once)","1971","None","960","1.00","3","1.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2520176","756-68-88-45-900-000","CLOSD","8832 Lyndale DR","23235","Chesterfield","Single Family Residence","11/20/2025","$379,000","$385,000","7","Resale (occupied at least once)","1954","Lyndale","","0.68","3","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2512606","C0090763001","CLOSD","3429 Broadwick RD","23234","Richmond City","Townhouse","11/20/2025","$307,000","$307,000","0","New (never occupied)","2025","Kinwick","1,336","","3","2.1","Public Water","Sewer - Public","VHDA ","Corporate"
"1","2513082","748-765-8011","CLOSD","4434 Dominion Forest CIR","23060","Henrico","Townhouse","11/20/2025","$570,695","$565,895","0","New (never occupied)","2025","Innsbrook Dominion Residences","2,151","","3","3.1","Public Water","Sewer - Public","Cash","Corporate"
"1","2529798","042-69D","CLOSD","1601 Holly Hills RD","23139","Powhatan","Single Family Residence","11/20/2025","$325,000","$345,000","3","Resale (occupied at least once)","1984","Holly Hills","1,456","1.00","3","2.0","Well","Septic - Conventional","FHA New","Estate"
"1","2529321","818-723-2055","CLOSD","403 Acreview DR","23075","Henrico","Townhouse","11/20/2025","$229,000","$246,370","3","Resale (occupied at least once)","1978","Woodpost Townhouses","1,248","0.05","3","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2528912","014-21B","CLOSD","4836 Powhatan Lakes RD","23139","Powhatan","Single Family Residence","11/20/2025","$365,000","$365,000","2","Resale (occupied at least once)","1994","None","984","9.00","3","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2529696","762-750-0988","CLOSD","58 Skipwith Green CIR","23294","Henrico","Townhouse","11/20/2025","$279,000","$287,000","3","Resale (occupied at least once)","1974","Skipwith Green Townhouses","1,650","0.03","4","2.2","Public Water","Sewer - Public","Conventional","Individuals"
"1","2526684","744-737-7624","CLOSD","209 Arrowview CT","23229","Henrico","Single Family Residence","11/20/2025","$1,475,000","$1,450,000","6","Resale (occupied at least once)","2001","River Road Farms","6,201","0.65","5","5.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2527494","750-71-24-15-400-000","CLOSD","10009 Old Bon Air PL","23235","Chesterfield","Single Family Residence","11/20/2025","$459,500","$454,500","19","Resale (occupied at least once)","1992","Old Bon Air Place","1,868","0.24","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
