"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2508795","S0071678008","CLOSD","2406 Warwick AVE","23224","Richmond City","Single Family Residence","05/08/2025","$285,000","$275,000","5","Resale (occupied at least once)","1981","Melrose","","0.16","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","REIN10578688","794610828500000","CLOSD","3819 Greenwood DR","23803","Chesterfield","Single Family Residence","05/08/2025","$239,900","$242,000","20","Resale (occupied at least once)","1980","MATOACA","1,100","0.23","3","2.0","Public Water","Public Sewer On Site","",""
"1","2405922","7870-65-7691","CLOSD","568 North James ST","23005","Hanover","Single Family Residence","05/08/2025","$559,950","$580,737","128","New (never occupied)","2025","Amburn","2,371","","4","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2428090","Not Yet Assigned","CLOSD","3833 Kinalin LN","23234","Richmond City","Single Family Residence","05/08/2025","$421,650","$423,850","0","New (never occupied)","2024","Kinwick","2,185","","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2504554","748-69-16-84-600-000","CLOSD","10231 Dorel CIR","23236","Chesterfield","Single Family Residence","05/08/2025","$320,000","$335,000","7","Resale (occupied at least once)","1976","Chestnut Hills","1,715","0.34","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2502598","8707-70-8068","CLOSD","10419 Odette Estate LN Unit#K1","23116","Hanover","Townhouse","05/08/2025","$633,034","$645,309","46","New (never occupied)","2025","Stags Leap","2,551","0.11","4","3.0","Public Water","Sewer - Public","Cash","Corporate"
"1","2503073","777-67-03-20-900-000","CLOSD","8600 Windingrun LN","23237","Chesterfield","Single Family Residence","05/08/2025","$325,000","$325,000","13","Resale (occupied at least once)","1977","Huntingcreek Hills","1,248","0.25","3","2.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2509498","791-66-66-96-900-000","CLOSD","3012 Rushton RD","23237","Chesterfield","Single Family Residence","05/08/2025","$249,000","$253,850","10","Resale (occupied at least once)","1968","Quail Oaks","1,040","0.21","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2503509","785-67-55-76-000-000","CLOSD","3408 Sterling Brook DR","23237","Chesterfield","Townhouse","05/08/2025","$335,000","$335,000","33","Resale (occupied at least once)","2018","Silverleaf","1,920","0.04","3","2.1","Public Water","Community - Sewer/Septic","FHA New","Individuals"
"1","2500482","029-38E","CLOSD","2469 Judes Ferry RD","23139","Powhatan","Single Family Residence","05/08/2025","$649,950","$649,950","75","New (never occupied)","2025","None","2,352","2.20","3","3.1","Well","Septic - Conventional","FHA New","Corporate"
"1","2508600","786-755-5611","CLOSD","407 Mebane ST","23227","Henrico","Single Family Residence","05/08/2025","$325,000","$325,000","5","Resale (occupied at least once)","1964","None","1,539","0.41","3","1.1","Public Water","Sewer - Public","Conventional","Estate"
