"#","ML #","PID","Status","Address Line","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2206516","S000-0582-012","CLOSD","2400 Perry Street, Richmond City VA 23225","23225","Richmond City","Single Family Residence","04/15/2022","$399,950","$405,000","5","New (never occupied)","2021","Hollands Addition","1,872","0.11","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2202385","N000-1326-007","CLOSD","1509 Palmyra Avenue, Richmond City VA 23227","23227","Richmond City","Single Family Residence","04/15/2022","$685,000","$656,000","27","Resale (occupied at least once)","1919","Laburnum Court","2,391","0.22","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2206349","725-67-81-56-600-000","CLOSD","13906 West Bay Drive, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","04/15/2022","$375,000","$420,000","4","Resale (occupied at least once)","1988","Woodlake","2,389","0.41","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2205564","816-65-62-70-100-000","CLOSD","12501 Bay Hill Drive, Chesterfield VA 23836","23836","Chesterfield","Single Family Residence","04/15/2022","$429,950","$450,000","3","Resale (occupied at least once)","1999","Rivers Bend","2,680","0.83","4","2.1","Public Water","Sewer - Public","Conventional","Estate"
"1","2202721","735-777-6306","CLOSD","5804 Hardwick Drive, Henrico VA 23059","23059","Henrico","Single Family Residence","04/15/2022","$685,000","$670,000","11","Resale (occupied at least once)","1998","Hardwick At Wyndham","3,507","0.30","5","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2201692","738-759-6506","CLOSD","3237 Mcintyre Street, Henrico VA 23233","23233","Henrico","Single Family Residence","04/15/2022","$389,950","$450,000","7","Resale (occupied at least once)","1994","Sherbrooke","2,084","0.23","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2129010","811-730-2387","CLOSD","3805 Seasons Lane, Henrico VA 23223","23223","Henrico","Single Family Residence","04/15/2022","$444,755","$444,755","2","New (never occupied)","2020","Kensington Meadows","2,424","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2121582","TBD","CLOSD","11660 Oakrise Court, New Kent VA 23124","23124","New Kent","Single Family Residence","04/15/2022","$350,570","$350,570","44","New (never occupied)","2021","The Oaks","2,203","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2204801","8714-24-2362","CLOSD","7390 Stuart Drive, Hanover VA 23111","23111","Hanover","Single Family Residence","04/15/2022","$275,000","$285,000","8","Resale (occupied at least once)","1969","Battlefield Farms","1,250","0.33","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2205299","797-63-28-12-800-000","CLOSD","16754 Amherst Oak Lane, Chesterfield VA 23834","23834","Chesterfield","Single Family Residence","04/15/2022","$245,000","$250,000","3","Resale (occupied at least once)","2001","Amherst","1,440","0.19","3","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2205187","S006-0447-016","CLOSD","800 West 46th Street, Richmond City VA 23225","23225","Richmond City","Single Family Residence","04/15/2022","$299,000","$299,000","6","Resale (occupied at least once)","1950","Forest Hill Terrace","1,205","0.24","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2037257","016B-2E-3","CLOSD","3385 Holywell Circle, Powhatan VA 23139","23139","Powhatan","Single Family Residence","04/15/2022","$488,950","$596,657","0","New (never occupied)","2022","Tilmans Farm","3,493","","4","4.1","Community Well","Septic - Conventional","Conventional","Corporate"
"1","2030098","E0000514029","CLOSD","2009 R Street, Richmond City VA 23223","23223","Richmond City","Single Family Residence","04/15/2022","$285,000","$296,020","115","New (never occupied)","2020","None","1,380","0.03","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2104749","822-691-7039","CLOSD","6808 Sir Galahad, Henrico VA 23231","23231","Henrico","Single Family Residence","04/15/2022","$328,000","$379,930","96","New (never occupied)","2021","Castleton","2,594","","5","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2135537","8764-95-9053","CLOSD","7253 Figuly Road, Hanover VA 23111","23111","Hanover","Single Family Residence","04/15/2022","$675,000","$675,000","33","Resale (occupied at least once)","2005","Westwood Farms","3,534","10.12","6","3.2","Well","Septic - Conventional","Conventional","Individuals"
"1","2204138","N016-0159-011","CLOSD","3506 North Avenue, Richmond City VA 23222","23222","Richmond City","Single Family Residence","04/15/2022","$279,900","$295,500","5","Resale (occupied at least once)","1946","None","1,260","0.14","3","1.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2121259","804-737-1917","CLOSD","3984 Grove Point Drive #UnitH-A, Henrico VA 23223","23223","Henrico","Townhouse","04/15/2022","$299,545","$299,545","0","New (never occupied)","2021","Grove Point","1,680","","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2201307","816-723-1689","CLOSD","5505 Dendron Drive, Henrico VA 23223","23223","Henrico","Single Family Residence","04/15/2022","$260,000","$259,000","5","Resale (occupied at least once)","1985","Beth Dale","1,532","0.22","5","3.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2201499","C005-0864-004","CLOSD","603 Larrymore Court, Richmond City VA 23225","23225","Richmond City","Single Family Residence","04/15/2022","$229,000","$238,306","4","Resale (occupied at least once)","1966","Westover South","1,581","0.32","3","1.1","Public Water","Sewer - Public","VHDA/FHA","Individuals"
"1","2129682","710-66-14-48-900-000","CLOSD","16801 Chalet Court, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","04/15/2022","$589,010","$589,685","106","New (never occupied)","2021","Harpers Mill","2,996","","5","3.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2207552","769-67-79-86-900-000","CLOSD","6007 Sailors Creek Drive, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","04/15/2022","$279,990","$300,000","4","Resale (occupied at least once)","2010","Kingsland Glen","1,604","0.25","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2203962","C004-0644-032","CLOSD","3710 Wakefield Road, Richmond City VA 23235","23235","Richmond City","Single Family Residence","04/15/2022","$359,000","$385,000","1","Resale (occupied at least once)","1959","Stratford Hills","1,937","0.57","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
