"#","ML #","PID","Status","Address Line","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2134050","C004-0420-026","CLOSD","7120 South Drive, Richmond City VA 23225","23225","Richmond City","Single Family Residence","12/14/2021","$335,000","$350,000","4","Resale (occupied at least once)","1950","Stratford Hills","1,361","0.39","3","1.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2128421","793-65-35-55-100-000","CLOSD","12420 Ivyridge Court, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","12/17/2021","$344,900","$349,000","20","Resale (occupied at least once)","2002","Ivy Ridge","2,016","0.21","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2130334","744-70-30-73-200-000","CLOSD","11010 Berrand Road, Chesterfield VA 23236","23236","Chesterfield","Single Family Residence","12/17/2021","$649,850","$650,000","14","Resale (occupied at least once)","1984","None","3,506","2.10","5","3.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2128065","117453","CLOSD","7929 Uplands Dr, New Kent VA 23124","23124","New Kent","Single Family Residence","12/17/2021","$414,990","$414,990","13","New (never occupied)","2021","Arbors","2,527","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2102105","E000-1542-045","CLOSD","1502 North 35th Street, Richmond City VA 23223","23223","Richmond City","Single Family Residence","12/17/2021","$430,000","$432,500","113","New (never occupied)","2020","None","2,251","0.06","4","3.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2032971","716-68-96-21-300-000","CLOSD","15143 Enmore Drive, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","12/17/2021","$470,900","$565,196","79","New (never occupied)","2021","Rountrey","2,130","0.23","4","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2127297","755-750-1420","CLOSD","2100 North Parham Road, Henrico VA 23229","23229","Henrico","Single Family Residence","12/17/2021","$300,000","$310,000","9","Resale (occupied at least once)","1960","Wedgewood Park","1,874","0.42","3","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2133252","845-694-3685","CLOSD","5530 Charles City Road, Henrico VA 23231","23231","Henrico","Single Family Residence","12/17/2021","$329,950","$339,500","15","Resale (occupied at least once)","2008","None","1,856","1.92","3","2.0","Well","Septic - Alternative","FHA New","Individuals"
"1","2128555","8728-43-3380","CLOSD","11386 Poplar Gate Drive, Hanover VA 23116","23116","Hanover","Single Family Residence","12/17/2021","$579,950","$579,950","56","New (never occupied)","2021","Glebe Hill","2,971","1.57","5","3.1","Well","Septic - Conventional","Conventional","Corporate"
"1","2130090","037-1N","CLOSD","4931 Old Buckingham Road, Powhatan VA 23139","23139","Powhatan","Single Family Residence","12/17/2021","$539,950","$539,950","12","Resale (occupied at least once)","2002","None","2,675","9.97","3","2.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2129404","TBD","CLOSD","8530 Kingsland Park Drive, Chesterfield VA 23237","23237","Chesterfield","Single Family Residence","12/17/2021","$444,990","$444,990","23","New (never occupied)","2021","Kingsland Woods","2,423","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2132494","779-748-6516","CLOSD","2505 Williams Street, Henrico VA 23228","23228","Henrico","Single Family Residence","12/17/2021","$299,900","$299,900","21","Resale (occupied at least once)","1951","Acreage","1,580","0.41","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2127766","827-689-3889","CLOSD","3808 Pheasant Chase Drive, Henrico VA 23231","23231","Henrico","Single Family Residence","12/17/2021","$320,000","$320,000","25","Resale (occupied at least once)","1980","Varina Chase","1,800","1.45","3","2.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2130983","812-722-2651","CLOSD","4915 Glenspring Road, Henrico VA 23223","23223","Henrico","Single Family Residence","12/17/2021","$219,950","$237,000","6","Resale (occupied at least once)","1966","Hechler Village","1,500","0.26","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2123513","S000-0199-002","CLOSD","1522 Porter Street, Richmond City VA 23224","23224","Richmond City","Single Family Residence","12/17/2021","$375,000","$375,000","61","Resale (occupied at least once)","1916","Swansboro","2,302","0.14","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2133573","8704-18-6003","CLOSD","7412 Shire, Hanover VA 23111","23111","Hanover","Single Family Residence","12/17/2021","$299,900","$305,000","6","Resale (occupied at least once)","1988","Brookshire","1,548","0.38","3","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2125688","756-731-6628","CLOSD","224 Ross Road, Henrico VA 23229","23229","Henrico","Single Family Residence","12/17/2021","$610,000","$610,000","69","Resale (occupied at least once)","1969","Briarfield","2,940","0.56","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2132272","755-62-33-47-000-000","CLOSD","10401 Hickory Road, Chesterfield VA 23803","23803","Chesterfield","Single Family Residence","12/17/2021","$225,000","$231,500","5","Resale (occupied at least once)","1979","None","1,152","1.14","3","1.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2132888","C005-0095-022","CLOSD","2424 Pineway Drive, Richmond City VA 23225","23225","Richmond City","Single Family Residence","12/17/2021","$389,900","$400,000","9","Resale (occupied at least once)","1958","Shirley Hills","1,937","0.37","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2123433","7787-37-9178","CLOSD","10521 Stony Bluff Dr #Unit209, Hanover VA 23005","23005","Hanover","Condominium","12/17/2021","$234,950","$239,950","103","New (never occupied)","2021","Stony Run","963","","1","1.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2122018","TBD","CLOSD","203 Sag Harbor Court #UnitB, Henrico VA 23075","23075","Henrico","Townhouse","12/17/2021","$263,835","$263,835","2","New (never occupied)","2021","Easthampton","1,440","","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2129140","797-712-4214.021","CLOSD","5230 Old Main Street #UnitB, Henrico VA 23231","23231","Henrico","Condominium","12/17/2021","$419,964","$419,964","44","New (never occupied)","2021","Village Of Rocketts Landing","1,633","","2","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2134462","734-64-76-14-900-000","CLOSD","12200 Second Branch Road, Chesterfield VA 23838","23838","Chesterfield","Single Family Residence","12/17/2021","$350,000","$345,000","16","Resale (occupied at least once)","1989","Second Branch","2,042","1.59","3","2.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2132384","712-67-25-55-200-026","CLOSD","6723 Liege Hill, Chesterfield VA 23120","23120","Chesterfield","Condominium","12/17/2021","$425,000","$430,000","15","Resale (occupied at least once)","2018","Greenwich Walk At Foxcreek","2,123","1.02","3","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2131211","S000-2018-004","CLOSD","118 West 34th Street, Richmond City VA 23225","23225","Richmond City","Single Family Residence","12/17/2021","$310,000","$300,000","7","Resale (occupied at least once)","1923","West Manchester","1,312","0.10","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2129020","116806","CLOSD","1490 Dispatch Station Road, New Kent VA 23141","23141","New Kent","Single Family Residence","12/17/2021","$399,950","$399,950","61","New (never occupied)","2020","Dispatch Station Section 1","2,072","0.62","3","2.1","Public Water","Septic - Conventional","Conventional","Corporate"
"1","2128239","8706-06-3232","CLOSD","9334 Cool Spring Road, Hanover VA 23116","23116","Hanover","Single Family Residence","12/17/2021","$339,950","$340,000","43","Resale (occupied at least once)","1988","None","1,568","2.26","3","2.0","Well","Septic - Conventional","FHA New Assumption","Individuals"
"1","2124709","To be determined","CLOSD","5424 Ellerbee Mill Terrace, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","12/17/2021","$362,719","$362,719","0","New (never occupied)","2021","The Villas at Iron Mill","1,559","","3","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2037563","785-757-7892","CLOSD","8335 Scott Place, Henrico VA 23227","23227","Henrico","Townhouse","12/17/2021","$293,155","$293,155","289","New (never occupied)","2021","Glens at Scott Place","1,480","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2021755","7871-32-8406","CLOSD","Blunts Bridge Road, Hanover VA 23005","23005","Hanover","Single Family Residence","12/17/2021","$499,130","$668,462","135","New (never occupied)","2020","None","2,572","7.11","4","2.1","Well","Septic - Conventional","Conventional","Corporate"
"1","2133141","773-67-91-97-900-000","CLOSD","6636 Wilmoth Drive, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","12/17/2021","$259,900","$253,000","3","Resale (occupied at least once)","2017","Ampthill Gardens","1,232","0.92","3","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2131175","W019-0152-003","CLOSD","4804 Bromley Lane, Richmond City VA 23226","23226","Richmond City","Single Family Residence","12/17/2021","$829,000","$829,000","31","Resale (occupied at least once)","1946","Willow Lawn","2,767","0.16","4","3.0","Public Water","Sewer - Public","VA New","Individuals"
"1","2133775","780-61-59-47-100-000","CLOSD","20103 Glenlivet Court, Chesterfield VA 23803","23803","Chesterfield","Single Family Residence","12/17/2021","$230,000","$230,000","10","Resale (occupied at least once)","1981","Oak Forest Estates","1,584","0.27","4","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2132791","025-2A","CLOSD","2953 Clarkson Road, Powhatan VA 23139","23139","Powhatan","Single Family Residence","12/17/2021","$235,000","$252,000","2","Resale (occupied at least once)","2007","None","1,128","1.08","3","2.0","Well","Septic - Conventional","USDA","Individuals"
"1","2130360","778-762-8299","CLOSD","8000 Nicewood Road, Henrico VA 23060","23060","Henrico","Single Family Residence","12/17/2021","$289,950","$289,950","20","Resale (occupied at least once)","1968","Mountain Ridge","1,670","0.26","3","1.1","Public Water","Sewer - Public","Conventional","Estate"
"1","2127689","S007-1228-012","CLOSD","1401 Lynhaven Avenue, Richmond City VA 23224","23224","Richmond City","Single Family Residence","12/17/2021","$155,950","$155,000","47","Resale (occupied at least once)","1941","Bellemeade Addition","1,269","0.34","3","1.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2133313","805-734-1277","CLOSD","3704 Arborgrove Court, Henrico VA 23223","23223","Henrico","Single Family Residence","12/17/2021","$235,000","$245,000","6","Resale (occupied at least once)","1995","Aldersgate","1,542","0.21","3","2.1","Public Water","Sewer - Public","FHA New","Individuals"
