"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2429812","33B8 1C1  37","CLOSD","11341 Royal LN","23140","New Kent","Single Family Residence","02/26/2025","$449,950","$435,000","69","Resale (occupied at least once)","2005","Brickshire","2,691","0.39","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2431586","732-754-1607","CLOSD","12449 Gaytoncrest LN","23238","Henrico","Townhouse","02/26/2025","$486,964","$430,000","9","New (never occupied)","2024","Discovery Ridge Townhomes","1,970","","3","2.2","Public Water","Sewer - Public","FHA New","Corporate"
"1","2431829","746-68-14-40-600-000","CLOSD","10608 Pursuit CT","23832","Chesterfield","Single Family Residence","02/26/2025","$325,000","$325,000","25","Resale (occupied at least once)","1986","Hunters Landing","1,196","0.28","3","2.0","Public Water","Sewer - Public","VA New","Individuals"
"1","2427748","119806","CLOSD","7897 Arbor Marsh TER","23124","New Kent","Single Family Residence","02/26/2025","$409,990","$409,990","85","New (never occupied)","2024","The Arbors At New Kent Winery","1,906","","4","2.1","Public Water","Sewer - Public","VA Assumption","Corporate"
"1","2427887","712672555200224","CLOSD","6655 Citory WAY Unit#104","23120","Chesterfield","Condominium","02/26/2025","$292,990","$294,035","14","New (never occupied)","2024","Greenwich Walk At Foxcreek","1,153","","2","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2501901","C008-0848-091","CLOSD","5908 Saint Moritz DR","23224","Richmond City","Single Family Residence","02/26/2025","$325,000","$325,000","8","Resale (occupied at least once)","1995","Fawnbrook","1,905","0.22","4","2.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2428094","784-771-3039","CLOSD","9969 Magnolia Ridge DR","23059","Henrico","Townhouse","02/26/2025","$451,440","$448,940","18","New (never occupied)","2024","Village at Virginia Center Commons","1,943","","4","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2501207","714-66-35-90-800-000","CLOSD","15900 Fishers Green DR","23832","Chesterfield","Single Family Residence","02/26/2025","$517,000","$517,000","10","Resale (occupied at least once)","2022","Harpers Mill","2,290","0.16","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2501114","7880-84-6143","CLOSD","13708 Winston Trail CIR","23005","Hanover","Single Family Residence","02/26/2025","$649,950","$639,950","19","Resale (occupied at least once)","2014","Providence","3,965","0.23","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2426103","7706782883","CLOSD","6460 Gennaker RUN","23234","Chesterfield","Townhouse","02/26/2025","$364,870","$340,000","13","New (never occupied)","2024","Watermark","1,534","0.08","3","2.1","Public Water","Sewer - Public","Conventional","Other"
"1","2425193","734-71-02-11-800-000","CLOSD","1325 Unison DR","23113","Chesterfield","Single Family Residence","02/26/2025","$394,900","$393,000","123","Resale (occupied at least once)","1979","Old Buckingham Forest","1,825","0.24","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2501641","788-64-95-32-500-000","CLOSD","12913 Silver Crest RD","23831","Chesterfield","Single Family Residence","02/26/2025","$380,000","$380,000","8","Resale (occupied at least once)","1972","Lora Lynn Heights","2,202","0.47","4","2.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2501041","8708-16-1800","CLOSD","8518 Stumpy RD","23069","Hanover","Single Family Residence","02/26/2025","$250,000","$253,000","3","Resale (occupied at least once)","1953","None","792","0.83","2","1.0","Well","Septic - Conventional","VHDA ","Individuals"
"1","2500179","770-69-23-18-400-000","CLOSD","3900 Laurelwood RD","23234","Chesterfield","Single Family Residence","02/26/2025","$380,000","$380,000","12","Resale (occupied at least once)","1973","Belfair","1,700","0.33","4","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2431536","827-716-7227","CLOSD","109 Federal ST","23150","Henrico","Single Family Residence","02/26/2025","$330,000","$325,000","34","Resale (occupied at least once)","1962","None","1,325","0.36","4","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2429951","728-66-37-09-500-000","CLOSD","9240 Brocket DR","23112","Chesterfield","Single Family Residence","02/26/2025","$355,000","$352,500","54","Resale (occupied at least once)","1995","Fawn Creek","1,683","0.24","3","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2429265","C006-0195-030","CLOSD","1000 E Belt BLVD","23224","Richmond City","Single Family Residence","02/26/2025","$300,000","$290,000","60","Resale (occupied at least once)","1940","Woodstock","1,128","0.14","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2501484","7796-97-1611","CLOSD","8930 Ringview DR","23116","Hanover","Townhouse","02/26/2025","$365,000","$360,000","5","Resale (occupied at least once)","2017","Cool Spring West","1,562","0.05","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2429471","794-62-02-34-700-000","CLOSD","4107 Fallen Pine CT","23834","Chesterfield","Single Family Residence","02/26/2025","$339,000","$339,000","60","Resale (occupied at least once)","2017","Forest View","1,728","0.82","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2503227","795-61-72-95-600-000","CLOSD","3401 Julep DR","23834","Chesterfield","Single Family Residence","02/26/2025","$169,900","$185,000","5","Resale (occupied at least once)","1983","Colonial Pine Estates","1,008","0.33","3","1.1","Public Water","Sewer - Public","Cash","Other"
"1","2502202","C009-0420-030","CLOSD","4213 Leake AVE","23224","Richmond City","Single Family Residence","02/26/2025","$250,000","$250,000","3","Resale (occupied at least once)","1948","Rolando","1,272","0.33","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2501733","778-66-95-07-500-000","CLOSD","8701 Ashton Woods CT","23237","Chesterfield","Single Family Residence","02/26/2025","$299,950","$300,000","5","Resale (occupied at least once)","1986","Ashton Woods North","1,214","0.24","3","2.0","Public Water","Sewer - Public","Conventional","Other"
"1","2501702","W021-0283-012","CLOSD","5909 Fergusson RD","23226","Richmond City","Single Family Residence","02/26/2025","$650,000","$690,000","7","Resale (occupied at least once)","1939","Club View","1,711","0.15","3","2.0","Public Water","Sewer - Public","Cash","Individuals"
