"#","ML #","PID","Status","Address Line","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2017275","N000-0976-027","CLOSD","3023 Barton Avenue, Richmond City VA 23222","23222","Richmond City","Single Family Residence","08/28/2020","$389,000","$380,000","4","New (never occupied)","2020","Brookland Park","2,430","0.12","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2006444","768-738-0169","CLOSD","6207 Monument Avenue, Henrico VA 23226","23226","Henrico","Single Family Residence","08/31/2020","$475,000","$470,000","139","Resale (occupied at least once)","1947","Westview Manor","2,274","0.38","4","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2026450","C004-0499-016","CLOSD","7210 Cherokee Road, Richmond City VA 23225","23225","Richmond City","Single Family Residence","10/13/2020","$279,000","$300,000","4","Resale (occupied at least once)","1967","Stratford Hills","1,407","0.46","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2008971","814649786800000","CLOSD","213 Mason Orchard Drive, Chesterfield VA 23836","23836","Chesterfield","Single Family Residence","10/13/2020","$326,110","$326,110","0","New (never occupied)","2020","Bermuda Orchard","2,114","","4","2.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2013944","8725-09-2111","CLOSD","7790 Millikin Lane, Hanover VA 23116","23116","Hanover","Single Family Residence","10/13/2020","$417,950","$484,381","0","New (never occupied)","2020","Bishops Park","3,648","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2009555","730-66-26-77-200-000","CLOSD","9518 Deering Court, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","10/13/2020","$375,950","$398,233","0","New (never occupied)","2020","Collington East","2,865","","5","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2009425","708-68-05-24-600-000","CLOSD","5112 Laurel Park Court, Chesterfield VA 23120","23120","Chesterfield","Single Family Residence","10/13/2020","$339,950","$387,885","0","New (never occupied)","2020","Westerleigh","2,569","","3","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2008126","713687781400000","CLOSD","15918 Cambria Cove Boulevard, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","10/13/2020","$336,990","$359,155","63","New (never occupied)","2020","Cambria Cove","2,491","","4","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2014247","812650501800000","CLOSD","13500 Bastian Drive, Chesterfield VA 23836","23836","Chesterfield","Single Family Residence","10/13/2020","$381,530","$381,530","0","New (never occupied)","2020","Ramblewood Estates","2,718","","4","3.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2026799","7797-77-5951","CLOSD","10426 Morning Dew Lane, Hanover VA 23116","23116","Hanover","Single Family Residence","10/13/2020","$429,950","$434,950","1","Resale (occupied at least once)","1997","Ash Creek","3,109","0.43","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2027248","807-64-15-97-900-000","CLOSD","14930 Majestic Creek Drive, Chesterfield VA 23834","23834","Chesterfield","Single Family Residence","10/13/2020","$279,900","$295,000","1","Resale (occupied at least once)","1997","Southcreek","2,090","0.52","4","2.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2025200","8704-45-7951","CLOSD","7300 Clark Circle, Hanover VA 23111","23111","Hanover","Single Family Residence","10/13/2020","$277,500","$264,000","27","Resale (occupied at least once)","1972","Windy Hill Estates","1,876","","3","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2021908","754-68-48-26-200-000","CLOSD","9201 Chatham Grove Lane, Chesterfield VA 23236","23236","Chesterfield","Single Family Residence","10/13/2020","$248,900","$260,000","2","Resale (occupied at least once)","1984","Fernbrook","1,988","0.36","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2022445","822-727-4820","CLOSD","133 North Battery Street, Henrico VA 23075","23075","Henrico","Single Family Residence","10/13/2020","$199,950","$205,000","7","Resale (occupied at least once)","1952","Highland Springs","1,094","0.47","3","0.2","Public Water","Sewer - Public","Conventional","Individuals"
"1","2021393","C008-0141-020","CLOSD","5009 Warwick Road, Richmond City VA 23224","23224","Richmond City","Single Family Residence","10/13/2020","$210,000","$215,000","21","Resale (occupied at least once)","2004","None","2,160","0.37","4","3.0","Public Water","Sewer - Public","FHA New Assumption","Individuals"
"1","2026210","766-759-0640","CLOSD","7437 Willow Ridge Terrace, Henrico VA 23060","23060","Henrico","Single Family Residence","10/13/2020","$269,000","$272,000","3","Resale (occupied at least once)","1999","Hungary Ridge","1,556","0.19","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2026512","C008-0217-030","CLOSD","1823 Powell Road, Richmond City VA 23224","23224","Richmond City","Single Family Residence","10/13/2020","$159,750","$165,000","3","Resale (occupied at least once)","1930","South Garden","1,482","0.36","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2026597","724-64-59-45-700-000","CLOSD","14042 Princess Mary Road, Chesterfield VA 23838","23838","Chesterfield","Single Family Residence","10/13/2020","$374,950","$375,000","3","Resale (occupied at least once)","1991","Windsor Park","2,724","1.01","5","3.0","Public Water","Septic - Conventional","VA New","Individuals"
"1","2015373","815650410000000","CLOSD","13506 Enon Oaks Place, Chesterfield VA 23836","23836","Chesterfield","Single Family Residence","10/13/2020","$309,015","$309,015","0","New (never occupied)","2020","Bermuda Orchard","1,863","","3","2.1","Public Water","Sewer - Public","USDA","Corporate"
"1","2019286","780-67-82-24-900-000","CLOSD","6901 Mason Run Drive, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","10/13/2020","$185,000","$195,000","4","Resale (occupied at least once)","1986","Mason Woods","1,408","0.25","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2028382","782-69-38-65-000-000","CLOSD","4417 Lake Hills Court, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","10/13/2020","$269,900","$300,000","3","Resale (occupied at least once)","1974","Lake Hills","1,356","1.48","3","2.0","Public Water","Septic - Conventional","Cash","Individuals"
"1","2027092","8724-28-1541","CLOSD","7479 Washington Arch Drive #Unit7479, Hanover VA 23111","23111","Hanover","Townhouse","10/13/2020","$235,000","$235,000","3","Resale (occupied at least once)","2015","Liberty Trace","1,602","0.08","3","2.1","Public Water","Sewer - Public","VHDA/FHA","Individuals"
"1","2023931","779-66-83-86-600-000","CLOSD","5207 White Pickett Lane, Chesterfield VA 23237","23237","Chesterfield","Single Family Residence","10/13/2020","$217,000","$223,000","57","Resale (occupied at least once)","1990","Ashton Woods North","1,524","0.25","4","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2024143","742-70-33-22-900-000","CLOSD","218 Jodie Terrace, Chesterfield VA 23236","23236","Chesterfield","Single Family Residence","10/13/2020","$389,000","$390,000","4","Resale (occupied at least once)","1989","Stonehenge","2,779","0.56","5","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2027350","N000-0985-005","CLOSD","3014 Groveland Avenue, Richmond City VA 23222","23222","Richmond City","Single Family Residence","10/13/2020","$155,000","$155,000","5","Resale (occupied at least once)","1931","Highland Terrace Annex","846","0.10","2","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2017583","8706-76-0294","CLOSD","8192 Marley Drive, Hanover VA 23116","23116","Hanover","Townhouse","10/13/2020","$324,900","$330,300","3","Resale (occupied at least once)","2017","Marley Pointe","1,962","0.09","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2027354","N016-0157-012","CLOSD","3411 Griffin Avenue, Richmond City VA 23222","23222","Richmond City","Single Family Residence","10/13/2020","$299,000","$299,000","5","Resale (occupied at least once)","1950","Edgewood","1,788","0.17","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
