"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2011685","753-62-24-24-600-000","CLOSD","10409 Chesdin Ridge CT","23803","Chesterfield","Single Family Residence","05/29/2020","$249,950","$245,000","16","Resale (occupied at least once)","2003","Chesdin Ridge","1,690","0.94","3","2.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2012476","745-68-21-87-400-000","CLOSD","10927 Decoy LN","23832","Chesterfield","Single Family Residence","06/15/2020","$231,900","$237,900","4","Resale (occupied at least once)","1989","Hunters Landing","1,536","0.22","4","2.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","1936237","728-66-12-57-200-000","CLOSD","14254 Ashmill DR","23112","Chesterfield","Single Family Residence","06/15/2020","$327,950","$343,292","0","New (never occupied)","2020","Collington","1,440","0.00","3","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2011063","789-64-55-32-200-000","CLOSD","4803 Burnettedale CT","23831","Chesterfield","Single Family Residence","06/15/2020","$324,900","$330,000","30","Resale (occupied at least once)","2007","Hartland","3,043","0.44","5","3.1","Public Water","Septic - Conventional","VA New","Individuals"
"1","2010171","33B13113R  68","CLOSD","10434 Pine Warbler DR","23140","New Kent","Single Family Residence","06/15/2020","$349,950","$349,950","33","Resale (occupied at least once)","2013","Brickshire","2,838","0.51","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2000625","7796-48-1940","CLOSD","9989 Puddle Duck LN","23116","Hanover","Single Family Residence","06/15/2020","$464,990","$464,990","115","New (never occupied)","2019","Summer Duck","3,558","0.26","5","4.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2013023","752-68-29-28-100-000","CLOSD","9506 Gregorys Charter DR","23236","Chesterfield","Single Family Residence","06/15/2020","$369,950","$370,000","4","Resale (occupied at least once)","2004","Gregorys Charter","3,309","0.59","5","3.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2008613","758-70-20-24-300-000","CLOSD","8436 Leno PL","23236","Chesterfield","Single Family Residence","06/15/2020","$299,950","$295,000","31","Resale (occupied at least once)","2016","Boxwood","2,229","0.29","4","2.1","Public Water","Sewer - Public","Other","Individuals"
"1","2010033","N000-1893-029","CLOSD","1424 Avondale AVE","23227","Richmond City","Single Family Residence","06/15/2020","$399,000","$395,000","6","Resale (occupied at least once)","1925","Bellevue","1,880","0.15","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2008174","7788-56-9151","CLOSD","11325 Winding Brook Terrace DR Unit#IG","23005","Hanover","Townhouse","06/15/2020","$264,990","$268,990","20","New (never occupied)","2020","Winding Brook Townhomes","1,576","","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2014083","820-690-8866","CLOSD","3037 Danrett LN","23231","Henrico","Single Family Residence","06/15/2020","$270,000","$270,000","4","Resale (occupied at least once)","2004","Doran Forest","2,084","0.38","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2008860","796-65-24-93-100-000","CLOSD","12620 Merry DR","23831","Chesterfield","Single Family Residence","06/15/2020","$264,000","$259,900","13","Resale (occupied at least once)","1968","Gay Farms","2,966","0.49","5","3.0","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2013293","751-70-48-24-000-000","CLOSD","139 Chessington RD","23236","Chesterfield","Single Family Residence","06/15/2020","$199,950","$215,000","4","Resale (occupied at least once)","1977","Archwood","1,753","0.32","5","3.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2010713","778652630600000","CLOSD","12016 Avaclaire DR","23831","Chesterfield","Townhouse","06/15/2020","$280,545","$280,545","30","New (never occupied)","2020","Stonebridge Gardens West at Ironbridge Plaza","2,146","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","1933547","21-D-31B-31","CLOSD","9317 Stingray Point Ct","23124","New Kent","Single Family Residence","06/15/2020","$329,145","$329,145","200","New (never occupied)","2019","Greenwood Estates","2,255","0.74","4","2.1","Public Water","Septic - Conventional","VA New","Corporate"
"1","2013809","786-68-91-79-300-000","CLOSD","5105 Carryback DR","23234","Chesterfield","Single Family Residence","06/15/2020","$176,000","$176,000","6","Resale (occupied at least once)","1979","Shady Creek","1,425","0.20","4","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2013664","706-66-95-95-500-000","CLOSD","7703 Rock Cress DR","23120","Chesterfield","Single Family Residence","06/15/2020","$600,000","$600,000","9","Resale (occupied at least once)","2016","Magnolia Green","3,584","0.40","5","3.0","Public Water","Sewer - Public","Conventional","Individuals"
