"#","ML #","PID","Status","Address Line","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","BRTVARC2000490","N0000642013","CLOSD","2611 North Avenue, Richmond City VA 23222","23222","Richmond City","Single Family Residence","12/23/2024","$459,950","$449,950","147","Resale (occupied at least once)","1910","NONE AVAILABLE","1,840","0.15","3","3.0","Public Water","Public Sewer On Site","",""
"1","2429643","E000-1271-023","CLOSD","1418 Oakwood Avenue, Richmond City VA 23223","23223","Richmond City","Single Family Residence","12/23/2024","$549,900","$540,000","19","Resale (occupied at least once)","1920","East End","2,332","","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2421587","8715991293","CLOSD","7038 Hill Meadows Court, Hanover VA 23116","23116","Hanover","Single Family Residence","12/23/2024","$489,000","$480,000","64","Resale (occupied at least once)","1996","Hill Meadows","2,029","0.95","3","2.0","Well","Septic - Conventional","Conventional","Estate"
"1","2429405","760-738-4045","CLOSD","505 Waveny Road, Henrico VA 23229","23229","Henrico","Single Family Residence","12/23/2024","$680,300","$745,000","17","Resale (occupied at least once)","1952","Westham","2,323","0.49","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","BRTVACF2000928","817655188300000","CLOSD","12612 Prestonfield Drive, Chesterfield VA 23836","23836","Chesterfield","Townhouse","12/23/2024","$354,900","$349,000","22","Resale (occupied at least once)","2020","RIVERS BEND","1,584","0.00","3","3.0","Public Water","Public Sewer On Site, Septic","",""
"1","2423082","715660396100000","CLOSD","8913 Tregeare Road, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","12/23/2024","$679,999","$670,999","100","New (never occupied)","2024","Harpers Mill","3,903","0.32","5","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2423853","7096754546","CLOSD","6617 Cassia Loop, Chesterfield VA 23120","23120","Chesterfield","Single Family Residence","12/23/2024","$477,590","$465,000","41","New (never occupied)","2024","Wynwood at Foxcreek","1,989","0.11","3","2.1","Public Water","Sewer - Public","Conventional","Other"
"1","2430430","W000-1513-037","CLOSD","111 North Crenshaw Avenue, Richmond City VA 23221","23221","Richmond City","Single Family Residence","12/23/2024","$675,000","$725,000","7","Resale (occupied at least once)","1917","None","1,939","0.05","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2425955","TBD","CLOSD","13331 Garland Lane, Chesterfield VA 23114","23114","Chesterfield","Condominium","12/23/2024","$374,290","$374,290","14","New (never occupied)","2024","Coalfield Station","1,974","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2426359","7884-10-3798","CLOSD","17039 North Telegraph Road, Hanover VA 23047","23047","Hanover","Single Family Residence","12/23/2024","$345,000","$348,000","52","Resale (occupied at least once)","1904","None","1,986","0.36","4","2.0","Public Water","Septic - Conventional","FHA New","Individuals"
