"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","1933061","C007-0165-006","CLOSD","631 Kaki DR","23225","Richmond City","Single Family Residence","12/23/2019","$210,000","$215,000","25","Resale (occupied at least once)","1959","Warwick Acres","1,289","0.41","3","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","1929665","786-65-18-18-400-000","CLOSD","4811 Cool Spring DR","23831","Chesterfield","Single Family Residence","12/30/2019","$279,900","$265,000","82","","1965","Bruce Farms","2,914","0.51","5","3.0","Public Water","Septic - Conventional","FHA New","Corporate"
"1","1933469","8736-09-0313","CLOSD","5509 Rainier DR","23116","Hanover","Single Family Residence","01/02/2020","$310,000","$310,000","39","Resale (occupied at least once)","1991","Ranier Estates","2,420","1.26","3","2.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","1934978","W000-1162-042","CLOSD","11 N Mulberry ST","23220","Richmond City","Single Family Residence","01/02/2020","$389,000","$395,300","11","Resale (occupied at least once)","1916","None","1,254","0.03","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","1936283","S000-2467-007","CLOSD","3702 Crutchfield ST","23225","Richmond City","Single Family Residence","01/02/2020","$234,900","$234,900","26","Resale (occupied at least once)","1944","Forest Hill Park Annex","1,337","0.17","3","2.0","Public Water","Sewer - Public","FHA New","Partnership"
"1","2000157","794-66-51-35-000-000","CLOSD","10210 Brightwood AVE","23237","Chesterfield","Single Family Residence","01/02/2020","$211,150","$211,150","0","New (never occupied)","2019","Central Park","1,700","","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","1926434","763-755-0639","CLOSD","4835 Autumn Wagon LN","23294","Henrico","Townhouse","01/02/2020","$290,900","$302,095","106","New (never occupied)","2019","Westchase","2,046","","3","2.1","Public Water","Sewer - Public","Cash","Corporate"
"1","1934537","786-65-89-79-500-000","CLOSD","11408 Womack RD","23831","Chesterfield","Single Family Residence","01/02/2020","$349,000","$338,950","42","Resale (occupied at least once)","1945","None","2,564","2.95","4","3.0","Public Water","Septic - Conventional","Conventional","Individuals"
"1","1927584","8725-66-7008","CLOSD","8305 Tarragon DR","23111","Hanover","Single Family Residence","01/02/2020","$269,000","$266,000","92","","1996","Spicetree","1,798","0.54","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","1936166","760-760-4097","CLOSD","9103 Prestondale AVE","23294","Henrico","Single Family Residence","01/02/2020","$235,900","$235,900","10","Resale (occupied at least once)","1964","West End Manor","1,416","0.27","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","1936251","760-67-83-13-100-000","CLOSD","9213 Scotts Bluff LN","23832","Chesterfield","Single Family Residence","01/02/2020","$281,000","$281,000","12","Resale (occupied at least once)","2005","Cascade Creek","2,196","0.21","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","1925271","43-39-0-22-0","CLOSD","1987 Lanes End DR","23102","Goochland","Single Family Residence","01/02/2020","$531,950","$547,985","91","","2019","Lanes End","2,821","","4","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","1937465","W000-2029-008","CLOSD","4501 Monument AVE","23230","Richmond City","Single Family Residence","01/02/2020","$750,000","$760,000","4","Resale (occupied at least once)","1927","Monument Avenue Park","3,962","0.17","4","3.1","Public Water","Sewer - Public","Conventional","Individuals"
