"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2117465","E000-0974-019","CLOSD","3410 E Broad ST","23223","Richmond City","Single Family Residence","09/13/2021","$599,950","$570,000","52","Resale (occupied at least once)","1910","None","2,484","0.08","4","2.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2121960","W020-0125-035","CLOSD","365 Lexington RD","23226","Richmond City","Single Family Residence","09/13/2021","$610,000","$727,500","6","Resale (occupied at least once)","1931","None","2,384","0.12","4","3.1","Public Water","Sewer - Public","Cash","Estate"
"1","2124968","709-68-12-57-700-000","CLOSD","16719 Elinwood CT","23120","Chesterfield","Single Family Residence","09/13/2021","$459,000","$475,000","5","Resale (occupied at least once)","2016","Westerleigh","2,843","0.50","5","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2122598","736-751-0292","CLOSD","2240 Thornbury DR","23233","Henrico","Single Family Residence","09/13/2021","$349,950","$339,500","23","Resale (occupied at least once)","1991","Bennington Ridge East","1,544","0.32","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2022592","777-67-13-85-600-000","CLOSD","5713 Reedy Springs DR","23237","Chesterfield","Single Family Residence","09/13/2021","$282,950","$380,796","28","New (never occupied)","2020","Reedy Springs","1,878","","4","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2122344","720-67-68-22-400-000","CLOSD","5900 Mill Spring RD","23112","Chesterfield","Single Family Residence","09/13/2021","$235,000","$270,000","3","Resale (occupied at least once)","1985","Mill Spring","1,416","0.27","3","2.1","Public Water","Sewer - Public","VHDA ","Individuals"
"1","2114634","820-64-58-14-600-000","CLOSD","14410 Bermuda AVE","23836","Chesterfield","Single Family Residence","09/13/2021","$292,000","$282,000","17","Resale (occupied at least once)","1992","Point Of Rocks Estates","1,908","0.26","3","2.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2121732","738-71-17-23-700-000","CLOSD","11711 Sainsbury CT","23113","Chesterfield","Single Family Residence","09/13/2021","$295,000","$270,000","15","Resale (occupied at least once)","1970","Olde Coach Village","1,923","0.30","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2124861","16-7-2","CLOSD","5940 Greenyard Estates LN","23140","Charles City County","Single Family Residence","09/13/2021","$212,000","$225,000","4","Resale (occupied at least once)","2008","None","1,200","1.21","3","2.0","Well","Septic - Conventional","VHDA/FHA","Individuals"
"1","2124967","8706-22-9329","CLOSD","8357 Alpha ST","23116","Hanover","Single Family Residence","09/13/2021","$299,000","$310,000","2","Resale (occupied at least once)","1955","Hanover Heights","1,802","1.42","3","1.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2124948","810-730-7509","CLOSD","1138 Micheline TER","23223","Henrico","Single Family Residence","09/13/2021","$275,000","$277,000","4","Resale (occupied at least once)","1989","Mitcheltree","1,863","0.49","5","2.1","Public Water","Sewer - Public","VHDA/FHA","Corporate"
"1","2122182","8706-67-5565","CLOSD","9390 Marne CT","23116","Hanover","Single Family Residence","09/13/2021","$454,950","$471,650","3","New (never occupied)","2018","Timberlake Commons","2,838","0.19","4","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2121514","760-748-1350","CLOSD","7708 Durvin DR","23229","Henrico","Single Family Residence","09/13/2021","$239,900","$250,000","12","Resale (occupied at least once)","1955","Cavalier Park","1,177","0.28","2","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2117019","8705-32-5790","CLOSD","8150 Newman DR","23116","Hanover","Single Family Residence","09/13/2021","$339,950","$339,950","4","Resale (occupied at least once)","1968","Burnside Farms","2,908","0.58","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2124645","6799-04-0356","CLOSD","12220 Stirrup Cup LN","23146","Hanover","Single Family Residence","09/13/2021","$524,950","$565,950","7","Resale (occupied at least once)","1996","Foxridge","2,929","2.43","4","3.1","Well","Septic - Conventional","Cash","Individuals"
"1","2120356","21C  1     2","CLOSD","7608 Airport RD","23141","New Kent","Single Family Residence","09/13/2021","$159,000","$165,000","19","Resale (occupied at least once)","1973","Lipscomb","960","0.68","3","1.0","Public Water","Septic - Conventional","USDA","Individuals"
"1","2122786","713-66-45-87-000-000","CLOSD","8413 Putford CT","23832","Chesterfield","Single Family Residence","09/13/2021","$485,000","$485,000","6","Resale (occupied at least once)","2010","Harpers Mill","2,981","0.28","4","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2122580","778-66-57-35-500-000","CLOSD","5517 Aberdare DR","23237","Chesterfield","Single Family Residence","09/13/2021","$289,000","$289,000","10","Resale (occupied at least once)","1985","Salem Woods","1,732","0.32","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2121120","032-4-10B","CLOSD","2847 Huguenot Springs RD","23113","Powhatan","Single Family Residence","09/13/2021","$325,000","$335,000","15","Resale (occupied at least once)","1980","Huguenot Springs","1,664","2.74","3","2.1","Well","Septic - Conventional","FHA New","Individuals"
"1","2119736","8714-11-7578","CLOSD","7172 Mill Valley RD","23111","Hanover","Single Family Residence","09/13/2021","$274,950","$269,950","4","Resale (occupied at least once)","1988","Mill Valley","1,510","0.18","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2124958","774-66-92-30-400-000","CLOSD","6207 Huntingcreek DR","23237","Chesterfield","Single Family Residence","09/13/2021","$219,950","$225,000","4","Resale (occupied at least once)","1980","Huntingcreek Hills","1,186","0.26","3","1.1","Public Water","Sewer - Public","VHDA ","Individuals"
"1","2124472","751-765-9505","CLOSD","4603 Breithorne CT","23060","Henrico","Single Family Residence","09/13/2021","$415,000","$435,000","6","Resale (occupied at least once)","1987","The Village @ Innsbrook","1,942","0.38","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2122855","719-71-24-28-000-000","CLOSD","624 Diamond Creek DR","23113","Chesterfield","Single Family Residence","09/13/2021","$379,900","$399,250","6","Resale (occupied at least once)","2014","Brookfield","2,620","0.17","3","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2111457","712-67-89-57-100-000","CLOSD","5766 Trail Ride DR","23120","Chesterfield","Single Family Residence","09/13/2021","$425,000","$450,000","12","New (never occupied)","2021","Foxfield","2,607","","5","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2126290","764-757-1155.054","CLOSD","7750 Flannagan CT Unit#504","23228","Henrico","Condominium","09/13/2021","$169,950","$169,950","6","Resale (occupied at least once)","1992","Shannon Green","920","0.02","2","2.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2125932","738-68-83-15-300-000","CLOSD","3001 Duck River CT","23112","Chesterfield","Single Family Residence","09/13/2021","$150,000","$151,000","6","Resale (occupied at least once)","1985","Plum Creek At South Ridge","1,020","0.40","3","2.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2125576","725-66-99-27-700-000","CLOSD","14313 Branched Antler DR","23112","Chesterfield","Single Family Residence","09/13/2021","$269,000","$283,000","4","Resale (occupied at least once)","1995","Antler Ridge","1,672","0.42","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2125229","814-64-83-09-700-000","CLOSD","1500 Mangrove Bay TER","23836","Chesterfield","Single Family Residence","09/13/2021","$465,000","$465,000","2","Resale (occupied at least once)","2017","Ramblewood Forest","3,735","0.34","5","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2125220","806-730-1618","CLOSD","2709 Old Glen CIR","23223","Henrico","Single Family Residence","09/13/2021","$319,950","$338,000","5","Resale (occupied at least once)","2005","Glenwood Lakes","2,521","0.35","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2125210","W021-0407-016","CLOSD","20 Libbie AVE","23226","Richmond City","Single Family Residence","09/13/2021","$410,000","$530,000","6","Resale (occupied at least once)","1960","Dahlia Farms","1,236","0.18","3","1.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2125144","767-68-48-45-100-000","CLOSD","6607 W Denny CT","23832","Chesterfield","Single Family Residence","09/13/2021","$229,999","$255,000","5","Resale (occupied at least once)","1987","Fairpines","1,510","0.22","4","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2125059","726-69-08-93-500-000","CLOSD","13826 Crosstimbers RD","23112","Chesterfield","Single Family Residence","09/13/2021","$280,000","$280,000","5","Resale (occupied at least once)","1992","Brandermill","1,628","0.16","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2124858","46-1-0-8-D","CLOSD","878 Three Chopt RD","23103","Goochland","Single Family Residence","09/13/2021","$350,000","$400,000","4","Resale (occupied at least once)","1993","Tuckahoe Creek","1,632","4.27","3","2.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2124766","7797-76-9387","CLOSD","9101 Minglewood LN","23116","Hanover","Single Family Residence","09/13/2021","$419,000","$419,000","6","Resale (occupied at least once)","1997","Ash Creek","2,689","0.35","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2124748","814-729-7811","CLOSD","311 Wren RD","23223","Henrico","Single Family Residence","09/13/2021","$265,000","$285,000","3","Resale (occupied at least once)","1984","Tiffany Meadows","1,804","0.27","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
