"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2530908","N0000564021","CLOSD","2119 5th AVE","23222","Richmond City","Single Family Residence","02/23/2026","$375,000","$375,000","70","New (never occupied)","2025","Chestnut Hills","","","3","2.1","Public Water","Sewer - Public","VA Assumption","Corporate"
"1","2600355","W000-0818-019","CLOSD","1810 Hanover AVE","23220","Richmond City","Single Family Residence","02/23/2026","$1,150,000","$1,154,250","5","Resale (occupied at least once)","1913","None","3,429","0.07","4","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2529585","716-67-22-15-100-000","CLOSD","15351 Sunray ALY","23112","Chesterfield","Townhouse","02/23/2026","$439,865","$443,833","21","New (never occupied)","2025","Oasis Townhomes","","","3","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2515511","823-694-7214","CLOSD","3632 Shining Armor LN","23231","Henrico","Single Family Residence","02/23/2026","$440,345","$440,345","210","New (never occupied)","2025","Castleton","","0.22","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2517826","838-713-4773","CLOSD","539 Destination WAY Unit#A","23150","Henrico","Condominium","02/23/2026","$247,580","$247,580","0","New (never occupied)","2025","Landmark","","","2","2.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2524190","Not Yet Assigned","CLOSD","3813 Kinalin LN","23234","Richmond City","Single Family Residence","02/23/2026","$504,885","$512,035","0","New (never occupied)","2025","Kinwick","2,480","","5","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2520401","Not Yet Assigned","CLOSD","4806 Tuscany CT","23120","Chesterfield","Single Family Residence","02/23/2026","$817,900","$817,900","33","New (never occupied)","2025","East Estates At Mount Hermon","2,586","","5","4.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2531109","783-67-32-79-500-000","CLOSD","4249 Inca DR","23237","Chesterfield","Single Family Residence","02/23/2026","$399,990","$400,000","36","Resale (occupied at least once)","1971","Indian Springs - Chest","3,120","0.35","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2600556","S005-3301-009","CLOSD","719 W 49th ST","23225","Richmond City","Single Family Residence","02/23/2026","$349,999","$357,000","9","Resale (occupied at least once)","1947","Forest Hill Terrace","1,320","0.17","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2600027","800-692-5961","CLOSD","1037 Berryhill RD","23231","Henrico","Single Family Residence","02/23/2026","$555,000","$546,000","10","Resale (occupied at least once)","2014","Richmond Heights","5,413","4.84","1","1.1","Well","Septic - Engineered","Conventional","Individuals"
