"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2424991","732-756-0004","CLOSD","12345 Shore View DR","23233","Henrico","Townhouse","04/04/2025","$345,000","$315,000","147","Resale (occupied at least once)","1987","Bay Cove","1,248","0.04","2","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","BRTVAHN2000812","762-744-6685","CLOSD","1654 Foster RD","23226","Henrico","Single Family Residence","04/04/2025","$285,000","$280,000","0","Resale (occupied at least once)","1954","NONE AVAILABLE","925","0.00","2","1.0","Public Water","Public Sewer On Site, Septic - Shared","",""
"1","2416623","706-68-11-29-400-000","CLOSD","17119 Westington RD","23120","Chesterfield","Single Family Residence","04/04/2025","$625,950","$719,409","0","New (never occupied)","2025","Westerleigh","2,893","","4","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2431579","717-66-76-72-900-000","CLOSD","15506 Winding Ash DR","23832","Chesterfield","Single Family Residence","04/04/2025","$379,000","$379,000","76","Resale (occupied at least once)","2003","Ashbrook","1,650","0.21","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2430153","TBD","CLOSD","13269 Garland LN","23114","Chesterfield","Condominium","04/04/2025","$369,585","$369,585","38","New (never occupied)","2024","Coalfield Station","1,623","","2","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2503778","N000-1036-004","CLOSD","3220 Fendall","23222","Richmond City","Single Family Residence","04/04/2025","$535,000","$535,000","12","Resale (occupied at least once)","1923","Brightwood","2,184","","4","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2504700","8716-35-5003","CLOSD","9252 Tadcaster CIR","23116","Hanover","Single Family Residence","04/04/2025","$399,000","$405,000","15","Resale (occupied at least once)","1977","Avondale","2,085","0.48","4","2.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2428864","804-726-7908","CLOSD","3204 Glenwood Ridge LN","23223","Henrico","Single Family Residence","04/04/2025","$456,910","$459,000","0","New (never occupied)","2024","Fairways","1,823","0.20","4","2.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2505059","8724-30-2794","CLOSD","6351 Tammy LN","23111","Hanover","Single Family Residence","04/04/2025","$365,000","$360,000","3","Resale (occupied at least once)","1972","High Point Farms","1,225","0.48","4","2.0","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2501860","769-746-5353","CLOSD","6610 Bethlehem RD","23230","Henrico","Single Family Residence","04/04/2025","$540,000","$540,000","45","New (never occupied)","2024","Greendale Forest","2,160","0.18","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2431665","826-692-2662","CLOSD","7067 Ravenscraig CRES","23231","Henrico","Single Family Residence","04/04/2025","$448,000","$448,000","55","Resale (occupied at least once)","2017","Castleton","2,481","0.46","4","2.0","Public Water","Sewer - Public","VA New","Individuals"
"1","2424137","743-68-16-67-800-000","CLOSD","4212 Stigall DR","23112","Chesterfield","Single Family Residence","04/04/2025","$389,950","$392,520","149","Resale (occupied at least once)","2002","Frederick Farms","1,876","0.81","5","3.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2423349","30-7-0-5-0","CLOSD","3130 Kensington LN","23063","Goochland","Single Family Residence","04/04/2025","$778,950","$778,950","182","New (never occupied)","2024","Kensington Creek","3,216","2.82","4","3.1","Well","Septic - Conventional","Conventional","Corporate"
"1","2501599","726-691-19-81-00000","CLOSD","13911 Turtle Hill RD","23112","Chesterfield","Single Family Residence","04/04/2025","$415,000","$442,000","4","Resale (occupied at least once)","1989","Turtle Hill","1,961","","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2500545","TBD","CLOSD","13271 Garland LN","23114","Chesterfield","Condominium","04/04/2025","$385,090","$380,000","36","New (never occupied)","2024","Coalfield Station","1,974","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2505510","8704-76-3571","CLOSD","7333 Strain AVE","23111","Hanover","Single Family Residence","04/04/2025","$319,000","$319,000","3","Resale (occupied at least once)","1948","Mechanicsville Farms","1,608","0.31","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2506260","C005-0729-011","CLOSD","1005 Boroughbridge RD","23225","Richmond City","Single Family Residence","04/04/2025","$265,000","$285,000","4","Resale (occupied at least once)","1950","Forest View Heights","935","0.34","2","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2501737","E012-0320-011","CLOSD","2208 N 29th ST","23223","Richmond City","Single Family Residence","04/04/2025","$224,900","$223,000","40","Resale (occupied at least once)","1958","None","862","0.18","3","1.0","Public Water","Sewer - Public","VA New","Corporate"
"1","2505084","751-749-7831","CLOSD","1800 Verona RD","23229","Henrico","Single Family Residence","04/04/2025","$350,000","$377,600","2","Resale (occupied at least once)","1961","Pinedale Farms","2,538","0.33","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2506393","760-765-4295","CLOSD","9020 Merlin CT","23060","Henrico","Single Family Residence","04/04/2025","$399,900","$400,000","3","Resale (occupied at least once)","1989","Castle Point","1,872","0.26","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2505246","C007-0202-010","CLOSD","1049 Kingsway RD","23225","Richmond City","Single Family Residence","04/04/2025","$290,000","$300,000","4","Resale (occupied at least once)","1965","Barleth Heights","1,249","0.22","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2504583","771-67-94-54-800-000","CLOSD","6119 Manuel CT","23234","Chesterfield","Single Family Residence","04/04/2025","$315,000","$310,000","7","Resale (occupied at least once)","1990","Kings Forest","1,128","0.16","4","1.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2429094","815-728-8878","CLOSD","429 Westover Pines DR","23223","Henrico","Townhouse","04/04/2025","$275,000","$281,000","20","Resale (occupied at least once)","2006","Westover Pines Townhouses","1,740","0.04","3","3.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2505540","028A2-1C-34A2","CLOSD","2567 Georges RD","23139","Powhatan","Single Family Residence","04/04/2025","$289,900","$312,200","5","Resale (occupied at least once)","1976","Red Lane","1,092","1.09","3","1.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2431958","794-61-58-70-000-000","CLOSD","20204 Laurel RD","23803","Chesterfield","Single Family Residence","04/04/2025","$250,000","$250,000","55","Resale (occupied at least once)","1957","Laurel Branch Farms","1,802","0.45","3","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2502875","62-31-C-9-0","CLOSD","737 Woodson PL","23103","Goochland","Single Family Residence","04/04/2025","$1,475,000","$1,375,000","6","Resale (occupied at least once)","1997","Meadows At Manakin","4,520","3.97","4","3.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2432019","N000-0655-001","CLOSD","2516 3 AVE","23222","Richmond City","Single Family Residence","04/04/2025","$549,999","$549,999","5","Resale (occupied at least once)","1910","Chestnut Hills","2,376","0.19","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2427018","750-62-82-21-200-000","CLOSD","15412 Saddlebrook RD","23838","Chesterfield","Single Family Residence","04/04/2025","$325,000","$325,000","121","Resale (occupied at least once)","2023","Bright Oaks Estates","1,214","0.41","3","2.0","Public Water","Septic - Engineered","FHA New","Individuals"
"1","2500076","758-64-76-26-600-000","CLOSD","8801 First Branch LN","23838","Chesterfield","Single Family Residence","04/04/2025","$649,900","$650,000","5","Resale (occupied at least once)","2002","First Branch @ Woodland Pond","","1.22","4","4.0","Public Water","Septic - Conventional","Conventional","Individuals"
