"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2000923","741-72-44-04-400-000","CLOSD","3711 Dunleith CT","23113","Chesterfield","Single Family Residence","02/15/2020","$625,000","$627,500","130","Resale (occupied at least once)","1985","Reeds Landing","4,718","0.92","6","5.0","Public Water","Septic - Conventional","Conventional","Individuals"
"1","1937797","25-1-A","CLOSD","6830 Barnetts RD","23030","Charles City County","Single Family Residence","02/16/2020","$135,000","$135,000","35","Resale (occupied at least once)","2014","None","1,344","2.14","3","2.0","Well","Septic - Alternative","FHA New","REO"
"1","2002526","8706-40-2843","CLOSD","9042 Fayemont DR","23116","Hanover","Single Family Residence","02/17/2020","$239,900","$242,000","2","Resale (occupied at least once)","1996","Hanover Heights South","1,196","0.70","3","2.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2000652","N000-1159-022","CLOSD","3325 Maryland AVE","23222","Richmond City","Single Family Residence","02/17/2020","$249,900","$246,000","8","Resale (occupied at least once)","1920","North Highland Park","1,944","0.17","2","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2000192","752-62-80-26-600-000","CLOSD","10941 River RD","23838","Chesterfield","Single Family Residence","02/17/2020","$239,900","$240,000","7","Resale (occupied at least once)","1983","None","1,873","0.73","3","2.1","Well","Septic - Conventional","Conventional","Individuals"
"1","1937872","764-68-81-96-900-000","CLOSD","4246 Round Hill DR","23832","Chesterfield","Single Family Residence","02/17/2020","$249,900","$247,900","32","Resale (occupied at least once)","1977","Creekwood","1,911","0.36","4","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","1939235","782-61-13-99-500-000","CLOSD","5907 Brillhart Station DR","23803","Chesterfield","Single Family Residence","02/17/2020","$249,950","$249,950","15","New (never occupied)","2018","Whittington Forest","1,918","0.29","4","2.1","Public Water","Sewer - Public","VA Assumption","Individuals"
"1","2001361","C006-0593-008","CLOSD","609 Woodstock RD","23224","Richmond City","Single Family Residence","02/17/2020","$139,900","$145,000","8","Resale (occupied at least once)","1940","Warwick Gardens","1,199","0.69","3","1.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","1921202","8715-31-2999","CLOSD","7365 Beechbark LN Unit#Q1","23111","Hanover","Townhouse","02/17/2020","$485,969","$485,969","0","New (never occupied)","2019","Cherry Grove Section 1 - Hanover","2,359","0.00","3","3.0","Public Water","Sewer - Public","Cash","Corporate"
"1","1933382","755-68-53-63-300-000","CLOSD","4406 Rabbit Foot PL","23236","Chesterfield","Single Family Residence","02/17/2020","$210,800","$208,000","49","Resale (occupied at least once)","1982","Fernbrook","1,734","0.47","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
