"#","ML #","PID","Status","Address Line","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2217963","801-730-8612","CLOSD","1908 Hobson Lane, Henrico VA 23223","23223","Henrico","Single Family Residence","08/17/2022","$124,000","$122,000","18","Resale (occupied at least once)","1949","Oak Hill","1,156","0.23","4","1.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2133655","7777-95-2908","CLOSD","10323 Meadow Plains Drive, Hanover VA 23059","23059","Hanover","Single Family Residence","08/17/2022","$685,408","$703,513","0","New (never occupied)","2021","Chickahominy","2,300","","3","2.1","Public Water","Sewer - Public","Cash","Corporate"
"1","2218142","756-760-9169","CLOSD","9346 Gildenfield Court, Henrico VA 23294","23294","Henrico","Townhouse","08/17/2022","$260,800","$260,800","10","Resale (occupied at least once)","1980","Pheasant Run Townhouses","1,280","0.04","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2215349","776-64-21-91-000-000","CLOSD","6620 Glebe Point Road, Chesterfield VA 23838","23838","Chesterfield","Single Family Residence","08/17/2022","$575,000","$569,000","33","Resale (occupied at least once)","1985","Glebe Point","3,900","1.02","4","3.0","Public Water","Septic - Conventional","VA New","Individuals"
"1","2213688","117478","CLOSD","7774 Lovegrass Terrace, New Kent VA 23124","23124","New Kent","Single Family Residence","08/17/2022","$462,890","$455,000","62","New (never occupied)","2022","Arbors","2,237","","4","2.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2216458","8707-52-7045","CLOSD","8212 New Ashcake Road, Hanover VA 23116","23116","Hanover","Single Family Residence","08/17/2022","$334,950","$334,950","16","Resale (occupied at least once)","1980","Pearsons Corner","1,673","0.46","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2203751","709678992400000","CLOSD","6119 Water Violet Terrace, Chesterfield VA 23120","23120","Chesterfield","Single Family Residence","08/17/2022","$603,612","$603,613","0","New (never occupied)","2022","Wynwood at Foxcreek","3,547","","6","4.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2202217","Not Yet Assigned","CLOSD","7707 Leeds Castle Lane, New Kent VA 23124","23124","New Kent","Townhouse","08/17/2022","$344,140","$344,140","72","New (never occupied)","2022","Maidstone Village","1,667","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2200678","026C-1-7C1","CLOSD","4192 Old Buckingham Road, Powhatan VA 23139","23139","Powhatan","Single Family Residence","08/17/2022","$329,950","$330,000","7","New (never occupied)","2022","None","1,600","1.01","3","2.0","Well","Septic - Conventional","Conventional","Corporate"
"1","2131454","33B8 42Q  82","CLOSD","5202 Ashborough Drive, New Kent VA 23140","23140","New Kent","Single Family Residence","08/17/2022","$755,843","$755,843","0","New (never occupied)","2021","Brickshire","4,860","0.52","6","5.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2219903","N016-0156-002","CLOSD","3313 Edgewood Avenue, Richmond City VA 23222","23222","Richmond City","Single Family Residence","08/17/2022","$465,000","$480,000","5","Resale (occupied at least once)","1945","Edgewood","2,075","0.17","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2218448","779-65-62-52-900-000","CLOSD","11406 Holly Arbor Drive, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","08/17/2022","$370,000","$375,000","5","Resale (occupied at least once)","1991","Arbor Landing","2,246","0.37","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2220429","779-68-52-86-200-000","CLOSD","5642 Benika Drive, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","08/17/2022","$198,000","$198,000","3","Resale (occupied at least once)","1949","North Chesterwood","1,100","0.25","3","1.0","Public Water","Sewer - Public","Conventional","Estate"
"1","2218201","33B7 5 1  BB","CLOSD","5843 Nandina Circle, New Kent VA 23140","23140","New Kent","Townhouse","08/17/2022","$249,900","$249,900","7","Resale (occupied at least once)","2008","Oakmont Villas","1,902","0.07","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2220473","W021-0205-011","CLOSD","6313 Kensington Avenue, Richmond City VA 23226","23226","Richmond City","Single Family Residence","08/17/2022","$340,000","$350,000","7","Resale (occupied at least once)","1954","Westhampton Heights Annex","1,046","0.17","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2124811","713-67-16-04-400-000","CLOSD","7012 Dunton Road, Chesterfield VA 23832","23832","Chesterfield","Townhouse","08/17/2022","$416,950","$433,165","14","New (never occupied)","2022","Cosby Village Townhomes","2,385","","3","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2220241","745-68-05-98-300-000","CLOSD","10714 Snare Court, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","08/17/2022","$295,000","$300,000","7","Resale (occupied at least once)","1986","Hunters Landing","1,558","0.72","4","2.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2220791","722-71-30-55-400-000","CLOSD","2101 Galloway Terrace, Chesterfield VA 23113","23113","Chesterfield","Single Family Residence","08/17/2022","$699,000","$701,000","4","Resale (occupied at least once)","1986","Salisbury","3,550","0.73","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2220021","729-66-83-71-000-000","CLOSD","7712 Kentucky Derby Drive, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","08/17/2022","$344,950","$350,000","7","Resale (occupied at least once)","1992","Deer Run","1,662","0.38","3","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2219939","E010-0136-020","CLOSD","5221 Campbell Avenue, Richmond City VA 23231","23231","Richmond City","Single Family Residence","08/17/2022","$225,000","$239,000","3","Resale (occupied at least once)","1925","Waverly Place","964","0.10","2","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2219882","757-72-11-23-200-000","CLOSD","8531 Trabue Road, Chesterfield VA 23235","23235","Chesterfield","Single Family Residence","08/17/2022","$425,000","$425,000","6","Resale (occupied at least once)","1964","Oxford","2,040","0.49","4","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2219800","N000-1075-044","CLOSD","1407 Milton Street, Richmond City VA 23222","23222","Richmond City","Single Family Residence","08/17/2022","$135,000","$115,000","16","Resale (occupied at least once)","1955","None","850","0.16","2","1.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2219779","746-70-06-50-200-000","CLOSD","606 Battenburg Court, Chesterfield VA 23236","23236","Chesterfield","Single Family Residence","08/17/2022","$260,000","$295,000","4","Resale (occupied at least once)","1984","Heatheridge","1,243","0.36","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2219540","783-69-13-19-900-000","CLOSD","4817 Bonnie Brae Road, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","08/17/2022","$280,000","$285,000","11","Resale (occupied at least once)","1963","Meadowbrook","1,568","0.46","3","2.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2219536","S000-2792-002","CLOSD","4210 Forest Hill Avenue, Richmond City VA 23225","23225","Richmond City","Single Family Residence","08/17/2022","$299,000","$255,000","9","Resale (occupied at least once)","1924","Forest Hill Terrace","1,468","0.13","3","1.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2219505","738-71-25-81-600-000","CLOSD","1645 Sainsbury Drive, Chesterfield VA 23113","23113","Chesterfield","Single Family Residence","08/17/2022","$335,000","$355,000","3","Resale (occupied at least once)","1970","Olde Coach Village","1,725","0.30","3","2.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2219503","787-65-37-90-200-000","CLOSD","4601 Shop Street, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","08/17/2022","$259,950","$260,000","4","Resale (occupied at least once)","1938","Bruce Plan","1,352","0.35","3","1.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2219483","762-763-7876","CLOSD","3519 Gwynns Place, Henrico VA 23060","23060","Henrico","Townhouse","08/17/2022","$460,000","$490,000","3","Resale (occupied at least once)","2005","Townes At Crossridge","2,336","0.13","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2219302","33B7 5 1  AB","CLOSD","5962 Flowering Peach Lane, New Kent VA 23140","23140","New Kent","Townhouse","08/17/2022","$285,000","$280,000","4","Resale (occupied at least once)","2008","Oakmont Villas","2,087","0.07","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2219253","797-736-9964","CLOSD","3726 Benton Avenue, Henrico VA 23222","23222","Henrico","Single Family Residence","08/17/2022","$249,950","$275,000","2","Resale (occupied at least once)","1937","East Highland Park","1,432","0.24","3","1.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2219082","733-69-85-39-800-000","CLOSD","1300 Walton Bluff Terrace, Chesterfield VA 23114","23114","Chesterfield","Single Family Residence","08/17/2022","$515,000","$500,000","15","Resale (occupied at least once)","1988","Walton Bluff","2,474","0.60","4","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2219039","722-66-98-80-500-000","CLOSD","8043 Hancock Farm Lane, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","08/17/2022","$379,900","$368,000","7","Resale (occupied at least once)","2002","Cloverhill Estates","2,036","0.34","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2218990","C007-0165-012","CLOSD","613 Kaki Drive, Richmond City VA 23225","23225","Richmond City","Single Family Residence","08/17/2022","$205,000","$195,000","21","Resale (occupied at least once)","1956","Warwick Acres","1,120","0.40","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2218902","734-71-14-22-200-000","CLOSD","12406 SANDBAG Circle, Chesterfield VA 23113","23113","Chesterfield","Single Family Residence","08/17/2022","$309,900","$315,000","3","Resale (occupied at least once)","1987","Old Buckingham Forest","1,508","","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2218812","N017-0576-003","CLOSD","1904 Seddon Road, Richmond City VA 23227","23227","Richmond City","Single Family Residence","08/17/2022","$350,000","$420,000","4","Resale (occupied at least once)","1939","Rosedale","1,714","0.14","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2218738","790-65-37-40-100-000","CLOSD","12340 Percival Street, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","08/17/2022","$254,000","$254,000","7","Resale (occupied at least once)","1950","Chester","1,332","0.48","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
