"#","ML #","PID","Status","Address Line","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2302565","781-758-7726","CLOSD","1616 Hungary Road, Henrico VA 23228","23228","Henrico","Single Family Residence","03/31/2023","$399,950","$401,000","23","New (never occupied)","2023","Middleton","1,924","0.25","4","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2300202","TO BE DETERMINED","CLOSD","13104 Cabell Farm Parkway, Hanover VA 23005","23005","Hanover","Single Family Residence","03/31/2023","$748,990","$740,000","21","New (never occupied)","2021","Lakeview Homes","3,438","1.22","5","4.1","Well","Septic - Conventional","VA New","Corporate"
"1","2131897","N000-1554-029","CLOSD","400 PATRICK Avenue, Richmond City VA 23222","23222","Richmond City","Single Family Residence","03/31/2023","$195,000","$195,000","263","Resale (occupied at least once)","1965","Brookland Terrace","1,362","","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2305701","818-720-7688","CLOSD","716 South Ivy Avenue, Henrico VA 23075","23075","Henrico","Single Family Residence","03/31/2023","$250,000","$261,000","3","Resale (occupied at least once)","2006","Highland Springs","1,352","0.31","3","2.0","Public Water","Sewer - Public","Cash","Corporate"
"1","2302104","67-27-0-104-0","CLOSD","151 W Square Court, Goochland VA 23238","23238","Goochland","Single Family Residence","03/31/2023","$1,099,000","$1,005,000","20","Resale (occupied at least once)","2002","Randolph Square","4,405","","4","4.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2226417","714-66-00-88-400-000","CLOSD","9113 Moldova Road, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","03/31/2023","$675,920","$675,920","11","New (never occupied)","2022","Harpers Mill","4,461","","5","4.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2305529","826-66-06-88-400-000","CLOSD","11701 River boat Drive, Chesterfield VA 24236","24236","Chesterfield","Single Family Residence","03/31/2023","$571,950","$649,950","0","New (never occupied)","2022","Meadowville Landing","4,001","","4","5.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2227735","746-69-22-02-500-000","CLOSD","10608 Halflight Drive, Chesterfield VA 23236","23236","Chesterfield","Townhouse","03/31/2023","$393,990","$385,000","119","New (never occupied)","2022","Sunset Hills","1,884","0.08","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2221797","7126611471","CLOSD","9219 Saxsawn Lane, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","03/31/2023","$608,990","$608,990","194","New (never occupied)","2022","Harpers Mill","3,051","","4","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2304920","8704-85-3251","CLOSD","7266 Public Lane, Hanover VA 23111","23111","Hanover","Single Family Residence","03/31/2023","$279,950","$299,500","0","Resale (occupied at least once)","1954","None","2,079","0.88","3","2.0","Public Water","Sewer - Public","FHA New","Individuals"
