"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2009344","7828-24-1765","CLOSD","16372 Ancient Acres RD","23015","Hanover","Single Family Residence","06/29/2020","$553,000","$539,000","51","Resale (occupied at least once)","2002","None","3,673","37.17","3","3.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2004816","C0050500006","CLOSD","1656 Bilder CT","23225","Richmond City","Single Family Residence","06/29/2020","$317,462","$319,821","12","New (never occupied)","2020","Westlake","1,840","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2015219","762-770-2272","CLOSD","4101 Mountain Spring TER","23060","Henrico","Single Family Residence","06/30/2020","$589,000","$589,000","3","Resale (occupied at least once)","2006","Mountain Spring","5,029","0.58","4","3.2","Public Water","Sewer - Public","Conventional","Individuals"
"1","2014407","796-65-30-92-800-000","CLOSD","2910 Blithe DR","23831","Chesterfield","Single Family Residence","07/09/2020","$350,000","$350,000","16","Resale (occupied at least once)","1971","Gay Farms","3,247","0.46","4","3.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","1937113","723-65-65-41-800-000","CLOSD","11807 Longtown DR","23112","Chesterfield","Single Family Residence","07/09/2020","$343,990","$345,070","191","New (never occupied)","2019","Collington","2,340","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2016117","773-774-4674","CLOSD","3042 Chiles RD","23059","Henrico","Single Family Residence","07/09/2020","$324,950","$324,950","5","Resale (occupied at least once)","1989","Greenwood Acres","1,928","1.32","4","2.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2001693","8706-72-1357","CLOSD","9079 Garrison Manor DR","23116","Hanover","Single Family Residence","07/09/2020","$584,010","$584,010","0","New (never occupied)","2020","Garrison Manor","5,075","","4","4.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2007996","795-660-61-35-00000","CLOSD","11433 Surry RD","23831","Chesterfield","Single Family Residence","07/09/2020","$269,000","$268,700","47","Resale (occupied at least once)","1957","Fan Court","2,608","0.53","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2016149","8714-68-7618","CLOSD","7971 MEADOW DR","23111","Hanover","Single Family Residence","07/09/2020","$244,500","$244,500","3","Resale (occupied at least once)","1960","Spring Meadows","1,232","0.34","3","2.0","Community Well, Public Water","Sewer - Public","FHA New","Individuals"
"1","2010670","7797-55-7220","CLOSD","10262 Stratford Hall CT","23116","Hanover","Single Family Residence","07/09/2020","$373,000","$370,250","9","Resale (occupied at least once)","1990","Kings Charter","2,798","0.34","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2009726","W000-1602-030","CLOSD","114 N Nansemond ST","23221","Richmond City","Single Family Residence","07/09/2020","$385,000","$385,000","29","Resale (occupied at least once)","1925","None","1,504","0.07","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2007424","749-69-86-39-900-000","CLOSD","1006 Robmont DR","23236","Chesterfield","Single Family Residence","07/09/2020","$249,000","$240,000","67","Resale (occupied at least once)","1975","The Meadows","1,950","0.52","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","1934955","768-778-6685","CLOSD","3414 Vasko DR","23059","Henrico","Single Family Residence","07/09/2020","$688,560","$693,790","11","New (never occupied)","2019","Emerson Mill Section 1","4,227","","5","4.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2013342","780-66-57-60-500-000","CLOSD","9512 Shamrock DR","23237","Chesterfield","Single Family Residence","07/09/2020","$225,000","$225,000","7","Resale (occupied at least once)","1981","Salem Woods","1,462","0.33","3","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2015971","725-68-67-07-800-000","CLOSD","3001 Long Oaks RD","23112","Chesterfield","Single Family Residence","07/09/2020","$205,000","$215,000","5","Resale (occupied at least once)","1980","Brandermill","1,344","0.20","3","2.0","Public Water","Sewer - Public","Other","Individuals"
"1","2014531","8707-00-0462","CLOSD","9946 Orchard Meadow RD","23116","Hanover","Single Family Residence","07/09/2020","$435,000","$435,000","22","Resale (occupied at least once)","2015","Honey Meadows","3,286","0.23","4","3.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2014525","780-69-19-12-700-000","CLOSD","4631 Melody CT","23234","Chesterfield","Single Family Residence","07/09/2020","$345,000","$330,000","12","Resale (occupied at least once)","1970","Meadowbrook West","2,867","0.52","5","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2013173","N000-0981-005","CLOSD","609 Montvale AVE","23222","Richmond City","Single Family Residence","07/09/2020","$249,500","$247,500","17","Resale (occupied at least once)","1929","Roslyn Heights","1,157","0.11","2","1.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2012959","726-70-72-82-200-000","CLOSD","401 Crofton Village TER","23114","Chesterfield","Townhouse","07/09/2020","$319,950","$319,000","39","Resale (occupied at least once)","2018","Crofton Village At Charter Colony","1,937","0.09","4","2.2","Public Water","Sewer - Public","Conventional","Individuals"
"1","2010075","735-776-2406","CLOSD","5616 Burberry CT","23059","Henrico","Single Family Residence","07/09/2020","$399,000","$399,000","47","Resale (occupied at least once)","1998","Kimberwicke","2,311","0.48","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2009626","762-774-5118.144","CLOSD","417 Siena LN Unit#417","23059","Henrico","Townhouse","07/09/2020","$365,000","$365,000","55","Resale (occupied at least once)","2013","The Villas At Hunton Park","3,048","0.07","3","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2002350","727-69-73-99-000-000","CLOSD","1300 Miners Trail RD","23114","Chesterfield","Single Family Residence","07/09/2020","$419,950","$425,000","78","Resale (occupied at least once)","2017","Queensgate","2,691","0.60","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2016767","796-65-74-13-200-000","CLOSD","12125 Perdue Springs LOOP","23831","Chesterfield","Townhouse","07/09/2020","$211,540","$211,540","6","New (never occupied)","2020","Westchester Townhouses","1,360","0.04","3","2.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2013603","S008-0491-046","CLOSD","2213 Cheatham ST","23234","Richmond City","Single Family Residence","07/09/2020","$136,000","$112,000","28","Resale (occupied at least once)","1952","Davee Gardens","1,230","0.20","2","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2008967","W020-0186-027","CLOSD","110 Seneca RD","23226","Richmond City","Single Family Residence","07/09/2020","$795,000","$788,000","51","Resale (occupied at least once)","1940","Tuckahoe Terrace","3,244","0.18","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2007447","779-65-53-64-600-000","CLOSD","6005 Hidden Arbor PL","23831","Chesterfield","Single Family Residence","07/09/2020","$260,000","$249,000","33","Resale (occupied at least once)","1991","Arbor Landing","1,762","0.27","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2011037","760-69-17-89-000-000","CLOSD","3200 Summerbrooke DR","23235","Chesterfield","Single Family Residence","07/09/2020","$145,000","$137,670","9","Resale (occupied at least once)","1984","Wyntrebrooke","960","0.32","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2016270","W020-0089-021","CLOSD","5504 Dillwyn RD","23226","Richmond City","Single Family Residence","07/09/2020","$649,950","$675,000","3","Resale (occupied at least once)","1938","Glenburnie","2,738","0.20","4","3.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2003095","749-70-49-77-100-000","CLOSD","108 Northfield LN","23236","Chesterfield","Single Family Residence","07/09/2020","$254,950","$245,000","132","Resale (occupied at least once)","1973","Shenandoah","2,238","0.32","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2006813","030B1-1-22","CLOSD","2038 Valley Springs CT","23139","Powhatan","Single Family Residence","07/09/2020","$514,900","$494,000","79","Resale (occupied at least once)","2003","Valley Springs","3,747","2.00","6","4.1","Well","Septic - Conventional","VA New","Individuals"
"1","2018578","792-66-72-41-200-000","CLOSD","2931 Gaffney RD","23237","Chesterfield","Single Family Residence","07/09/2020","$149,900","$150,000","2","Resale (occupied at least once)","1964","Quail Oaks","1,040","0.31","3","1.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2017109","E000-1411-018","CLOSD","1237 N 37th ST","23223","Richmond City","Single Family Residence","07/09/2020","$209,950","$215,000","2","Resale (occupied at least once)","1968","None","912","0.11","2","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2016568","S000-0760-008","CLOSD","1714 Halifax AVE","23224","Richmond City","Single Family Residence","07/09/2020","$114,975","$98,000","8","Resale (occupied at least once)","1940","None","696","0.13","2","1.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2016530","760-763-1270","CLOSD","4814 Candlelight PL","23060","Henrico","Single Family Residence","07/09/2020","$248,000","$250,000","2","Resale (occupied at least once)","1983","Dunncroft","1,348","0.31","3","2.0","Public Water","Sewer - Public","Conventional","Estate"
"1","2016204","757-768-4468","CLOSD","8901 Merediths Branch DR","23060","Henrico","Single Family Residence","07/09/2020","$399,950","$403,000","3","Resale (occupied at least once)","1997","Springcreek","2,494","0.29","5","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2016056","746-71-80-44-900-000","CLOSD","10556 Ashburn RD","23235","Chesterfield","Single Family Residence","07/09/2020","$279,900","$275,000","2","Resale (occupied at least once)","1965","Woodmont","2,282","0.42","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2016052","718715164700000","CLOSD","14836 Felbridge WAY","23113","Chesterfield","Single Family Residence","07/09/2020","$710,000","$715,000","4","Resale (occupied at least once)","2003","Rosemont","4,736","0.93","7","4.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2016031","742-767-6636.005","CLOSD","4668 Twin Hickory Lake DR Unit#4668","23059","Henrico","Condominium","07/09/2020","$250,000","$250,000","0","Resale (occupied at least once)","2002","Holly Glen","1,440","0.03","2","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2015830","8715-64-3937","CLOSD","8250 Hanover Grove BLVD","23111","Hanover","Single Family Residence","07/09/2020","$315,000","$325,000","2","Resale (occupied at least once)","1990","Hanover Grove","2,133","0.63","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2015815","8725-31-7106","CLOSD","8066 Dunwoody RD","23111","Hanover","Single Family Residence","07/09/2020","$264,950","$260,000","24","Resale (occupied at least once)","1970","Cherrydale","1,512","0.41","3","2.0","Community Well","Sewer - Public","Cash","Individuals"
"1","2015119","769-68-39-36-900-000","CLOSD","6319 Regal Grove LN","23832","Chesterfield","Single Family Residence","07/09/2020","$293,000","$282,000","20","Resale (occupied at least once)","2018","Kings Grove","1,952","0.28","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2015073","785-68-51-62-300-000","CLOSD","6112 Keydet CT","23234","Chesterfield","Townhouse","07/09/2020","$115,000","$105,000","7","Resale (occupied at least once)","1974","Meadowdale Th Pk","1,178","0.04","3","1.1","Public Water","Sewer - Public","Conventional","Other"
"1","2014341","769-751-5313","CLOSD","4321 Kanipe CT","23228","Henrico","Single Family Residence","07/09/2020","$449,950","$425,000","37","Resale (occupied at least once)","2015","Wistar Place","3,224","1.00","4","3.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2014313","773-69-24-30-400-000","CLOSD","4152 Goldfinch DR","23234","Chesterfield","Single Family Residence","07/09/2020","$169,950","$169,950","2","Resale (occupied at least once)","1959","Wilkinson Terrace","1,040","0.40","3","1.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2013871","8706-24-2892","CLOSD","8405 Wenton CIR","23116","Hanover","Single Family Residence","07/09/2020","$574,950","$565,000","11","Resale (occupied at least once)","2016","Rutland","5,218","0.24","6","5.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2013767","742-72-49-79-800-000","CLOSD","3820 E Old Gun RD","23113","Chesterfield","Single Family Residence","07/09/2020","$575,000","$603,000","3","Resale (occupied at least once)","1956","None","4,063","2.40","4","3.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2013610","745-736-1108","CLOSD","9127 Carterham RD","23229","Henrico","Single Family Residence","07/09/2020","$925,000","$925,000","6","Resale (occupied at least once)","1989","River Place","4,446","0.68","5","4.1","Public Water","Sewer - Public","Conventional","Individuals"
