"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2507125","8755-99-9788","CLOSD","2589 Old Church RD","23111","Hanover","Single Family Residence","07/03/2025","$699,950","$695,000","68","Resale (occupied at least once)","1996","None","3,518","10.00","4","3.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2507235","S000-2923-021","CLOSD","4015 Dunston AVE","23225","Richmond City","Single Family Residence","07/03/2025","$320,000","$265,000","52","Resale (occupied at least once)","1900","Forest Hill Park","","","2","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","REIN10585778","43 5 2","CLOSD","3377 Mt Pleasant RD","23140","New Kent","Single Family Residence","07/03/2025","$579,900","$579,900","2","Resale (occupied at least once)","2004","ALL OTHERS AREA 140","2,400","5.06","4","3.0","Well","Septic","",""
"1","2422722","770-67-89-28-800-000","CLOSD","6231 Belay DR","23234","Chesterfield","Townhouse","07/03/2025","$359,990","$354,990","237","New (never occupied)","2024","Watermark","1,474","","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2511231","700-68-87-25-800-000","CLOSD","18107 Farm CIR","23120","Chesterfield","Single Family Residence","07/03/2025","$745,950","$740,000","30","New (never occupied)","2025","Tuckmar Farm","2,899","0.35","5","4.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2513600","798-64-30-95-500-000","CLOSD","2518 Mistwood Forest DR","23831","Chesterfield","Single Family Residence","07/03/2025","$369,950","$380,000","8","Resale (occupied at least once)","1984","Mistwood Forest","2,080","0.35","4","1.2","Public Water","Sewer - Public","VA New","Individuals"
"1","2430627","696671445100000","CLOSD","18743 Palisades RDG","23120","Chesterfield","Townhouse","07/03/2025","$426,220","$426,220","0","New (never occupied)","2024","Magnolia Green","1,743","","3","2.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2511741","763-741-8276","CLOSD","7021 Monument AVE","23226","Henrico","Single Family Residence","07/03/2025","$475,000","$475,000","29","Resale (occupied at least once)","1960","Duntreath","1,701","0.25","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2514359","756-762-9467","CLOSD","9324 Emmett Rd","23060","Henrico","Single Family Residence","07/03/2025","$409,990","$415,000","7","Resale (occupied at least once)","1977","Broad Meadows","","0.22","4","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2513176","21-1-0-53-B","CLOSD","3151 Three Chopt RD","23065","Goochland","Single Family Residence","07/03/2025","$365,000","$300,000","19","Resale (occupied at least once)","1993","None","1,739","2.46","3","2.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2513012","727-68-57-54-800-000","CLOSD","13803 Nuttree Woods TER","23112","Chesterfield","Single Family Residence","07/03/2025","$424,950","$425,000","8","Resale (occupied at least once)","1979","Brandermill","2,238","0.31","4","3.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2514484","780-770-4193","CLOSD","2013 Pruett CT","23059","Henrico","Single Family Residence","07/03/2025","$639,950","$650,000","3","Resale (occupied at least once)","2003","Magnolia Ridge","4,345","0.29","5","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2509096","N000-1467-006","CLOSD","3524 Missouri AVE","23222","Richmond City","Single Family Residence","07/03/2025","$355,000","$350,000","49","Resale (occupied at least once)","1939","North Highland Park","2,270","0.16","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2513723","742-69-91-20-200-000","CLOSD","11309 Pendleton PL","23236","Chesterfield","Single Family Residence","07/03/2025","$375,000","$345,000","17","Resale (occupied at least once)","1985","Monacan Hills","2,161","0.40","4","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2505022","703-67-37-28-900-000","CLOSD","18273 Twin Falls LN","23120","Chesterfield","Single Family Residence","07/03/2025","$567,990","$550,000","94","Resale (occupied at least once)","2020","Magnolia Green","3,414","0.16","4","3.1","Public Water","None","Conventional","Individuals"
"1","2515991","744-774-3550","CLOSD","10504 Bishops Gate DR","23059","Henrico","Townhouse","07/03/2025","$450,000","$450,000","14","Resale (occupied at least once)","2003","Townes At Shady Grove","1,965","0.07","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2506638","754-767-0176","CLOSD","4805 Fort McHenry PKY","23060","Henrico","Single Family Residence","07/03/2025","$545,000","$545,000","18","Resale (occupied at least once)","1988","Woods At Innsbrook","2,304","0.28","5","3.1","Public Water","Sewer - Public","Conventional","Estate"
"1","2508878","716680140700000","CLOSD","5536 Riggs DR","23120","Chesterfield","Single Family Residence","07/03/2025","$634,480","$637,710","0","New (never occupied)","2025","Woolridge Landing","2,256","","3","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2516690","761-745-7805","CLOSD","1627 Skipwith RD","23229","Henrico","Single Family Residence","07/03/2025","$280,000","$265,000","4","Resale (occupied at least once)","1953","Berkshire Park","925","0.24","2","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2515727","762-69-80-80-500-000","CLOSD","2017 Lancashire DR","23235","Chesterfield","Single Family Residence","07/03/2025","$450,000","$480,000","4","Resale (occupied at least once)","1970","Surreywood","2,163","0.41","4","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2515637","W019-0252-001","CLOSD","4221 Stuart AVE","23221","Richmond City","Single Family Residence","07/03/2025","$1,299,999","$1,275,000","14","Resale (occupied at least once)","1939","Grove Avenue Crest","4,428","0.33","3","2.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2515290","829-716-5429","CLOSD","29 Eastlake DR","23150","Henrico","Single Family Residence","07/03/2025","$259,000","$256,000","3","Resale (occupied at least once)","1953","Sandston","951","0.21","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2515280","771-736-2305.026","CLOSD","5241 Monument AVE Unit#2A","23226","Henrico","Condominium","07/03/2025","$685,000","$695,000","5","Resale (occupied at least once)","2008","Monument Square Condo","1,633","0.04","2","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2515250","750-62-87-42-600-000","CLOSD","15400 Exter Mill RD","23838","Chesterfield","Single Family Residence","07/03/2025","$259,000","$265,000","5","Resale (occupied at least once)","1974","None","1,056","0.70","3","1.1","Well","Septic - Conventional","FHA New","Individuals"
"1","2515181","31-34-0-4-0","CLOSD","2066 Hawk Town Rd","23102","Goochland","Single Family Residence","07/03/2025","$1,099,000","$1,100,100","6","New (never occupied)","2025","None","","3.70","5","4.1","Well","Septic - Conventional","Conventional","Corporate"
"1","2515161","43   5     2","CLOSD","3377 Mt Pleasant RD","23140","New Kent","Single Family Residence","07/03/2025","$579,900","$579,900","3","Resale (occupied at least once)","2004","None","4,427","5.06","4","2.1","Well","Septic - Conventional","VA New","Individuals"
"1","2515088","C006-0231-026","CLOSD","1313 Greystone AVE","23224","Richmond City","Single Family Residence","07/03/2025","$225,000","$180,000","5","Resale (occupied at least once)","1948","Broad Rock Homes","2,867","0.38","4","2.0","Public Water","Sewer - Public","Conventional","Estate"
"1","2515032","789-66-22-00-900-000","CLOSD","3825 Glen Oaks CT","23831","Chesterfield","Single Family Residence","07/03/2025","$375,000","$372,500","6","Resale (occupied at least once)","1994","Glen Oaks","1,768","0.43","3","2.0","Public Water","Sewer - Public","VA New","Individuals"
"1","2514804","761-69-94-28-100-000","CLOSD","1601 Rayanne DR","23235","Chesterfield","Single Family Residence","07/03/2025","$450,000","$446,500","5","Resale (occupied at least once)","1977","Surreywood","2,085","0.36","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2514634","7796-49-3903","CLOSD","9462 Deer Stream DR","23116","Hanover","Single Family Residence","07/03/2025","$524,995","$532,000","11","Resale (occupied at least once)","2001","Chickahominy Oaks","2,355","0.23","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2514607","C005-0861-030","CLOSD","5615 Lipton RD","23225","Richmond City","Single Family Residence","07/03/2025","$365,000","$348,000","2","Resale (occupied at least once)","1968","Westover South","1,577","0.18","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2514367","C001-0426-020","CLOSD","4019 Collingbourne RD","23235","Richmond City","Single Family Residence","07/03/2025","$529,900","$518,570","11","Resale (occupied at least once)","1958","Wellington","1,748","0.35","4","3.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2514306","770-752-5166","CLOSD","6907 Cornelia RD","23228","Henrico","Single Family Residence","07/03/2025","$369,000","$385,000","3","Resale (occupied at least once)","1988","Hermitage Farms","1,462","0.28","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
