"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2532111","7547409285","CLOSD","8503 Julian RD","23229","Henrico","Single Family Residence","12/26/2025","$474,000","$450,000","7","Resale (occupied at least once)","1978","Glen Ridge","","0.38","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2530243","S000-0642-007","CLOSD","2004 Gordon AVE","23224","Richmond City","Single Family Residence","12/26/2025","$365,000","$360,000","19","New (never occupied)","2025","Mason","2,114","0.13","3","1.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2526828","807-64-27-57-800-000","CLOSD","1525 Creek Knoll CT","23834","Chesterfield","Single Family Residence","12/26/2025","$479,950","$475,000","47","Resale (occupied at least once)","1999","Southcreek","2,877","0.41","6","3.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2519510","838-713-4773","CLOSD","2105 Destination DR Unit#A","23150","Henrico","Condominium","12/26/2025","$244,990","$233,886","0","New (never occupied)","2025","Landmark","","","2","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2514497","838-713-4773","CLOSD","537 Destination WAY Unit#A","23150","Henrico","Condominium","12/26/2025","$239,990","$233,886","34","New (never occupied)","2025","Landmark","","","2","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2530877","736-744-9342","CLOSD","1610 Careybrook DR","23238","Henrico","Single Family Residence","12/26/2025","$400,000","$400,000","5","Resale (occupied at least once)","1966","Tuckahoe Village","2,280","0.32","4","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2529685","22A6 3 1  67","CLOSD","8634 Terroir LN","23124","New Kent","Single Family Residence","12/26/2025","$725,000","$725,000","2","Resale (occupied at least once)","2023","Viniterra","4,878","0.36","3","2.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2523570","785-758-2536","CLOSD","325 Wilson Creek DR","23060","Henrico","Single Family Residence","12/26/2025","$449,864","$429,864","68","New (never occupied)","2025","Retreat at One","2,210","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2528779","S000-2762-009","CLOSD","3601 Decatur ST","23224","Richmond City","Single Family Residence","12/29/2025","$259,950","$255,000","21","Resale (occupied at least once)","1920","Weisigers Addition","1,428","0.12","3","1.0","Public Water","Sewer - Public","VA Assumption","Corporate"
"1","2530179","N000-1055-026","CLOSD","3109 Groveland AVE","23222","Richmond City","Single Family Residence","12/29/2025","$329,950","$334,000","12","New (never occupied)","2025","Highland Terrace","","0.05","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2519147","E000-0258-018","CLOSD","2208 E Broad ST","23223","Richmond City","Single Family Residence","12/29/2025","$899,000","$830,000","136","Resale (occupied at least once)","1848","None","2,695","0.09","3","2.1","Public Water","Sewer - Public","Cash","Individuals"
