"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2527386","E000-1544-004","CLOSD","1313 N 35th ST","23223","Richmond City","Single Family Residence","01/01/2026","$359,950","$355,000","38","Resale (occupied at least once)","1920","None","2,248","0.09","3","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2531556","C004-0667-014","CLOSD","6616 Wexford LN","23225","Richmond City","Single Family Residence","01/02/2026","$385,000","$425,000","5","Resale (occupied at least once)","1956","Granite Hills","1,283","0.46","2","1.1","Public Water","Sewer - Public","Conventional","Corporate, Individuals"
"1","2501847","798656776300078","CLOSD","2804 Calgary LN","23836","Chesterfield","Condominium","01/02/2026","$344,990","$344,990","0","New (never occupied)","2025","Moore's Lake","1,606","","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2529534","768-67-72-72-900-000","CLOSD","6907 Sanguine TER","23234","Chesterfield","Single Family Residence","01/02/2026","$499,000","$495,000","34","Resale (occupied at least once)","2023","Watermark","2,704","0.32","5","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2531893","779-66-78-96-000-000","CLOSD","5119 Timbercreek CT","23237","Chesterfield","Single Family Residence","01/02/2026","$349,950","$352,950","4","Resale (occupied at least once)","1990","Ashton Woods South","1,685","0.27","4","2.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2521597","N000-1064-010","CLOSD","733 Arnold AVE","23222","Richmond City","Single Family Residence","01/02/2026","$339,950","$332,000","76","Resale (occupied at least once)","1927","Highland Terrace","1,952","0.05","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2529027","786656496500000","CLOSD","4831 Empire PKY","23831","Chesterfield","Single Family Residence","01/02/2026","$339,000","$335,000","47","Resale (occupied at least once)","1973","Chesterbrook Farms","","0.33","4","2.1","Public Water","Sewer - Public","Conventional","Estate"
"1","2531447","715-67-86-85-700-000","CLOSD","15430 Foxvale WAY","23112","Chesterfield","Single Family Residence","01/02/2026","$540,000","$530,000","30","Resale (occupied at least once)","1997","Foxcroft","2,573","0.36","4","2.1","Public Water","None","Conventional","Individuals"
"1","2532048","C007-0254-007","CLOSD","6300 Worthington RD","23225","Richmond City","Single Family Residence","01/02/2026","$319,950","$310,000","3","Resale (occupied at least once)","1965","Worthington Farms","1,320","0.41","3","1.1","Public Water","Sewer - Public","VHDA/FHA","Other"
"1","2515821","790651373100000","CLOSD","12613 Poplar Village PL","23831","Chesterfield","Single Family Residence","01/02/2026","$521,911","$515,000","168","New (never occupied)","2025","Poplar Village","2,516","0.34","5","3.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2531475","762-69-83-97-900-000","CLOSD","1816 Pocoshock BLVD","23235","Chesterfield","Single Family Residence","01/02/2026","$342,500","$340,000","14","Resale (occupied at least once)","1975","None","1,834","0.44","3","2.0","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2522303","26-29","CLOSD","8800 Little Elam RD","23030","Charles City County","Single Family Residence","01/02/2026","$280,500","$275,500","85","Resale (occupied at least once)","1965","None","","2.98","3","1.0","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2532370","735-744-1567","CLOSD","1710 Havenwood DR","23238","Henrico","Single Family Residence","01/02/2026","$450,000","$450,000","2","Resale (occupied at least once)","1968","Tuckahoe Village","2,280","0.36","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2530940","773-761-7417","CLOSD","9814 Thacker LN","23228","Henrico","Single Family Residence","01/02/2026","$349,900","$340,000","27","Resale (occupied at least once)","1957","Windcliff","1,339","0.25","4","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2527770","762-763-8980","CLOSD","3513 Gwynns PL","23060","Henrico","Townhouse","01/02/2026","$464,950","$464,950","18","Resale (occupied at least once)","2005","Townes At Crossridge","2,420","0.08","3","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2526987","C005-0165-011","CLOSD","2324 N Riverside DR","23225","Richmond City","Single Family Residence","01/02/2026","$439,950","$425,000","32","Resale (occupied at least once)","1954","Shirley Hills","2,548","0.41","3","2.0","Public Water","Sewer - Public","VA New","Individuals"
"1","2525257","W000-0527-037","CLOSD","103 N Plum ST","23220","Richmond City","Single Family Residence","01/02/2026","$699,999","$680,000","70","Resale (occupied at least once)","1894","None","2,193","0.03","3","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2523681","768-69-13-38-100-000","CLOSD","3800 Grizzard DR","23832","Chesterfield","Single Family Residence","01/02/2026","$274,000","$260,000","95","Resale (occupied at least once)","1979","Belmont Hills","1,104","0.32","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2518446","751-68-79-89-800-000","CLOSD","3902 Amberleigh BLVD","23236","Chesterfield","Townhouse","01/02/2026","$429,000","$415,000","159","Resale (occupied at least once)","2003","Amberleigh","1,490","0.14","3","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2532009","728-71-41-06-300-000","CLOSD","2310 Oakengate LN","23113","Chesterfield","Single Family Residence","01/02/2026","$655,000","$676,000","11","Resale (occupied at least once)","1976","Salisbury","2,618","1.24","4","3.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2531985","2225","CLOSD","2901 New Kent Hwy","23141","New Kent","Single Family Residence","01/02/2026","$294,900","$280,000","3","Resale (occupied at least once)","1940","None","","1.50","2","1.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2530881","761-68-78-97-000-000","CLOSD","4550 Little Ridge LN","23832","Chesterfield","Single Family Residence","01/02/2026","$409,950","$409,950","7","Resale (occupied at least once)","1985","Creekwood","2,304","0.69","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2530819","761-753-8424","CLOSD","3002 Blankenship CIR","23294","Henrico","Single Family Residence","01/02/2026","$275,000","$272,000","3","Resale (occupied at least once)","1959","Pine Dale","1,099","0.22","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2530799","797-713-7915.412","CLOSD","251 Rocketts WAY Unit#412","23231","Henrico","Condominium","01/02/2026","$325,000","$320,000","23","Resale (occupied at least once)","2007","Village Of Rocketts Landing","1,003","0.02","1","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2530739","781-756-5140.016","CLOSD","1501 Stonewall Manor DR","23228","Henrico","Townhouse","01/02/2026","$269,999","$275,650","6","Resale (occupied at least once)","2017","Townes At Stonewall Manor","1,360","","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2529921","7852-89-9782","CLOSD","15489 Campbell Lake RD","23047","Hanover","Single Family Residence","01/02/2026","$418,000","$418,000","4","Resale (occupied at least once)","1955","None","1,934","3.63","2","1.1","Well","Septic - Conventional","Cash","Individuals"
"1","2529502","731-750-1265.089","CLOSD","2572 Wanstead CT","23238","Henrico","Condominium","01/02/2026","$365,000","$362,500","9","Resale (occupied at least once)","2004","Villas Of Autumn Run","1,818","0.42","2","2.0","Public Water","None","Cash","Individuals"
"1","2529445","734-71-81-58-400-000","CLOSD","2735 Swanhurst DR","23113","Chesterfield","Single Family Residence","01/02/2026","$625,000","$635,000","27","Resale (occupied at least once)","1986","Charter Woods","2,634","0.61","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2528804","776-752-2523","CLOSD","7402 Oakmont DR","23228","Henrico","Single Family Residence","01/02/2026","$282,000","$287,000","5","Resale (occupied at least once)","1957","Oakmont Hills","2,184","0.32","3","1.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2528401","815-728-0965","CLOSD","5404 Meadows RUN","23223","Henrico","Single Family Residence","01/02/2026","$330,000","$330,000","5","Resale (occupied at least once)","1983","Tiffany Meadows","2,188","0.26","4","3.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2528346","809-716-2095","CLOSD","2900 Gay AVE","23231","Henrico","Single Family Residence","01/02/2026","$300,000","$295,000","16","Resale (occupied at least once)","1974","Knowles Knoll","1,578","1.12","2","1.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2526911","N000-0468-024","CLOSD","1114 Catherine","23220","Richmond City","Single Family Residence","01/02/2026","$410,000","$410,000","46","Resale (occupied at least once)","2017","None","","0.05","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2526393","38-4-0-1-0","CLOSD","5231 St Pauls Church RD","23063","Goochland","Single Family Residence","01/02/2026","$1,856,250","$1,856,250","48","Resale (occupied at least once)","1968","None","2,236","71.30","2","2.0","Well","Septic - Conventional","Cash","Estate"
"1","2524736","735-72-57-15-800-000","CLOSD","3626 Seaford Crossing DR","23113","Chesterfield","Single Family Residence","01/02/2026","$809,950","$780,000","85","New (never occupied)","2025","Tarrington","","0.31","4","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2520537","801-736-5402","CLOSD","3718 Hargrove AVE","23222","Henrico","Single Family Residence","01/02/2026","$254,950","$260,000","93","Resale (occupied at least once)","1949","Pleasant View","1,260","0.19","4","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2510038","726675133700000","CLOSD","13812 Rockport Landing RD","23112","Chesterfield","Single Family Residence","01/02/2026","$1,850,000","$1,825,000","148","Resale (occupied at least once)","2009","Harbour Pointe","","0.59","5","6.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2530845","7842-31-5033","CLOSD","14334 Three Oaks LN","23192","Hanover","Single Family Residence","01/05/2026","$699,000","$660,000","28","Resale (occupied at least once)","1989","Claybank","3,542","5.00","6","3.1","Well","Septic - Conventional","Conventional","Estate"
"1","2532596","W000-0466-026","CLOSD","1007 W Franklin ST Unit#U6","23220","Richmond City","Condominium","01/05/2026","$434,900","$434,900","9","Resale (occupied at least once)","1910","None","1,552","0.04","2","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2529469","798-61-70-04-200-000","CLOSD","16904 Potts ST","23834","Chesterfield","Single Family Residence","01/05/2026","$225,000","$230,000","28","Resale (occupied at least once)","1963","Chesterfield Place","952","0.31","3","1.0","Well","Septic - Engineered","FHA New","Other"
"1","2530605","780-69-18-88-100-000","CLOSD","4602 Melody CT","23234","Chesterfield","Single Family Residence","01/05/2026","$535,000","$525,000","3","Resale (occupied at least once)","1972","Meadowbrook West","4,638","0.85","4","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2519034","E000-0792-032","CLOSD","1523 N 29th","23223","Richmond City","Single Family Residence","01/05/2026","$219,000","$210,000","112","Resale (occupied at least once)","1945","Woodville","","","2","1.0","Public Water","Sewer - Public","VHDA/FHA","Individuals"
