"#","ML #","PID","Status","Address Line","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2105656","718-66-72-24-100-000","CLOSD","7923 Featherchase Terrace, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","04/09/2021","$250,000","$258,000","6","Resale (occupied at least once)","1998","Ashbrook","1,138","0.21","3","2.0","Public Water","Sewer - Public","VA New","Individuals"
"1","2105353","N000-2348-011","CLOSD","1215 Windsor Avenue, Richmond City VA 23227","23227","Richmond City","Single Family Residence","04/09/2021","$374,950","$409,000","7","Resale (occupied at least once)","1939","Bellevue Court","1,684","0.18","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2104932","25   9 5  17","CLOSD","13440 Cooks Mill Court, New Kent VA 23089","23089","New Kent","Single Family Residence","04/09/2021","$664,999","$665,000","2","Resale (occupied at least once)","2013","None","4,190","16.80","5","4.0","Well","Septic - Alternative","Conventional","Individuals"
"1","2032014","833-727-4444","CLOSD","821 Beverstone Road, Henrico VA 23075","23075","Henrico","Single Family Residence","04/09/2021","$231,620","$231,620","3","New (never occupied)","2020","Silver Spring Farm","1,440","0.96","3","2.1","Well","Septic - Alternative","FHA New","Corporate"
"1","2032956","72-36-56-022-500-000","CLOSD","11542 Longtown Trail, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","04/09/2021","$369,990","$373,845","110","New (never occupied)","2020","Collington","2,200","","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2028481","8706-72-4353","CLOSD","9095 Garrison Manor Drive, Hanover VA 23116","23116","Hanover","Single Family Residence","04/09/2021","$571,390","$571,390","0","New (never occupied)","2020","Garrison Manor","4,364","","5","5.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2102720","741-741-2615","CLOSD","9906 Eildonway Place, Henrico VA 23238","23238","Henrico","Single Family Residence","04/09/2021","$895,000","$890,000","10","Resale (occupied at least once)","2018","Riverlake Colony","4,351","0.43","5","4.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2033433","742-757-3961","CLOSD","3721 Barrington Bridge Place, Henrico VA 23233","23233","Henrico","Single Family Residence","04/09/2021","$889,500","$860,000","110","Resale (occupied at least once)","1989","Barrington","5,809","0.91","5","4.2","Public Water","Sewer - Public","Conventional","Individuals"
"1","2031534","825659875500000","CLOSD","12031 Rotunda Lane, Chesterfield VA 23836","23836","Chesterfield","Single Family Residence","04/09/2021","$448,320","$448,320","0","New (never occupied)","2021","The Landings at Meadowville","3,083","","4","2.1","Public Water","Sewer - Public","USDA","Corporate"
"1","2028019","E000-0083-069","CLOSD","1306 East Cary Street #UnitB, Richmond City VA 23219","23219","Richmond City","Condominium","04/09/2021","$475,000","$475,000","132","Resale (occupied at least once)","1870","None","2,426","0.06","3","2.2","Public Water","Sewer - Public","Conventional","Corporate"
"1","2017525","742-69-99-29-900-000","CLOSD","712 Bella Way, Chesterfield VA 23236","23236","Chesterfield","Single Family Residence","04/09/2021","$371,950","$452,047","59","New (never occupied)","2020","Bellshire","2,124","0.47","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2031271","756-761-4054","CLOSD","4513 Padgett Place, Henrico VA 23060","23060","Henrico","Single Family Residence","04/09/2021","$448,165","$454,455","0","New (never occupied)","2020","Middleton Place","2,149","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2105426","8725-63-7482","CLOSD","6155 Winding Hills Drive, Hanover VA 23111","23111","Hanover","Single Family Residence","04/09/2021","$260,000","$268,000","4","Resale (occupied at least once)","1995","Battlefield Green","1,596","0.18","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2104882","781-747-1664","CLOSD","2108 Parkside Avenue, Henrico VA 23228","23228","Henrico","Single Family Residence","04/09/2021","$284,950","$289,000","8","Resale (occupied at least once)","1956","Hermitage Park","1,370","0.16","4","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2105876","734-69-66-36-400-000","CLOSD","1130 Somerville Grove Terrace, Chesterfield VA 23114","23114","Chesterfield","Single Family Residence","04/09/2021","$285,000","$307,500","3","Resale (occupied at least once)","1985","Somerville Grove","1,825","0.24","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2036556","753-742-2056","CLOSD","1205 Townley Road, Henrico VA 23229","23229","Henrico","Single Family Residence","04/09/2021","$276,000","$283,000","81","Resale (occupied at least once)","1955","Ridgecrest","1,125","0.31","3","2.0","Public Water","Sewer - Public","VA New","Individuals"
"1","2105894","N000-1552-018","CLOSD","3311 Donnan Street, Richmond City VA 23222","23222","Richmond City","Single Family Residence","04/09/2021","$207,000","$207,000","0","Resale (occupied at least once)","2008","Providence Park","968","0.14","3","2.0","Public Water","Sewer - Public","Other","Individuals"
"1","2103750","731-67-94-71-400-000","CLOSD","4506 Heritage Woods Lane, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","04/09/2021","$260,000","$255,000","2","Resale (occupied at least once)","1978","Brandermill","1,643","0.18","3","2.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2105264","7801-28-6061","CLOSD","14419 Family Circle Lane, Hanover VA 23192","23192","Hanover","Single Family Residence","04/09/2021","$299,950","$299,950","7","Resale (occupied at least once)","1973","None","1,904","10.00","3","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2100742","818-688-0888","CLOSD","7900 Wood Mill Drive, Henrico VA 23231","23231","Henrico","Single Family Residence","04/09/2021","$259,000","$259,000","0","Resale (occupied at least once)","1987","Old Mill Estates","1,682","1.04","3","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2030453","723-65-63-15-600-000","CLOSD","11519 Longtown Trail, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","04/09/2021","$351,130","$357,865","19","New (never occupied)","2020","Collington","2,200","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2020010","724-71-07-88-400-000","CLOSD","14448 Michaux Springs View, Chesterfield VA 23113","23113","Chesterfield","Townhouse","04/09/2021","$336,950","$447,525","0","New (never occupied)","2021","Winterfield Park","2,078","","3","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2101511","11A  1A1   4","CLOSD","9831 Talleysville Road, New Kent VA 23124","23124","New Kent","Single Family Residence","04/09/2021","$219,950","$222,000","14","Resale (occupied at least once)","1977","Whitehouse Farms","1,728","","4","2.1","Public Water","Septic - Conventional","Conventional","Partnership"
