"#","ML #","PID","Status","Address Line","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2109606","792-64-11-93-700-000","CLOSD","14336 Hiddenwell Court, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","05/28/2021","$389,900","$390,000","10","Resale (occupied at least once)","2014","Wellspring","2,586","0.63","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2105262","7116780410000000","CLOSD","5707 Brailen Drive, Chesterfield VA 23120","23120","Chesterfield","Single Family Residence","05/28/2021","$436,560","$436,560","14","New (never occupied)","2020","Foxcreek","2,511","","5","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2110821","733-70-87-49-700-000","CLOSD","1101 Southwick Boulevard, Chesterfield VA 23113","23113","Chesterfield","Single Family Residence","05/28/2021","$215,000","$220,000","8","Resale (occupied at least once)","1984","Buckingham","1,220","0.34","2","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2104402","730-71-41-72-200-000","CLOSD","13421 Torrington Drive, Chesterfield VA 23113","23113","Chesterfield","Single Family Residence","05/28/2021","$899,900","$820,000","19","Resale (occupied at least once)","1982","Salisbury","4,327","0.94","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2103811","802-738-6043","CLOSD","2005 Springdale Road, Henrico VA 23222","23222","Henrico","Single Family Residence","05/28/2021","$178,000","$192,001","6","Resale (occupied at least once)","1955","Austin Heights","1,175","0.25","3","1.0","Public Water","Sewer - Public","VHDA ","Individuals"
"1","2108906","8766-75-3108","CLOSD","9252 Pamunkey River Farms Drive, Hanover VA 23111","23111","Hanover","Single Family Residence","05/28/2021","$779,000","$770,000","13","Resale (occupied at least once)","1997","Pamunkey River Farms","3,904","10.02","5","5.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2111289","783-65-94-48-700-000","CLOSD","10513 Krenmore Lane, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","05/28/2021","$470,000","$470,000","13","Resale (occupied at least once)","2005","Wellington Farms","4,405","0.65","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2106577","722-65-67-14-400-000","CLOSD","15112 Longtown Court, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","05/28/2021","$380,192","$380,192","0","New (never occupied)","2021","Willow Creek","2,788","0.31","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2035613","S000-2923-016","CLOSD","1211 West 41st Street, Richmond City VA 23225","23225","Richmond City","Single Family Residence","05/28/2021","$449,950","$449,950","66","Resale (occupied at least once)","1892","Forest Hill Park","2,098","0.35","3","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2035909","7788-66-3110","CLOSD","10209 Wenden Way #UnitCF, Hanover VA 23005","23005","Hanover","Townhouse","05/28/2021","$301,340","$305,878","41","New (never occupied)","2021","Winding Brook Townhomes","1,741","","3","2.2","Public Water","Sewer - Public","Conventional","Corporate"
"1","2110585","30A  8   687","CLOSD","5705 Lakeview Road, New Kent VA 23141","23141","New Kent","Single Family Residence","05/28/2021","$224,900","$215,000","4","Resale (occupied at least once)","1989","Woodhaven Shores","1,008","0.47","3","2.0","Public Water","Septic - Conventional","FHA New","Individuals"
"1","2109365","C004-0544-008","CLOSD","2956 Hathaway Road #UnitU108, Richmond City VA 23225","23225","Richmond City","Condominium","05/28/2021","$245,000","$245,000","5","Resale (occupied at least once)","1972","Hathaway Tower Condominiums","1,480","0.61","2","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2104856","762-748-3695","CLOSD","2309 Wistar Place, Henrico VA 23294","23294","Henrico","Single Family Residence","05/28/2021","$329,000","$329,000","6","Resale (occupied at least once)","1979","Thousand Oaks","2,244","0.31","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2111119","710-68-15-58-200-000","CLOSD","16607 Otterdale Pointe Drive, Chesterfield VA 23120","23120","Chesterfield","Single Family Residence","05/28/2021","$435,000","$442,000","7","Resale (occupied at least once)","2006","Otterdale Pointe","2,953","0.37","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2032081","113202","CLOSD","8560 Crestwicke Lane, New Kent VA 23141","23141","New Kent","Single Family Residence","05/28/2021","$266,550","$265,800","2","New (never occupied)","2020","Crestwicke","1,705","","3","2.1","Public Water","Septic - Conventional","USDA","Corporate"
"1","2111226","780-65-50-44-100-000","CLOSD","11601 Chalkley Road, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","05/28/2021","$325,000","$330,000","7","Resale (occupied at least once)","1969","None","2,574","1.01","5","3.0","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2110138","772-759-8641","CLOSD","9508 Paragon Drive, Henrico VA 23228","23228","Henrico","Single Family Residence","05/28/2021","$219,500","$226,000","11","Resale (occupied at least once)","1959","Laurel Park","1,275","0.33","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2104944","714-66-49-70-600-000","CLOSD","8624 Corsica Drive, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","05/28/2021","$489,000","$485,000","61","Resale (occupied at least once)","2016","Harpers Mill","3,083","0.28","4","3.1","Public Water","Sewer - Public","VHDA/FHA","Individuals"
"1","2110590","814-723-8763","CLOSD","4014 Oakleys Lane, Henrico VA 23223","23223","Henrico","Single Family Residence","05/28/2021","$165,000","$181,000","7","Resale (occupied at least once)","1948","Acreage","840","0.26","2","1.0","Public Water","Septic - Conventional","Conventional","Corporate"
"1","2110827","780-62-75-66-700-000","CLOSD","6500 Wryneck Court, Chesterfield VA 23838","23838","Chesterfield","Single Family Residence","05/28/2021","$525,000","$555,000","4","Resale (occupied at least once)","2007","Crimson Crest","4,027","1.59","4","4.1","Public Water","Septic - Alternative","Conventional","Individuals"
"1","2111849","793-740-3716","CLOSD","416 Greenbrier Avenue, Henrico VA 23222","23222","Henrico","Single Family Residence","05/28/2021","$250,000","$250,000","5","Resale (occupied at least once)","2006","Confederate Heights","1,300","0.25","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2110630","21E 1A 46","CLOSD","5975 Quinton Estates Drive, New Kent VA 23141","23141","New Kent","Single Family Residence","05/28/2021","$239,950","$260,000","4","Resale (occupied at least once)","1997","Quinton Estates","1,220","","3","2.0","Community Well","Septic - Conventional","FHA New","Individuals"
"1","2110497","827-65-84-45-000-000","CLOSD","12318 Declaration Avenue, Chesterfield VA 23836","23836","Chesterfield","Single Family Residence","05/28/2021","$459,000","$485,000","5","Resale (occupied at least once)","2012","Mount Blanco On The James","3,487","0.48","4","3.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2110331","783-766-4212","CLOSD","1109 Lees Crossing Court, Henrico VA 23059","23059","Henrico","Single Family Residence","05/28/2021","$285,000","$315,000","5","Resale (occupied at least once)","1998","Lees Crossing","1,742","0.19","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2025746","824-66-09-07-500-000","CLOSD","12031 Rolling Tide Court, Chesterfield VA 23836","23836","Chesterfield","Single Family Residence","05/28/2021","$447,950","$530,111","0","New (never occupied)","2021","Meadowville Landing","3,446","","4","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2107711","734-761-6587","CLOSD","12013 Valleybrook Drive, Henrico VA 23233","23233","Henrico","Single Family Residence","05/28/2021","$549,950","$600,000","4","Resale (occupied at least once)","1990","Springrock At Wellesley","3,476","0.36","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2036842","771-69-46-61-100-000","CLOSD","3126 Newington Court, Chesterfield VA 23224","23224","Chesterfield","Townhouse","05/28/2021","$199,000","$199,000","77","Resale (occupied at least once)","1982","Newberry Towne","1,904","0.07","3","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2026436","797-711-6283","CLOSD","16 Shiplock Row, Henrico VA 23231","23231","Henrico","Townhouse","05/28/2021","$444,785","$482,520","0","New (never occupied)","2020","Village Of Rocketts Landing","2,075","","3","3.2","Public Water","Sewer - Public","Conventional","Corporate"
"1","2109054","51A117    11","CLOSD","401 Riverside Drive, New Kent VA 23089","23089","New Kent","Single Family Residence","05/28/2021","$285,000","$285,000","3","Resale (occupied at least once)","1979","Chickahominy Shores","2,060","0.81","3","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2106727","742-769-1878","CLOSD","11800 Autumnwood Court, Henrico VA 23059","23059","Henrico","Single Family Residence","05/28/2021","$534,000","$540,000","2","Resale (occupied at least once)","2001","Autumnwood @ Twin Hickory","3,310","0.30","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
