"#","ML #","PID","Status","Address Line","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2225736","710-67-66-76-900-000","CLOSD","16408 Strider Alley, Chesterfield VA 23120","23120","Chesterfield","Townhouse","12/27/2022","$349,990","$349,990","70","New (never occupied)","2022","Wynwood at Foxcreek","1,601","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2228296","815-688-8163","CLOSD","7911 Gregg Road, Henrico VA 23231","23231","Henrico","Single Family Residence","12/27/2022","$239,900","$239,900","41","Resale (occupied at least once)","1970","Varina Place","1,144","0.66","3","1.1","Well","Septic - Conventional","FHA New","Individuals"
"1","2224567","C006-0607-044","CLOSD","4911 Lovells Road, Richmond City VA 23224","23224","Richmond City","Single Family Residence","12/27/2022","$230,000","$230,000","86","Resale (occupied at least once)","1963","Cranford Heights","1,390","0.22","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2219726","705675103300000","CLOSD","6218 DEER SUMMIT Court, Chesterfield VA 23120","23120","Chesterfield","Single Family Residence","12/27/2022","$677,675","$677,675","0","New (never occupied)","2022","Magnolia Green","3,673","","4","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2231611","7826-55-2038","CLOSD","17071 Addie Rose Lane, Hanover VA 23015","23015","Hanover","Single Family Residence","12/27/2022","$354,950","$350,000","0","New (never occupied)","2022","Ballard Ridge","1,501","2.00","3","2.0","Well","Septic - Conventional","Conventional","Corporate"
"1","2230068","C004-0651-011","CLOSD","3332 Cheverly Road, Richmond City VA 23225","23225","Richmond City","Single Family Residence","12/27/2022","$259,950","$255,000","28","Resale (occupied at least once)","1978","Stratford Hills","1,248","0.44","3","2.0","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2226778","052-2-2D1","CLOSD","3141 Pineview Drive, Powhatan VA 23139","23139","Powhatan","Single Family Residence","12/27/2022","$365,000","$365,000","65","Resale (occupied at least once)","1997","Burkwood Farms","1,935","2.00","3","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2229218","782-66-41-05-100-000","CLOSD","9600 Shiloh Drive, Chesterfield VA 23237","23237","Chesterfield","Single Family Residence","12/27/2022","$289,000","$289,000","23","Resale (occupied at least once)","2009","Centralia Gardens","1,218","0.21","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2225637","C008-0347-038","CLOSD","4622 Haworth Road, Richmond City VA 23234","23234","Richmond City","Single Family Residence","12/27/2022","$198,000","$194,000","48","Resale (occupied at least once)","1940","British Camp Farm","994","0.33","2","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2229906","796-61-69-57-900-000","CLOSD","19707 Piedmont Avenue, Chesterfield VA 23834","23834","Chesterfield","Single Family Residence","12/27/2022","$219,500","$212,000","19","Resale (occupied at least once)","1959","Mason W M","998","0.42","3","1.0","Public Water","Sewer - Public","VHDA ","Individuals"
"1","2230111","735-761-4950","CLOSD","12079 Foxfield Circle, Henrico VA 23233","23233","Henrico","Townhouse","12/27/2022","$350,000","$350,000","7","Resale (occupied at least once)","1992","Foxfield At Wellesley","1,600","0.10","3","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2220603","712-66-11-88-900-000","CLOSD","9231 Saxsawn Lane, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","12/27/2022","$691,299","$685,000","22","New (never occupied)","2022","Harpers Mill","3,108","","5","4.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2231508","7799-89-0154","CLOSD","9122 East Patrick Henry Road, Hanover VA 23005","23005","Hanover","Single Family Residence","12/27/2022","$55,000","$120,700","4","Resale (occupied at least once)","1971","None","1,056","1.07","3","1.1","Well","Septic - Conventional","Cash","Individuals"
"1","2230669","805-731-9448","CLOSD","2909 Sandy Grove Court, Henrico VA 23223","23223","Henrico","Single Family Residence","12/27/2022","$225,000","$237,500","4","Resale (occupied at least once)","2007","Sandy Grove","1,158","0.25","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2230340","791-64-69-39-800-000","CLOSD","4104 Hidden Valley Road, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","12/27/2022","$409,900","$410,000","9","Resale (occupied at least once)","1972","Hidden Valley Estates","2,929","0.40","4","3.0","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2230044","C004-0250-014","CLOSD","7530 Piney Branch Road, Richmond City VA 23225","23225","Richmond City","Single Family Residence","12/27/2022","$499,950","$499,950","12","Resale (occupied at least once)","1969","Cherokee Farms","2,245","0.48","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2230003","738-69-46-04-800-000","CLOSD","1736 Winbury Drive, Chesterfield VA 23114","23114","Chesterfield","Single Family Residence","12/27/2022","$410,000","$400,000","4","Resale (occupied at least once)","1999","Westbury","2,314","0.29","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2228903","768-64-39-71-100-000","CLOSD","12424 Wynnstay Lane, Chesterfield VA 23838","23838","Chesterfield","Single Family Residence","12/27/2022","$599,000","$599,000","23","Resale (occupied at least once)","2008","The Highlands","4,229","1.93","4","4.1","Public Water","Septic - Conventional","VA New","Individuals"
"1","2228858","747-744-8887","CLOSD","1311 Andover Road, Henrico VA 23229","23229","Henrico","Single Family Residence","12/27/2022","$329,950","$329,950","5","Resale (occupied at least once)","1957","Farmington","2,228","0.20","5","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2227129","797-712-6495","CLOSD","4955 Old Main Street, Henrico VA 23231","23231","Henrico","Townhouse","12/27/2022","$579,990","$579,990","34","Resale (occupied at least once)","2014","Village Of Rocketts Landing","2,088","16.00","2","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2226041","742-765-8822","CLOSD","11401 Country Oaks Court, Henrico VA 23059","23059","Henrico","Single Family Residence","12/27/2022","$694,000","$650,000","4","Resale (occupied at least once)","2004","Twin Hickory","3,560","0.49","5","4.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2220760","745-731-6392","CLOSD","8909 Highfield Road, Henrico VA 23229","23229","Henrico","Single Family Residence","12/27/2022","$825,000","$800,000","104","Resale (occupied at least once)","1985","Mooreland Farms","3,706","0.56","3","3.0","Public Water","Sewer - Public","Conventional","Estate, Individuals"
"1","2216760","775-65-62-67-800-000","CLOSD","11241 Magill Terrace Drive, Chesterfield VA 23831","23831","Chesterfield","Townhouse","12/27/2022","$336,950","$387,545","0","New (never occupied)","2022","IronBridge Townhomes","2,024","","2","2.2","Public Water","Sewer - Public","Conventional","Corporate"
"1","2212839","758-68-91-39-100-000","CLOSD","3717 Tanbark Road, Chesterfield VA 23235","23235","Chesterfield","Single Family Residence","12/27/2022","$199,500","$250,000","165","Resale (occupied at least once)","1964","Longwood Acres","1,770","0.85","4","2.0","Public Water","Septic - Aerobic","Cash","Estate"
"1","2212111","775-65-67-21-800-000","CLOSD","6541 Bolles Landing Court, Chesterfield VA 23831","23831","Chesterfield","Townhouse","12/27/2022","$336,950","$338,650","0","New (never occupied)","2022","IronBridge Townhomes","1,513","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2211451","E000-0614-005","CLOSD","1314 North 21st Street, Richmond City VA 23223","23223","Richmond City","Single Family Residence","12/27/2022","$200,000","$140,000","106","Resale (occupied at least once)","1910","Fairmount Park","1,188","0.06","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2206388","729-66-19-27-700-000","CLOSD","9924 Maidstone Court, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","12/27/2022","$498,950","$552,765","0","New (never occupied)","2022","Collington East","3,316","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2203952","10272","CLOSD","5800 Regal Lane, New Kent VA 23140","23140","New Kent","Single Family Residence","12/27/2022","$465,245","$523,944","0","New (never occupied)","2022","Brickshire","2,443","0.39","4","3.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2137059","19H  1    39","CLOSD","3485 Rock Creek Villa Drive, New Kent VA 23141","23141","New Kent","Single Family Residence","12/27/2022","$349,000","$349,400","151","New (never occupied)","2021","Rock Creek Villas","1,692","0.11","3","2.0","Public Water","Sewer - Public","Cash","Corporate"
"1","BRTVANK2000030","NO TAX RECORD","CLOSD","9199 Meritage Lane, New Kent VA 23124","23124","New Kent","Single Family Residence","12/27/2022","$912,831","$912,831","0","New (never occupied)","2022","NONE","0","0.00","4","3.0","Public Water","Public Sewer On Site","",""
"1","REIN10416046","19H  1    39","CLOSD","3485 Rock Creek Villa Drive, New Kent VA 23141","23141","New Kent","Single Family Residence","12/27/2022","$349,000","$349,400","177","New (never occupied)","2022","ALL OTHERS AREA 140","1,692","0.11","3","2.0","Public Water","Public Sewer On Site","",""
"1","2214692","7796-53-7300","CLOSD","9504 Garland Hill Lane, Hanover VA 23116","23116","Hanover","Single Family Residence","12/28/2022","$688,190","$688,190","0","New (never occupied)","2022","Giles Farm","3,656","","5","4.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2216797","8743-98-5713","CLOSD","6012 Swans Lane, Hanover VA 23111","23111","Hanover","Single Family Residence","12/28/2022","$699,950","$660,000","131","New (never occupied)","2022","Tarwood Estates","2,907","5.70","3","2.1","Well","Septic - Conventional","Conventional","Corporate"
"1","2227875","719-67-62-81-100-000","CLOSD","14819 Acorn Ridge Road, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","12/28/2022","$345,000","$345,000","11","Resale (occupied at least once)","1988","Acorn Ridge","1,728","0.18","3","2.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2214503","117504","CLOSD","7129 Lovegrass Court, New Kent VA 23124","23124","New Kent","Single Family Residence","12/28/2022","$419,990","$419,990","61","New (never occupied)","2022","Arbors","2,237","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2212292","774678356300000","CLOSD","5764 Addison Gate Drive #Unit39C, Chesterfield VA 23234","23234","Chesterfield","Townhouse","12/28/2022","$336,235","$351,435","18","New (never occupied)","2022","Austin Woods","1,565","","3","2.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2228739","785-760-0603","CLOSD","630 Rivanna Hill Road, Henrico VA 23060","23060","Henrico","Townhouse","12/28/2022","$379,345","$359,345","29","New (never occupied)","2022","Retreat at One","2,174","","3","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2225733","785-760-0304","CLOSD","634 Rivanna Hill Road, Henrico VA 23060","23060","Henrico","Townhouse","12/28/2022","$396,895","$396,895","10","New (never occupied)","2022","Retreat at One","2,174","","4","2.2","Public Water","Sewer - Public","Conventional","Corporate"
"1","2229714","8716-72-3421","CLOSD","9093 Lunette Lane, Hanover VA 23116","23116","Hanover","Single Family Residence","12/28/2022","$459,950","$465,000","37","Resale (occupied at least once)","2003","The Bluffs At Bell Creek","2,972","0.18","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2229585","E000-0576-014","CLOSD","2927 Marshall Street, Richmond City VA 23223","23223","Richmond City","Single Family Residence","12/28/2022","$429,950","$427,500","23","Resale (occupied at least once)","1900","None","1,746","","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2216311","712672555200228","CLOSD","6601 Citory Way #Unit101, Chesterfield VA 23120","23120","Chesterfield","Condominium","12/28/2022","$296,875","$303,000","14","New (never occupied)","2022","Greenwich Walk At Foxcreek","1,162","","2","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2231020","S004-3278-056","CLOSD","213 Mardick Road, Richmond City VA 23224","23224","Richmond City","Single Family Residence","12/28/2022","$249,000","$255,000","4","Resale (occupied at least once)","1944","Woodside Court","1,300","0.20","4","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2229982","827-720-2497","CLOSD","1704 Beaver Road, Henrico VA 23075","23075","Henrico","Single Family Residence","12/28/2022","$262,500","$268,500","11","Resale (occupied at least once)","1998","Fairlawn","1,456","0.32","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2216129","699674531600000","CLOSD","6506 Hammock Creek Drive, Chesterfield VA 23120","23120","Chesterfield","Single Family Residence","12/28/2022","$671,440","$671,440","34","New (never occupied)","2022","Magnolia Green","3,225","","4","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2228182","794-63-49-51-500-000","CLOSD","3705 North Light Drive, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","12/28/2022","$214,900","$214,900","43","Resale (occupied at least once)","1984","Somerset","792","0.21","2","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2230878","740-67-72-18-400-000","CLOSD","12006 Ashley Wilkes Lane, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","12/28/2022","$239,950","$239,950","6","Resale (occupied at least once)","1981","Glen Tara","1,056","0.35","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2228647","736-66-58-21-900-000","CLOSD","9621 Old Chestnut Drive, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","12/28/2022","$449,000","$420,000","28","Resale (occupied at least once)","1974","Clover Hill Farms","2,313","1.64","4","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2226351","729-754-9166","CLOSD","2605 Caitlin Court, Henrico VA 23233","23233","Henrico","Single Family Residence","12/28/2022","$435,000","$425,000","39","Resale (occupied at least once)","1989","Winchester Green","2,338","0.18","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2224908","E000-0559-011","CLOSD","2319 Fairmount Avenue, Richmond City VA 23223","23223","Richmond City","Single Family Residence","12/28/2022","$355,000","$345,000","85","Resale (occupied at least once)","2020","Fairmount Park","1,818","0.05","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2216280","S0000301002","CLOSD","313 West 20th Street #UnitWD, Richmond City VA 23225","23225","Richmond City","Townhouse","12/28/2022","$399,990","$407,331","27","New (never occupied)","2022","Belle Heights","1,916","","3","2.2","Public Water","Sewer - Public","Cash","Corporate"
"1","2214528","J13-1633-4263","CLOSD","8010 West Danube Loop, New Kent VA 23124","23124","New Kent","Single Family Residence","12/28/2022","$399,635","$399,635","22","New (never occupied)","2022","Lifestyle at Four Seasons","1,696","","3","2.0","Public Water","Sewer - Public","VA New","Corporate"
"1","2230525","24B-3-3-130","CLOSD","7714 Broadstairs Lane, New Kent VA 23124","23124","New Kent","Townhouse","12/28/2022","$330,000","$330,000","0","New (never occupied)","2022","Maidstone Village","1,914","","3","2.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2222423","697670856000000","CLOSD","18304 Palisades Court, Chesterfield VA 23120","23120","Chesterfield","Townhouse","12/28/2022","$390,225","$390,225","0","New (never occupied)","2022","Magnolia Green","1,656","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2217615","790-746-7247","CLOSD","5327 Tamiani Avenue, Henrico VA 23227","23227","Henrico","Single Family Residence","12/28/2022","$307,450","$337,000","15","New (never occupied)","2022","Chamberlayne Estates","1,440","0.21","3","2.1","Public Water","Septic - Engineered","Conventional","Corporate"
"1","2230387","727-69-91-25-400-000","CLOSD","1207 Bach Lane, Chesterfield VA 23114","23114","Chesterfield","Single Family Residence","12/28/2022","$724,500","$700,000","9","Resale (occupied at least once)","2004","Hartley Village At Charter Colony","4,458","0.27","6","5.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2228262","784-68-58-81-700-000","CLOSD","3520 Luckylee Crescent, Chesterfield VA 23234","23234","Chesterfield","Townhouse","12/28/2022","$159,950","$163,000","10","Resale (occupied at least once)","1972","Meadowdale Th Pk","1,026","0.04","3","1.1","Public Water","Community - Sewer/Septic","Conventional","Individuals"
"1","2208968","to be determined","CLOSD","14407 Hancock Towns Drive #UnitH 9-2, Chesterfield VA 23832","23832","Chesterfield","Condominium","12/28/2022","$316,500","$316,500","0","New (never occupied)","2022","Hancock Village","1,502","","2","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2228663","771-743-9255","CLOSD","5408 Bethlehem Road, Henrico VA 23228","23228","Henrico","Single Family Residence","12/28/2022","$299,000","$290,000","21","Resale (occupied at least once)","1957","Bethlehem Place","1,282","0.20","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2231808","757-763-2583","CLOSD","9317 Classic Road, Henrico VA 23060","23060","Henrico","Single Family Residence","12/28/2022","$387,000","$387,000","0","Resale (occupied at least once)","1980","Broad Meadows","1,428","0.19","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2213870","24B-3-3-129","CLOSD","7718 Broadstairs Lane, New Kent VA 23124","23124","New Kent","Townhouse","12/28/2022","$374,000","$378,235","137","New (never occupied)","2022","Maidstone Village","2,446","","4","3.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2229505","732-64-38-81-000-000","CLOSD","13130 River Road, Chesterfield VA 23838","23838","Chesterfield","Single Family Residence","12/28/2022","$445,000","$445,000","21","Resale (occupied at least once)","1997","None","2,402","6.41","3","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2201689","712-66-12-50-900-000","CLOSD","9131 Saxsawn Lane, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","12/28/2022","$588,950","$635,691","0","New (never occupied)","2022","Harpers Mill","3,457","","4","4.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2230091","726-69-17-07-800-000","CLOSD","13809 Turtle Hill Road, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","12/28/2022","$353,900","$347,000","8","Resale (occupied at least once)","1986","Brandermill","1,837","0.20","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2232070","781-746-4555","CLOSD","2108 Nelson Street, Henrico VA 23228","23228","Henrico","Single Family Residence","12/28/2022","$219,500","$251,000","4","Resale (occupied at least once)","1937","Bryan Park Heights","1,637","0.20","3","2.0","Public Water","Sewer - Public","Cash","Estate"
"1","2231796","782-761-5005","CLOSD","1414 Virginia Avenue, Henrico VA 23060","23060","Henrico","Single Family Residence","12/28/2022","$87,500","$80,000","9","Resale (occupied at least once)","1937","Biltmore","1,383","0.17","3","1.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2231467","717-66-89-05-400-000","CLOSD","7636 Fern Hollow Drive, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","12/28/2022","$395,000","$385,000","9","Resale (occupied at least once)","2002","Ashbrook","2,400","0.23","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2231304","715-65-15-03-700-000","CLOSD","11810 Winterpock Road, Chesterfield VA 23838","23838","Chesterfield","Single Family Residence","12/28/2022","$564,900","$550,000","8","Resale (occupied at least once)","2000","None","2,613","5.00","4","3.0","Well","Septic - Conventional","Cash","Individuals"
"1","2231282","774-756-6177","CLOSD","2408 Raymond Avenue, Henrico VA 23228","23228","Henrico","Single Family Residence","12/28/2022","$295,000","$358,000","12","Resale (occupied at least once)","1966","Rocky Branch Farm","2,160","1.29","4","2.0","Public Water","Sewer - Public","Conventional","Estate"
"1","2230994","8704-86-0805","CLOSD","7344 Pickett Avenue, Hanover VA 23111","23111","Hanover","Single Family Residence","12/28/2022","$250,000","$250,000","18","Resale (occupied at least once)","1948","None","1,189","0.37","2","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2230891","817-726-5634","CLOSD","5806 Nine Mile Road, Henrico VA 23223","23223","Henrico","Single Family Residence","12/28/2022","$279,000","$272,800","6","Resale (occupied at least once)","1952","Bungalow City","1,560","0.23","3","3.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2230743","822-64-63-62-300-000","CLOSD","14204 State Avenue, Chesterfield VA 23836","23836","Chesterfield","Single Family Residence","12/28/2022","$245,000","$245,000","14","Resale (occupied at least once)","1951","Morrisdale","1,427","0.28","3","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2230650","750-742-5991","CLOSD","1204 Blue Jay Lane, Henrico VA 23229","23229","Henrico","Single Family Residence","12/28/2022","$320,000","$312,000","7","Resale (occupied at least once)","1956","Greenbriar Hills","1,088","0.24","3","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2230435","7787-56-0707","CLOSD","10258 Ibis Drive, Hanover VA 23005","23005","Hanover","Townhouse","12/28/2022","$330,000","$315,000","16","Resale (occupied at least once)","2015","Lakeridge Green","1,908","0.04","3","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2230361","757-65-69-88-600-000","CLOSD","10701 Old Squaws Lane, Chesterfield VA 23838","23838","Chesterfield","Single Family Residence","12/28/2022","$650,000","$650,000","3","Resale (occupied at least once)","1987","Woodland Pond","3,309","2.16","5","2.1","Public Water","Septic - Conventional","VA New","Individuals"
"1","2230307","8714-69-3505","CLOSD","7989 Kenmore Drive, Hanover VA 23111","23111","Hanover","Single Family Residence","12/28/2022","$329,950","$340,000","2","Resale (occupied at least once)","1963","Spring Meadows","1,691","0.37","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2230161","753-734-7005","CLOSD","100 Roslyn Hills Drive, Henrico VA 23229","23229","Henrico","Single Family Residence","12/28/2022","$625,000","$680,001","4","Resale (occupied at least once)","1959","Roslyn Hills","2,710","0.59","4","3.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2230128","802-695-8002","CLOSD","7295 Osborne Turnpike, Henrico VA 23231","23231","Henrico","Single Family Residence","12/28/2022","$105,000","$167,750","16","Resale (occupied at least once)","1957","None","1,400","0.96","3","1.1","Well","Septic - Conventional","Cash","Individuals"
"1","2229890","779-67-26-26-600-000","CLOSD","8407 Tatterton Trail, Chesterfield VA 23237","23237","Chesterfield","Single Family Residence","12/28/2022","$436,000","$436,000","7","Resale (occupied at least once)","2015","Bendahl Valley Section B","3,442","0.32","6","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2229806","743-68-32-12-600-000","CLOSD","4000 Frederick Farms Court, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","12/28/2022","$249,950","$255,000","33","Resale (occupied at least once)","1985","Frederick Farms","1,056","0.18","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2229707","781-67-08-35-800-000","CLOSD","4400 Green Cedar Lane, Chesterfield VA 23237","23237","Chesterfield","Single Family Residence","12/28/2022","$345,000","$345,000","4","Resale (occupied at least once)","1984","Treemont","2,109","0.37","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2229264","752-748-9858","CLOSD","1721 Pine Edge Lane, Henrico VA 23229","23229","Henrico","Single Family Residence","12/28/2022","$334,000","$328,000","36","Resale (occupied at least once)","1996","Pinecreek Village","1,424","0.30","3","2.1","Public Water","Sewer - Public","Cash","Corporate"
"1","2228642","N000-1028-021","CLOSD","1021 Rennie Avenue, Richmond City VA 23227","23227","Richmond City","Single Family Residence","12/28/2022","$524,950","$509,950","60","New (never occupied)","2021","Ginter Park","2,184","0.08","4","2.1","Public Water","Sewer - Public","Cash","Corporate"
"1","2228391","8725730870","CLOSD","8194 Skirmish Lane, Hanover VA 23111","23111","Hanover","Single Family Residence","12/28/2022","$299,950","$290,000","36","Resale (occupied at least once)","1998","Battlefield Green","1,629","0.15","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2227191","7890-40-7138","CLOSD","9300 East Patrick Henry Road, Hanover VA 23005","23005","Hanover","Single Family Residence","12/28/2022","$335,000","$335,000","48","Resale (occupied at least once)","2020","None","1,620","0.60","3","2.1","Well","Septic - Mound","FHA New","Individuals"
"1","2226117","7719-50-9589","CLOSD","17222 Pouncey Tract Road, Hanover VA 23146","23146","Hanover","Single Family Residence","12/28/2022","$375,000","$330,000","60","Resale (occupied at least once)","1699","South Anna","3,865","7.50","3","2.1","Well","Septic - Conventional","Cash","Estate"
"1","2225384","8735-37-7360","CLOSD","8369 Arnold Road, Hanover VA 23111","23111","Hanover","Single Family Residence","12/28/2022","$499,950","$450,000","54","Resale (occupied at least once)","2007","None","1,974","4.14","3","2.0","Well","Septic - Engineered","Cash","Individuals"
"1","2225218","731-67-69-07-700-000","CLOSD","13313 Thornridge Court, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","12/28/2022","$339,900","$320,000","38","Resale (occupied at least once)","1979","Brandermill","2,722","0.18","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2216731","775-65-62-68-300-000","CLOSD","11233 Magill Terrace Drive, Chesterfield VA 23831","23831","Chesterfield","Townhouse","12/28/2022","$343,950","$357,965","0","New (never occupied)","2022","IronBridge Townhomes","2,048","","3","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2215366","807-728-0471","CLOSD","912 Maplegrove Drive, Henrico VA 23223","23223","Henrico","Single Family Residence","12/28/2022","$329,000","$350,000","6","Resale (occupied at least once)","1997","Huntwood","2,223","0.48","4","2.1","Public Water","Sewer - Public","VA New","Individuals"
