"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","1938276","802-703-7747","CLOSD","1305 Wilderness DR","23231","Henrico","Single Family Residence","03/20/2020","$185,000","$183,000","58","Resale (occupied at least once)","1974","New Market Farms","1,352","0.32","3","1.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2002892","W000-0818-026","CLOSD","1824 Hanover AVE","23220","Richmond City","Single Family Residence","03/20/2020","$800,000","$852,000","2","","1914","None","2,830","0.07","4","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2003305","740-749-2664","CLOSD","10816 Millington LN","23238","Henrico","Single Family Residence","03/20/2020","$509,950","$509,950","7","Resale (occupied at least once)","1992","Royal Oaks","3,330","0.47","5","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","1933159","742-739-2299","CLOSD","9805 Colony Bluff DR","23238","Henrico","Single Family Residence","03/20/2020","$895,000","$865,000","99","Resale (occupied at least once)","2000","Riverlake Colony","7,303","","5","6.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2000269","727-66-21-56-600-000","CLOSD","9830 Brafferton RD","23112","Chesterfield","Single Family Residence","03/20/2020","$350,000","$355,000","3","Resale (occupied at least once)","2016","Collington","3,186","0.16","5","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2001690","728-65-82-78-200-000","CLOSD","13824 Mountcastle RD","23832","Chesterfield","Single Family Residence","03/20/2020","$339,000","$339,000","4","Resale (occupied at least once)","1997","Brandy Oaks","2,800","1.33","4","2.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2002815","721-71-90-92-900-000","CLOSD","14309 Southwell TER","23113","Chesterfield","Single Family Residence","03/20/2020","$669,950","$657,000","17","Resale (occupied at least once)","1987","Salisbury","6,321","1.89","6","5.1","Public Water","Septic - Conventional","Conventional","Corporate"
"1","2002235","W019-0283-011","CLOSD","4103 Hanover AVE","23221","Richmond City","Single Family Residence","03/20/2020","$799,000","$791,000","20","Resale (occupied at least once)","1939","Grove Avenue Crest","3,497","0.20","3","2.2","Public Water","Sewer - Public","Conventional","Corporate"
"1","2000310","715-66-91-74-400-000","CLOSD","8318 Hampton Crest CIR","23832","Chesterfield","Single Family Residence","03/20/2020","$365,000","$360,000","37","Resale (occupied at least once)","2001","Hampton Park","3,127","0.26","5","2.1","Public Water","Community - Sewer/Septic","Conventional","Individuals"
"1","1939172","755-65-14-76-200-000","CLOSD","11407 Timber Point DR","23838","Chesterfield","Single Family Residence","03/20/2020","$495,000","$495,000","67","","1999","Woodland Pond","4,012","1.16","5","3.1","Public Water","Septic - Conventional","Conventional","Individuals"
