"#","ML #","PID","Status","Address Line","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2025075","749-744-8824","CLOSD","9133 Farmington Drive, Henrico VA 23229","23229","Henrico","Single Family Residence","10/23/2020","$259,950","$255,000","38","Resale (occupied at least once)","1958","Farmington","1,732","0.27","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2027309","754-736-8937","CLOSD","221 Roslyn Hills Drive, Henrico VA 23229","23229","Henrico","Single Family Residence","11/04/2020","$499,000","$515,000","8","Resale (occupied at least once)","1958","Roslyn Hills","1,848","0.40","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2023085","722-65-67-52-200-000","CLOSD","15113 Longtown Court, Chesterfield VA 23832","23832","Chesterfield","Single Family Residence","11/04/2020","$445,352","$445,352","2","New (never occupied)","2020","Willow Creek","2,820","0.32","3","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2030243","732-69-72-09-700-000","CLOSD","1431 Wesanne Lane, Chesterfield VA 23114","23114","Chesterfield","Single Family Residence","11/04/2020","$400,000","$395,000","3","Resale (occupied at least once)","1986","Cedar Crossing","2,977","0.58","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2028989","739-67-07-98-200-000","CLOSD","12107 Sunset Point Court, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","11/04/2020","$349,000","$349,000","3","Resale (occupied at least once)","2001","Bayhill Pointe","2,721","0.35","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2028771","814-65-78-38-300-000","CLOSD","12805 Hogans Alley, Chesterfield VA 23836","23836","Chesterfield","Single Family Residence","11/04/2020","$464,900","$475,000","3","Resale (occupied at least once)","1997","Rivers Bend","3,874","0.54","5","3.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2027596","763-748-5991","CLOSD","2403 Sunnybrook Road, Henrico VA 23294","23294","Henrico","Single Family Residence","11/04/2020","$235,000","$255,000","2","Resale (occupied at least once)","1955","Whispering Pines Henr","1,930","0.33","3","1.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2005426","736669233000000","CLOSD","9019 Buffalo Springs Drive, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","11/04/2020","$398,715","$401,765","48","New (never occupied)","2020","Bayhill Pointe","3,262","","5","3.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2017019","749-69-89-89-400-000","CLOSD","1029 Robmont Road, Chesterfield VA 23236","23236","Chesterfield","Single Family Residence","11/04/2020","$215,000","$220,000","43","Resale (occupied at least once)","1976","The Meadows","1,632","0.26","3","2.0","Public Water","Sewer - Public","VA Assumption","Individuals"
"1","2019830","743-72-68-50-800-000","CLOSD","10771 Cherokee Road, Chesterfield VA 23113","23113","Chesterfield","Single Family Residence","11/04/2020","$699,000","$695,000","63","Resale (occupied at least once)","1977","Huguenot Hundred","4,456","1.95","4","5.0","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2029698","750-69-54-37-900-000","CLOSD","9948 North Wagstaff Circle, Chesterfield VA 23236","23236","Chesterfield","Single Family Residence","11/04/2020","$224,950","$237,000","6","Resale (occupied at least once)","1950","Wagstaff Circle","1,480","0.82","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2026738","761-753-4358","CLOSD","3101 Skipwith Road, Henrico VA 23294","23294","Henrico","Single Family Residence","11/04/2020","$234,950","$245,000","4","Resale (occupied at least once)","1946","Pine Dale","1,597","0.69","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2027530","038D-2-12","CLOSD","1605 Hollow Log Drive, Powhatan VA 23139","23139","Powhatan","Single Family Residence","11/04/2020","$314,950","$305,000","15","Resale (occupied at least once)","2002","Foxrest","2,266","2.00","4","2.1","Well","Septic - Conventional","FHA New","Individuals"
"1","2029958","19G1 7 4  11","CLOSD","7608 North Franklins Way, New Kent VA 23141","23141","New Kent","Single Family Residence","11/04/2020","$330,000","$330,000","9","Resale (occupied at least once)","2015","Patriots Landing","2,410","0.32","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2029537","012-41B","CLOSD","3315 Trenholm Road, Powhatan VA 23139","23139","Powhatan","Single Family Residence","11/04/2020","$365,000","$370,000","5","Resale (occupied at least once)","1994","None","2,340","8.00","4","2.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2028430","790-61-53-66-200-000","CLOSD","20207 Stonewood Manor Drive, Chesterfield VA 23803","23803","Chesterfield","Single Family Residence","11/04/2020","$204,950","$216,000","6","Resale (occupied at least once)","1993","Stonewood Manor","1,552","0.39","4","2.0","Public Water","Sewer - Public","VHDA/FHA","Individuals"
"1","2027785","825-716-8984","CLOSD","9 Pickett Avenue, Henrico VA 23150","23150","Henrico","Single Family Residence","11/04/2020","$236,000","$216,000","7","Resale (occupied at least once)","1940","Sandston","2,819","0.33","3","2.1","Public Water","Sewer - Public","Other","Individuals"
"1","2024542","795-64-59-18-100-000","CLOSD","3006 Appleford Drive, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","11/04/2020","$242,000","$247,000","12","Resale (occupied at least once)","1996","Long Meadow","1,716","0.29","3","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2019610","783-60-90-45-300-000","CLOSD","5632 River Road, Chesterfield VA 23803","23803","Chesterfield","Single Family Residence","11/04/2020","$184,950","$187,500","19","Resale (occupied at least once)","1965","None","1,543","0.31","3","1.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2029964","C004-0305-030","CLOSD","3430 Blithewood Drive, Richmond City VA 23225","23225","Richmond City","Single Family Residence","11/04/2020","$345,000","$362,000","4","Resale (occupied at least once)","1957","Stratford Hills","2,465","0.39","3","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2027367","782-762-2408","CLOSD","1418 New York Avenue, Henrico VA 23060","23060","Henrico","Single Family Residence","11/04/2020","$219,000","$219,000","8","Resale (occupied at least once)","1950","Biltmore","1,561","0.35","3","1.1","Public Water, Well","Sewer - Public","Conventional","Estate"
"1","2029846","801-738-8035","CLOSD","1908 Parlow Drive, Henrico VA 23222","23222","Henrico","Single Family Residence","11/04/2020","$174,950","$194,500","5","Resale (occupied at least once)","1952","Sunny Side Hills","1,440","0.27","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2026177","720-67-93-13-700-000","CLOSD","5321 Chestnut Bluff Terrace, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","11/04/2020","$335,000","$345,000","2","Resale (occupied at least once)","1990","Woodlake","2,257","0.35","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2028155","755-740-5580","CLOSD","9614 University Boulevard, Henrico VA 23229","23229","Henrico","Single Family Residence","11/04/2020","$359,900","$340,000","12","Resale (occupied at least once)","1990","Glen Ridge","1,893","0.38","3","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2030184","732-70-52-90-700-000","CLOSD","319 Glenpark Lane, Chesterfield VA 23114","23114","Chesterfield","Single Family Residence","11/04/2020","$298,950","$295,000","2","Resale (occupied at least once)","1982","Walton Park","1,927","0.27","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2015266","747682425700000","CLOSD","10678 Braden Woods Court #UnitTC, Chesterfield VA 23832","23832","Chesterfield","Townhouse","11/04/2020","$250,075","$247,980","8","New (never occupied)","2020","Braden Townes","1,576","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2027622","727-68-61-45-800-000","CLOSD","3103 Sterlings Bridge Terrace, Chesterfield VA 23112","23112","Chesterfield","Single Family Residence","11/04/2020","$275,000","$280,000","3","Resale (occupied at least once)","1979","Brandermill","1,930","0.27","3","2.1","Public Water","Sewer - Public","Cash","Individuals"
