"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2610778","807-736-2864","CLOSD","3205 Purvis","23225","Henrico","Single Family Residence","06/24/2026","$409,000","$420,000","27","Resale (occupied at least once)","1997","Oak Glen","","0.27","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2602643","801-63-46-69-000-000","CLOSD","16111 Happy Hill RD","23834","Chesterfield","Single Family Residence","06/24/2026","$294,900","$270,000","105","Resale (occupied at least once)","1980","None","1,300","1.03","3","2.0","Well","Septic - Conventional","FHA New","Individuals"
"1","2602977","733-765-5923","CLOSD","3611 Edna PATH Unit#B","23233","Henrico","Condominium","06/24/2026","$465,825","$465,825","104","New (never occupied)","2026","Gayton Village","2,345","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2611230","825-692-5271","CLOSD","7105 Ravenscraig CRES","23231","Henrico","Single Family Residence","06/24/2026","$454,999","$455,000","15","Resale (occupied at least once)","2019","Castleton","2,942","0.24","4","3.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2613563","786-62-72-48-900-000","CLOSD","5219 Thornwood CT","23803","Chesterfield","Single Family Residence","06/24/2026","$525,000","$525,000","3","Resale (occupied at least once)","1997","Elko Farms","2,382","2.79","4","2.1","Well","Septic - Conventional","FHA New","Corporate"
"1","2611707","723-67-76-14-400-000","CLOSD","5815 Laurel Trail CT","23112","Chesterfield","Single Family Residence","06/24/2026","$410,000","$415,000","2","Resale (occupied at least once)","1986","Woodlake","1,825","0.28","3","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2606990","769-65-28-68-800-000","CLOSD","8107 Fedora DR","23838","Chesterfield","Single Family Residence","06/24/2026","$924,999","$885,000","20","Resale (occupied at least once)","2020","The Highlands","5,556","2.28","6","4.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2609817","761-746-8974","CLOSD","1810 Rockwood RD","23226","Henrico","Single Family Residence","06/24/2026","$375,000","$375,000","11","Resale (occupied at least once)","1953","Berkeley Park","1,512","0.22","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2613803","S000-0420-014","CLOSD","2020 Old Manchester ST","23225","Richmond City","Townhouse","06/24/2026","$420,000","$430,000","9","Resale (occupied at least once)","2022","Belle Heights","1,960","0.05","3","2.2","Public Water","Sewer - Public","Conventional","Individuals"
"1","2614134","8725-11-6437","CLOSD","8051 Sussex RD","23111","Hanover","Single Family Residence","06/24/2026","$499,950","$503,000","4","Resale (occupied at least once)","2000","Summer Grove","2,528","0.40","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2610885","783-65-16-76-700-000","CLOSD","5431 W Hundred RD","23831","Chesterfield","Single Family Residence","06/24/2026","$260,000","$250,000","7","Resale (occupied at least once)","1977","None","1,728","1.00","2","1.0","Public Water","Septic - Conventional","FHA New","Individuals"
"1","2611372","27-11-0-3-0","CLOSD","4610 Whittle Branch LN","23063","Goochland","Single Family Residence","06/24/2026","$549,950","$549,950","4","Resale (occupied at least once)","1992","None","1,716","10.02","4","3.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2603194","785-759-1372","CLOSD","522 Sybil ST","23060","Henrico","Townhouse","06/24/2026","$398,395","$398,395","18","New (never occupied)","2026","Retreat at One","2,138","","3","2.2","Public Water","Sewer - Public","Conventional","Corporate"
"1","2613357","754-69-80-96-300-000","CLOSD","1357 Providence Knoll DR","23236","Chesterfield","Townhouse","06/24/2026","$399,950","$400,000","3","Resale (occupied at least once)","2004","Providence","1,992","0.11","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2610942","740-746-2652","CLOSD","10708 Chipewyan DR","23238","Henrico","Single Family Residence","06/24/2026","$699,950","$740,000","6","Resale (occupied at least once)","1984","Kingsley","3,475","0.53","5","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2610281","722-64-90-24-200-000","CLOSD","11911 Riverpark WAY","23838","Chesterfield","Single Family Residence","06/24/2026","$510,000","$492,500","27","Resale (occupied at least once)","1995","River Ridge","2,643","1.00","4","2.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2612866","779-768-3375","CLOSD","1926 Greenwood Glen DR","23059","Henrico","Single Family Residence","06/24/2026","$530,000","$550,000","5","Resale (occupied at least once)","2000","Greenwood Glen","2,806","0.29","4","2.1","Public Water","Sewer - Public","Conventional","Estate"
"1","2612758","S006-0243-011","CLOSD","5000 King William RD","23225","Richmond City","Single Family Residence","06/24/2026","$675,000","$675,000","5","Resale (occupied at least once)","1942","Westover Hills","2,928","0.15","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2612286","771-749-7432","CLOSD","6901 Birch Point LN","23228","Henrico","Townhouse","06/24/2026","$416,901","$410,000","19","Resale (occupied at least once)","2008","Glenside Woods","","0.09","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2607832","744-751-9398","CLOSD","2213 Rocky Point PKY","23238","Henrico","Townhouse","06/24/2026","$329,000","$325,000","15","Resale (occupied at least once)","1981","Stony Run","1,397","0.11","3","2.0","Public Water","Sewer - Public","Conventional","Estate"
"1","2611875","S000-0581-023","CLOSD","2421 Porter ST","23225","Richmond City","Single Family Residence","06/24/2026","$334,950","$334,950","9","Resale (occupied at least once)","1950","Hollands Addition","1,392","0.14","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2532782","731706773100304","CLOSD","241 Brattice DR","23114","Chesterfield","Condominium","06/24/2026","$364,240","$345,000","26","New (never occupied)","2025","Coalfield Station","1,573","","3","2.1","Public Water","Sewer - Public","Cash","Corporate"
"1","2615504","730-69-66-89-800-000","CLOSD","13403 Bradenshire CT","23114","Chesterfield","Single Family Residence","06/24/2026","$350,000","$371,000","4","Resale (occupied at least once)","1985","Queensmill","2,450","0.58","4","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2614990","744-752-6586.176","CLOSD","2115 Turtle Run DR Unit#8","23233","Henrico","Condominium","06/24/2026","$240,000","$240,000","0","Resale (occupied at least once)","1986","Turtle Creek West Condominiums","980","0.02","2","2.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2614486","8714-56-6537","CLOSD","7337 Hunterbrook DR","23111","Hanover","Single Family Residence","06/24/2026","$345,950","$346,000","3","Resale (occupied at least once)","1962","Spring Meadows","1,512","0.34","3","2.0","Public Water","Sewer - Public","VA New","Individuals"
"1","2613851","739-758-4172","CLOSD","11720 Aprilbud DR","23233","Henrico","Single Family Residence","06/24/2026","$669,950","$650,000","8","Resale (occupied at least once)","1995","Wythe Trace","3,129","0.25","5","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2613697","732-67-71-03-500-000","CLOSD","13210 Thornridge LN","23112","Chesterfield","Single Family Residence","06/24/2026","$400,000","$421,550","7","Resale (occupied at least once)","1978","Thornridge","2,238","0.27","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2613288","731-66-89-50-900-000","CLOSD","7501 Genuine Risk LN","23112","Chesterfield","Single Family Residence","06/24/2026","$360,000","$389,900","3","Resale (occupied at least once)","1993","Deer Run","1,583","0.41","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2613076","C004-0259-016","CLOSD","3616 Pinebrook DR","23225","Richmond City","Single Family Residence","06/24/2026","$485,000","$605,000","3","Resale (occupied at least once)","1956","Grandview","1,898","0.34","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2612895","8706-20-7485","CLOSD","9052 Russet LN","23116","Hanover","Single Family Residence","06/24/2026","$349,950","$349,950","2","Resale (occupied at least once)","2011","Stywalt H. L. Sub","1,196","0.34","3","2.0","Well","Septic - Alternative","Conventional","Individuals"
"1","2612754","7851-86-6696","CLOSD","13065 Riverside CT","23005","Hanover","Single Family Residence","06/24/2026","$644,950","$644,950","4","Resale (occupied at least once)","1978","Country Club Hills","2,752","0.57","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2612510","E000-0875-003","CLOSD","1322 N 34th ST","23223","Richmond City","Single Family Residence","06/24/2026","$389,900","$399,900","5","Resale (occupied at least once)","2022","None","1,456","0.06","2","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2612496","772-735-5538","CLOSD","5013 Monument AVE","23230","Henrico","Single Family Residence","06/24/2026","$625,000","$650,000","5","Resale (occupied at least once)","1967","None","2,122","0.20","4","3.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2612399","719-68-97-13-900-000","CLOSD","2237 Wing Haven PL","23112","Chesterfield","Single Family Residence","06/24/2026","$699,900","$715,000","9","Resale (occupied at least once)","2008","The Sanctuary At Watermill","3,328","0.34","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2612283","S000-2313-006","CLOSD","1500 W 41st ST","23225","Richmond City","Single Family Residence","06/24/2026","$549,000","$575,000","5","Resale (occupied at least once)","1936","Forest Hill Park","1,920","0.17","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2612187","728-68-62-83-800-000","CLOSD","3304 Overcreek LN","23112","Chesterfield","Single Family Residence","06/24/2026","$465,000","$478,700","5","Resale (occupied at least once)","2000","Nuttree Woods","2,169","0.43","3","2.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2612097","703-67-14-65-200-000","CLOSD","7106 Silverthread DR","23120","Chesterfield","Single Family Residence","06/24/2026","$824,950","$824,950","2","Resale (occupied at least once)","2018","Magnolia Green","2,489","0.26","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2611390","787-64-58-43-700-000","CLOSD","13905 Old Hampstead LN","23831","Chesterfield","Single Family Residence","06/24/2026","$435,000","$435,000","3","Resale (occupied at least once)","1991","Hampstead Place","2,338","0.39","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2611300","751-751-5783","CLOSD","2102 Cool Brook DR","23229","Henrico","Single Family Residence","06/24/2026","$315,000","$303,000","3","Resale (occupied at least once)","1956","Roxbury","958","0.27","2","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2611272","770-744-8430","CLOSD","5705 Bethlehem RD","23230","Henrico","Single Family Residence","06/24/2026","$474,950","$500,000","5","Resale (occupied at least once)","1958","Acreage","3,102","0.86","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2611221","W000-1076-006","CLOSD","2417 W Main ST","23220","Richmond City","Single Family Residence","06/24/2026","$559,950","$550,000","32","Resale (occupied at least once)","1920","None","1,995","0.03","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2611105","755-71-94-68-000-000","CLOSD","8819 McCaw DR","23235","Chesterfield","Single Family Residence","06/24/2026","$285,000","$320,000","7","Resale (occupied at least once)","1996","Bon Air Heights","1,224","0.35","3","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2610909","8743-28-5032","CLOSD","6457 White Oak Ridge DR","23111","Hanover","Single Family Residence","06/24/2026","$700,000","$700,000","17","Resale (occupied at least once)","2001","None","2,717","9.42","3","2.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2610637","710-67-62-38-700-000","CLOSD","16524 Thornapple ALY","23120","Chesterfield","Townhouse","06/24/2026","$379,900","$380,000","11","Resale (occupied at least once)","2019","Wynwood at Foxcreek","1,556","0.10","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2610530","108910","CLOSD","1291 Grapevine RD","23150","Henrico","Single Family Residence","06/24/2026","$230,000","$175,000","26","Resale (occupied at least once)","1984","Grapevine Estates","","1.03","2","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2610507","760-70-46-28-100-000","CLOSD","7927 Provincetown DR","23235","Chesterfield","Townhouse","06/24/2026","$254,950","$256,000","2","Resale (occupied at least once)","1974","Providence Green","1,400","0.04","3","1.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2610246","802-737-7169","CLOSD","2112 Grand Reserve WAY","23223","Henrico","Townhouse","06/24/2026","$355,900","$356,000","25","Resale (occupied at least once)","2025","Reserve at Springdale Park","1,768","0.05","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2610159","N000-1047-013","CLOSD","526 Montvale AVE","23222","Richmond City","Single Family Residence","06/24/2026","$318,500","$320,000","3","Resale (occupied at least once)","1927","Roslyn Heights","1,950","0.16","4","2.0","Public Water","Sewer - Public","Other","Individuals"
"1","2608882","732-68-64-91-900-000","CLOSD","3224 Gannet LN","23112","Chesterfield","Townhouse","06/24/2026","$440,000","$412,000","21","Resale (occupied at least once)","2021","Townes at Swift Creek","2,486","0.06","4","3.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2608547","E000-0162-068","CLOSD","220 N 20th ST Unit#U1","23223","Richmond City","Townhouse","06/24/2026","$399,000","$390,000","26","New (never occupied)","2025","None","","0.01","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2608477","768-65-13-15-000-000","CLOSD","11113 Sterling Cove DR","23838","Chesterfield","Single Family Residence","06/24/2026","$774,900","$775,000","4","Resale (occupied at least once)","2002","The Highlands","4,041","1.12","4","3.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2608288","744-734-4246","CLOSD","205 Walsing DR","23229","Henrico","Single Family Residence","06/24/2026","$1,350,000","$1,350,000","8","Resale (occupied at least once)","1983","Dorset Woods","4,130","0.59","4","2.2","Public Water","Sewer - Public","Conventional","Individuals"
"1","2607241","719-71-93-85-400-000","CLOSD","2613 Founders Bridge RD","23113","Chesterfield","Single Family Residence","06/24/2026","$1,200,000","$1,270,200","3","Resale (occupied at least once)","2006","Founders Bridge","4,300","0.61","5","4.1","Public Water","Sewer - Public","Cash","Estate"
"1","2606601","7797-22-8205","CLOSD","10125 Wilmore DR","23116","Hanover","Single Family Residence","06/24/2026","$419,000","$405,000","26","Resale (occupied at least once)","1978","Beechwood Farms","2,130","0.33","4","3.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2606499","738-62-32-97-900-000","CLOSD","15606 Chesdin Point DR","23838","Chesterfield","Single Family Residence","06/24/2026","$745,000","$748,000","26","Resale (occupied at least once)","1997","Chesdin Landing","","1.95","4","3.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2605956","711-68-98-67-200-000","CLOSD","3821 Weatherbury PL","23120","Chesterfield","Single Family Residence","06/24/2026","$749,000","$749,000","20","Resale (occupied at least once)","1990","Weatherbury","3,440","1.93","3","2.1","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2602180","722-67-43-68-800-000","CLOSD","14403 Shelter Cove RD","23112","Chesterfield","Single Family Residence","06/24/2026","$840,000","$780,000","72","Resale (occupied at least once)","1998","Shelter Cove","2,830","0.24","4","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2531247","728706899700000","CLOSD","13801 Riverlight DR","23114","Chesterfield","Townhouse","06/24/2026","$415,000","$413,030","160","New (never occupied)","2025","Sycamore Place","1,792","","4","3.1","Public Water","Sewer - Public","Cash","Corporate"
"1","2510310","786-757-0715","CLOSD","907 Scott TER","23227","Henrico","Townhouse","06/24/2026","$399,990","$389,990","390","New (never occupied)","2026","Glens at Scott Place","1,763","0.08","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","BRTVACF2001480","719719385400000","CLOSD","2613 Founders Bridge RD","23113","Chesterfield","Single Family Residence","06/24/2026","$1,200,000","$1,270,200","3","Resale (occupied at least once)","2006","FOUNDERS BRIDGE","4,318","0.61","5","5.0","Public Water","Public Sewer On Site","",""
"1","BRTVARC2000880","S0002761017","CLOSD","3605 Stockton ST","23224","Richmond City","Single Family Residence","06/25/2026","$127,000","$127,000","33","Resale (occupied at least once)","1950","NONE AVAILABLE","720","0.16","2","1.0","Other","Other - See Remarks","",""
"1","2532835","776-767-0746","CLOSD","2504 Forget Me Not LN","23060","Henrico","Single Family Residence","06/25/2026","$699,990","$699,990","164","New (never occupied)","2025","Greenhouse","","0.15","4","3.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2510314","786-757-0304","CLOSD","917 Scott TER","23227","Henrico","Townhouse","06/25/2026","$389,990","$389,990","402","New (never occupied)","2026","Glens at Scott Place","1,763","0.08","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2612361","784-771-8527","CLOSD","9688 Turning Point DR Unit#A","23059","Henrico","Condominium","06/25/2026","$342,235","$399,235","19","New (never occupied)","2026","Village at Virginia Center Commons","1,573","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2611809","834-712-1287","CLOSD","245 Whiteside RD","23150","Henrico","Townhouse","06/25/2026","$332,705","$332,705","28","New (never occupied)","2026","Parkside Townes","1,336","","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2528287","6757-95-4863","CLOSD","1711 Reed Marsh LN","23063","Goochland","Single Family Residence","06/25/2026","$639,000","$628,220","215","New (never occupied)","2025","Reed Marsh","2,450","0.48","4","3.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2510320","786-757-0509","CLOSD","913 Scott TER","23227","Henrico","Townhouse","06/25/2026","$359,990","$349,990","376","New (never occupied)","2026","Glens at Scott Place","1,474","0.05","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2612032","733-760-7192","CLOSD","13401 Shelbourne DR","23233","Henrico","Single Family Residence","06/25/2026","$979,000","$950,000","8","Resale (occupied at least once)","1993","Shelbourne At Wellesley","4,406","0.31","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2612945","747-744-6787","CLOSD","1310 Andover RD","23229","Henrico","Single Family Residence","06/25/2026","$375,000","$386,400","4","Resale (occupied at least once)","1957","Farmington","1,953","0.23","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2605870","042-26P-A","CLOSD","1738 Page RD","23139","Powhatan","Single Family Residence","06/25/2026","$799,900","$785,000","50","Resale (occupied at least once)","2008","None","3,906","2.95","4","3.1","Well","Septic - Conventional","Cash","Individuals"
"1","2612577","738-64-76-09-200-000","CLOSD","12041 Trailbrook DR","23838","Chesterfield","Single Family Residence","06/25/2026","$544,950","$535,000","11","Resale (occupied at least once)","1984","Deerwood","3,319","1.43","3","2.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2612063","7798-63-0157","CLOSD","9203 Fetlock DR","23116","Hanover","Single Family Residence","06/25/2026","$499,950","$499,950","4","Resale (occupied at least once)","1992","Fox Head","2,343","0.36","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2611305","119847","CLOSD","7713 Arbor Marsh TER","23124","New Kent","Single Family Residence","06/25/2026","$459,990","$463,990","36","New (never occupied)","2026","The Arbors At New Kent Winery","1,953","","4","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2610995","726-69-13-07-200-000","CLOSD","13801 Shadow Ridge RD","23112","Chesterfield","Single Family Residence","06/25/2026","$489,000","$489,000","9","Resale (occupied at least once)","1988","Shadow Ridge","2,432","0.21","5","2.1","Public Water","Sewer - Public","Conventional","Individuals"
