"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2513151","736-70-68-25-900-000","CLOSD","645 Farnham CIR","23236","Chesterfield","Single Family Residence","09/23/2025","$699,000","$700,000","68","Resale (occupied at least once)","2003","Willesden At Stonehenge","3,221","0.18","4","3.1","Public Water","Sewer - Public","Cash","Estate"
"1","2517936","786-68-81-82-700-000","CLOSD","3006 Creek Meadow CIR","23234","Chesterfield","Single Family Residence","10/16/2025","$339,500","$300,000","77","Resale (occupied at least once)","2000","Meadow Creek","1,898","0.20","3","2.1","Public Water","Sewer - Public","Other","Individuals"
"1","2523322","S007-0914-009","CLOSD","3105 1/2 Logandale AVE","23224","Richmond City","Single Family Residence","10/16/2025","$379,950","$380,000","10","New (never occupied)","2025","Broad Rock Park","","0.12","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2520196","S007-1181-023","CLOSD","1301 Chambers ST","23224","Richmond City","Single Family Residence","10/16/2025","$190,000","$190,000","56","Resale (occupied at least once)","1946","Oak Grove","","0.14","2","1.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2522421","733703128000000","CLOSD","531 Glenmeadow TER","23114","Chesterfield","Single Family Residence","10/16/2025","$450,000","$450,000","17","Resale (occupied at least once)","1978","Walton Park","","0.27","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2510176","769-774-7145","CLOSD","3917 Lyons Mill LN","23059","Henrico","Single Family Residence","10/16/2025","$1,124,490","$1,095,000","38","New (never occupied)","2025","None","","0.45","7","5.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2523211","58-19-0-3-0","CLOSD","325 Hamlet RD","23103","Goochland","Single Family Residence","10/16/2025","$649,900","$640,000","15","Resale (occupied at least once)","1987","Hermitage Hamlet","2,320","6.48","3","2.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2430146","785-756-7188","CLOSD","8311 Scott PL","23227","Henrico","Townhouse","10/16/2025","$398,990","$389,990","242","New (never occupied)","2025","Glens at Scott Place","1,763","0.08","3","2.1","Public Water","Sewer - Public","Other","Corporate"
"1","2523935","712672555200231","CLOSD","15800 Hallowell RDG Unit#301","23120","Chesterfield","Condominium","10/16/2025","$304,990","$304,990","14","New (never occupied)","2025","Greenwich Walk At Foxcreek","","","2","2.0","Public Water","Sewer - Public","Cash","Corporate"
"1","2523035","746-753-2784","CLOSD","10015 Stonemill RD","23233","Henrico","Single Family Residence","10/16/2025","$575,000","$575,000","13","Resale (occupied at least once)","1989","Cedar Chase","2,566","0.29","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2512507","721-65-37-98-600-000","CLOSD","11201 Danforth RD","23838","Chesterfield","Single Family Residence","10/16/2025","$449,950","$449,950","62","Resale (occupied at least once)","2003","Physic Hill","2,186","0.57","4","2.1","Public Water","Septic - Conventional","VA New","Individuals"
