"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2509506","801-738-0323","CLOSD","1810 Lyndover RD","23222","Henrico","Single Family Residence","06/06/2025","$279,950","$280,000","11","Resale (occupied at least once)","1954","None","1,176","0.26","3","1.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2509764","747-71-19-63-100-000","CLOSD","1306 Fernleaf DR","23235","Chesterfield","Single Family Residence","06/06/2025","$370,000","$360,000","30","Resale (occupied at least once)","1973","Bon Air Terrace Add","","0.27","4","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2510705","766610397900000","CLOSD","8721 River RD","23803","Chesterfield","Single Family Residence","06/06/2025","$435,000","$440,000","15","New (never occupied)","2025","Chesdin Harbor Section I","","1.11","4","3.0","Public Water","Septic - Conventional","Conventional","Corporate"
"1","2510497","712-66-28-43-500-000","CLOSD","16000 Cambian LN","23832","Chesterfield","Single Family Residence","06/06/2025","$775,000","$770,000","35","Resale (occupied at least once)","2023","Harpers Mill","4,415","0.42","6","5.1","Public Water","Sewer - Public","VA New","Corporate, Individuals"
"1","2504484","733682404200000","CLOSD","4200 Mill View DR","23112","Chesterfield","Single Family Residence","06/06/2025","$544,990","$545,300","12","New (never occupied)","2025","Old Hundred Mill","1,898","","3","2.0","Public Water","Sewer - Public","FHA New","Corporate"
"1","2510895","719-68-98-97-700-000","CLOSD","2231 Thorncrag LN","23112","Chesterfield","Single Family Residence","06/06/2025","$625,000","$645,000","10","Resale (occupied at least once)","2011","The Sanctuary At Watermill","4,169","0.77","5","2.1","Public Water","Sewer - Public","VA New","Individuals"
"1","2511038","764-743-8024","CLOSD","7002 Vanderbilt AVE","23226","Henrico","Single Family Residence","06/06/2025","$589,000","$578,500","7","Resale (occupied at least once)","2002","Charles Glen","2,288","0.20","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2507557","S000-0586-014","CLOSD","609 W 25th ST","23225","Richmond City","Single Family Residence","06/06/2025","$600,000","$585,000","14","Resale (occupied at least once)","1920","Woodland Heights","2,091","0.21","4","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2510458","713-69-73-48-100-000","CLOSD","1918 Bedwyn LN","23112","Chesterfield","Single Family Residence","06/06/2025","$995,950","$995,950","10","Resale (occupied at least once)","2009","Hallsley","4,339","0.39","4","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2503859","Not Yet Assigned","CLOSD","3905 Maze Runner DR","23112","Chesterfield","Condominium","06/06/2025","$277,330","$277,330","48","New (never occupied)","2025","Wescott","1,116","","1","1.1","Public Water","Sewer - Public","VA New","Corporate"
"1","2512470","788-752-4571","CLOSD","5906 Brookside BLVD","23227","Henrico","Single Family Residence","06/06/2025","$399,915","$441,100","2","Resale (occupied at least once)","1957","Chamberlayne Farms","3,234","0.70","4","4.0","Public Water","Sewer - Public","FHA New","Corporate, Estate"
