"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2031162","33B13 61N  86","CLOSD","4609 Black Rail CT","23140","New Kent","Single Family Residence","02/09/2021","$495,000","$469,000","50","Resale (occupied at least once)","2006","Brickshire","2,612","0.48","3","2.1","Public Water","Sewer - Public","VHDA/FHA","Individuals"
"1","2034771","E000-0434-028","CLOSD","617 N 26th ST","23223","Richmond City","Single Family Residence","02/09/2021","$319,950","$320,000","26","Resale (occupied at least once)","1841","None","1,646","0.08","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2036089","W019-0197-025","CLOSD","4812 Patterson AVE","23226","Richmond City","Single Family Residence","02/09/2021","$425,000","$413,000","21","Resale (occupied at least once)","1931","Colonial Place","1,896","0.19","4","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2007245","820-689-3890","CLOSD","7739 Jarwin LN","23231","Henrico","Single Family Residence","02/09/2021","$335,500","$345,000","296","New (never occupied)","2020","Doran Forest","2,338","0.34","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2014720","7821-53-1976","CLOSD","14217 Green Grove CT","23192","Hanover","Single Family Residence","02/09/2021","$495,000","$528,261","3","New (never occupied)","2020","Bell Grove","2,296","6.25","3","2.0","Well","Septic - Conventional","Conventional","Corporate"
"1","2100251","E000-0069-123","CLOSD","301 Virginia ST Unit#U1508","23219","Richmond City","Condominium","02/09/2021","$399,950","$399,950","3","Resale (occupied at least once)","2006","Vistas On The James","1,234","0.03","2","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2100015","7823-95-8072","CLOSD","16276 Goshen RD","23192","Hanover","Single Family Residence","02/09/2021","$300,000","$325,000","3","Resale (occupied at least once)","1994","Goshen Woods","1,734","2.53","3","3.0","Well","Septic - Conventional","Conventional","Individuals"
"1","2037032","39-1-0-10-0","CLOSD","5084 ST. PAULS CHURCH RD","23060","Goochland","Single Family Residence","02/09/2021","$419,950","$425,000","4","Resale (occupied at least once)","1983","None","2,592","11.43","4","3.1","Well","Septic - Conventional","FHA New","Individuals"
"1","2029219","TBD","CLOSD","2622 Lassen WALK Unit#B","23294","Henrico","Condominium","02/09/2021","$334,084","$334,084","68","New (never occupied)","2020","West Broad Landing","2,501","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2037165","798-65-05-26-700-000","CLOSD","2807 Pine Meadows CIR","23831","Chesterfield","Single Family Residence","02/09/2021","$185,000","$186,000","5","Resale (occupied at least once)","1984","Craddock Point","1,080","0.24","3","1.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2036798","053D-2-8","CLOSD","1415 Loch Gate PATH","23139","Powhatan","Single Family Residence","02/09/2021","$370,000","$385,000","2","Resale (occupied at least once)","1998","None","2,640","2.14","4","2.1","Well","Septic - Conventional","Cash","Individuals"
"1","2018876","786675055600000","CLOSD","7873 Old Guild RD","23237","Chesterfield","Townhouse","02/09/2021","$249,650","$267,085","33","New (never occupied)","2020","Silverleaf","1,634","","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2033898","825-724-0416","CLOSD","128 N New AVE","23075","Henrico","Single Family Residence","02/09/2021","$169,900","$165,000","34","Resale (occupied at least once)","1947","Highland Springs","1,185","0.25","2","1.0","Public Water","Sewer - Public","VHDA/FHA","Individuals"
"1","2037480","710-68-43-88-200-000","CLOSD","4506 Jaydee DR","23120","Chesterfield","Single Family Residence","02/09/2021","$399,500","$399,500","3","Resale (occupied at least once)","2004","Summer Lake","3,227","0.36","5","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2036367","8706-73-5946","CLOSD","8112 Perrincrest PL","23116","Hanover","Single Family Residence","02/09/2021","$389,900","$365,000","25","Resale (occupied at least once)","1997","Berkeley Forest","2,297","0.33","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2012758","749-71-16-95-400-000","CLOSD","10113 Winston Park PL","23235","Chesterfield","Single Family Residence","02/09/2021","$398,185","$452,375","0","New (never occupied)","2020","Bon Air","2,630","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2019144","738678858500000","CLOSD","4217 Lind LN","23112","Chesterfield","Townhouse","02/09/2021","$284,605","$315,605","1","New (never occupied)","2020","Wescott","1,962","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2032807","706-68-17-17-600-000","CLOSD","17037 Westington RD","23120","Chesterfield","Single Family Residence","02/09/2021","$467,950","$467,950","50","New (never occupied)","2021","Westerleigh","2,807","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
