"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2600168","C004-0049-018, C004-0049-048","CLOSD","7539 Riverside DR","23225","Richmond City","Single Family Residence","04/30/2026","$2,395,000","$2,225,000","53","Resale (occupied at least once)","1959","Southampton","","2.20","6","6.0","Public Water","Septic - Conventional","Conventional","Individuals"
"1","2607086","W000-1510-025","CLOSD","3304 Parkwood AVE","23221","Richmond City","Single Family Residence","04/30/2026","$299,900","$331,000","9","Resale (occupied at least once)","1926","Sydnors Point Addition","1,576","0.07","2","2.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2603747","N000-0062-050","CLOSD","525 N 1st ST","23219","Richmond City","Single Family Residence","04/30/2026","$599,999","$587,000","8","Resale (occupied at least once)","1879","None","2,428","0.06","3","2.1","Public Water","Sewer - Public","Conventional","Other"
"1","2606626","64-19-E-2-0","CLOSD","2 E Lower Tuckahoe RD","23238","Goochland","Single Family Residence","04/30/2026","$979,500","$1,030,000","8","Resale (occupied at least once)","1988","Lower Tuckahoe","3,614","0.80","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2604804","813-701-7856","CLOSD","3367 New Heritage LOOP","23231","Henrico","Single Family Residence","04/30/2026","$410,000","$435,000","43","Resale (occupied at least once)","2020","New Market Village","2,830","0.16","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2518272","028B1-7-29","CLOSD","3010 Lake Stone TER","23139","Powhatan","Single Family Residence","04/30/2026","$749,950","$859,251","22","New (never occupied)","2025","Maple Grove","","2.05","4","3.1","Well","Septic - Conventional","Conventional","Corporate"
"1","2605478","716-67-22-06-100-000","CLOSD","15355 Sunray WAY","23112","Chesterfield","Townhouse","04/30/2026","$437,950","$447,950","7","New (never occupied)","2025","Oasis Townhomes","","","3","3.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2533564","N000-0104-002","CLOSD","35 W Jackson ST","23220","Richmond City","Single Family Residence","04/30/2026","$390,000","$390,000","87","Resale (occupied at least once)","2008","None","1,584","0.06","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2607655","775-754-1775","CLOSD","2305 Edenbrook DR","23228","Henrico","Single Family Residence","04/30/2026","$419,999","$420,000","5","Resale (occupied at least once)","1976","Sedgefield Manor","1,568","0.33","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2606333","743-735-1534","CLOSD","309 Cheswick LN","23229","Henrico","Single Family Residence","04/30/2026","$1,199,000","$1,160,000","8","Resale (occupied at least once)","1985","Cheswick","4,668","0.73","5","3.1","Public Water","Sewer - Public","Conventional","Individuals"
