"#","ML #","PID","Status","Address","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2428021","E000-0223-010","CLOSD","2119 E Marshall ST","23223","Richmond City","Single Family Residence","01/01/2025","$434,950","$430,000","11","Resale (occupied at least once)","1900","None","1,632","0.05","2","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2430266","N000-2347-024","CLOSD","4402 Brook RD","23227","Richmond City","Single Family Residence","01/02/2025","$435,000","$433,000","6","Resale (occupied at least once)","1932","Bellevue Court","1,344","0.16","3","1.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2419932","786-67-90-21-700-000","CLOSD","3507 Patina CT","23237","Chesterfield","Single Family Residence","01/02/2025","$475,900","$475,500","106","Resale (occupied at least once)","2022","Silverleaf","2,708","0.28","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2429088","820-720-2249","CLOSD","308 South ST","23075","Henrico","Single Family Residence","01/02/2025","$300,000","$310,000","5","Resale (occupied at least once)","2010","Morrow Heights","1,250","0.27","3","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2429105","S0000456005","CLOSD","1812 Edwards AVE","23224","Richmond City","Single Family Residence","01/02/2025","$324,950","$323,000","17","Resale (occupied at least once)","1921","Mason Park","1,853","","3","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2427820","766-756-8905","CLOSD","5503 Eunice DR","23228","Henrico","Single Family Residence","01/02/2025","$300,000","$295,000","36","Resale (occupied at least once)","1961","Laurel View","1,456","0.27","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2428753","028B1-6-1","CLOSD","2809 Maple TER","23139","Powhatan","Single Family Residence","01/02/2025","$894,500","$890,000","26","New (never occupied)","2024","Maple Grove","3,355","2.03","4","3.1","Well","Septic - Conventional","Conventional","Individuals"
"1","2430480","C007-0201-048","CLOSD","1060 Kingsway RD","23225","Richmond City","Single Family Residence","01/02/2025","$280,000","$290,000","5","Resale (occupied at least once)","1965","Battery Heights","1,101","0.22","3","1.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2427149","730-752-8374","CLOSD","2510 Lauderdale DR","23233","Henrico","Single Family Residence","01/02/2025","$399,900","$399,900","55","Resale (occupied at least once)","1981","Tuckahoe Village West","2,250","0.40","4","2.1","Community Well, Public Water","Sewer - Public","Conventional","Individuals"
"1","2429793","718-66-84-29-400-000","CLOSD","15118 Fernway DR","23832","Chesterfield","Single Family Residence","01/02/2025","$399,000","$399,000","5","Resale (occupied at least once)","2001","Ashbrook","2,120","0.20","4","2.1","Public Water","Sewer - Public","FHA New","Individuals"
"1","2425602","8707-19-2159","CLOSD","8532 Lincoln RD","23116","Hanover","Single Family Residence","01/02/2025","$419,990","$420,000","60","Resale (occupied at least once)","1976","Lincoln Park","1,800","1.33","3","2.1","Well","Septic - Conventional","FHA New","Corporate"
"1","2428138","810-729-6705","CLOSD","1029 Leslie Ann DR","23223","Henrico","Single Family Residence","01/02/2025","$323,900","$325,000","40","Resale (occupied at least once)","1988","Mitcheltree","1,788","0.20","4","2.0","Public Water","Sewer - Public","Conventional","Partnership"
"1","2431264","S006-0343-010","CLOSD","5019 Clarence ST","23225","Richmond City","Single Family Residence","01/02/2025","$324,900","$350,000","3","Resale (occupied at least once)","1947","Forest View Heights","1,048","0.19","3","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2430820","7507548779","CLOSD","10164 Grand Oaks DR","23233","Henrico","Single Family Residence","01/02/2025","$495,000","$540,000","6","Resale (occupied at least once)","1998","Rolling Oaks","2,145","0.20","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2430552","767-737-9830","CLOSD","919 Sabot ST","23226","Henrico","Single Family Residence","01/02/2025","$489,950","$551,000","5","Resale (occupied at least once)","1951","Westview","1,415","0.25","3","2.0","Public Water","Sewer - Public","Cash","Estate"
"1","2429442","48-17-0-4-0","CLOSD","7007 Benhall CIR","23059","Goochland","Single Family Residence","01/02/2025","$595,000","$585,000","26","Resale (occupied at least once)","2016","Parkside Village","2,135","0.17","2","2.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2429368","747-770-1791","CLOSD","5227 Bedford Falls CIR","23059","Henrico","Townhouse","01/02/2025","$530,000","$527,500","19","Resale (occupied at least once)","2018","Bedford Falls At Hickory Grove","2,074","0.05","4","3.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2429305","8057234477","CLOSD","114 Echo AVE","23223","Henrico","Single Family Residence","01/02/2025","$169,950","$145,000","8","Resale (occupied at least once)","1937","Glen Echo Park","1,392","","3","1.0","Public Water","Sewer - Public","Cash","Individuals"
"1","2429193","W020-0190-034","CLOSD","5206 Cary Street RD","23226","Richmond City","Single Family Residence","01/02/2025","$2,100,000","$2,100,000","12","Resale (occupied at least once)","1946","Hampton Gardens","4,803","0.45","4","5.2","Public Water","Sewer - Public","Cash","Individuals"
"1","2428059","762-741-8845","CLOSD","7306 Normandy DR","23229","Henrico","Single Family Residence","01/02/2025","$715,000","$730,000","5","Resale (occupied at least once)","1947","Sunset Hills","2,951","0.24","4","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2426394","745-67-98-46-200-000","CLOSD","10800 Brookridge PL","23832","Chesterfield","Single Family Residence","01/02/2025","$335,000","$335,000","30","Resale (occupied at least once)","1984","Great Oaks","1,482","0.35","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2426334","751-71-50-20-900-136","CLOSD","10378 Iron Mill RD","23235","Chesterfield","Condominium","01/02/2025","$198,000","$192,000","29","Resale (occupied at least once)","1973","Edgehill Condo","1,334","0.00","3","2.0","Public Water","Sewer - Public","Conventional","Individuals"
"1","2425461","57-39-0-22-0","CLOSD","1605 Sabot Creek DR","23103","Goochland","Single Family Residence","01/02/2025","$1,475,000","$1,357,828","40","Resale (occupied at least once)","2006","Sabot Creek","3,224","4.09","2","2.1","Well","Septic - Engineered","Cash","Individuals"
"1","2423967","730-755-7213","CLOSD","2611 Stoney CT","23233","Henrico","Townhouse","01/02/2025","$335,000","$324,500","62","Resale (occupied at least once)","1986","Winchester Pointe","1,654","0.05","2","2.1","Public Water","Sewer - Public","Cash","Individuals"
"1","2418923","797-713-7915.114","CLOSD","251 Rocketts WAY Unit#114","23231","Henrico","Condominium","01/02/2025","$399,900","$399,000","134","Resale (occupied at least once)","2007","Village Of Rocketts Landing","1,422","0.03","2","2.0","Public Water","Sewer - Public","Cash","Corporate"
"1","BRTVACF2001004","751715020900136","CLOSD","10378 Iron Mill RD","23224","Chesterfield","Condominium","01/02/2025","$192,000","$192,000","0","Resale (occupied at least once)","1973","BON AIR","1,334","","2","2.0","Public Water","Public Sewer On Site","",""
"1","2429800","762-740-2610","CLOSD","1013 Horsepen RD","23229","Henrico","Single Family Residence","01/03/2025","$599,000","$618,000","9","Resale (occupied at least once)","1952","Westhampton Hills","1,936","0.26","4","2.1","Public Water","Sewer - Public","Conventional","Individuals"
